"id","name","code","description","max_tier","type","duration_type","duration","parameter","trigger_creation_id","creation_id","available_gun_type","ui_control"
"101","chess_buff-10000101","FlightChessBuff_3","chess_buff-20000101","99","102","1","1","1","0","8","0","0"
"102","chess_buff-10000102","FlightChessBuff_1","chess_buff-20000102","99","101","1","-1","1","0","7","0","0"
"103","chess_buff-10000103","","chess_buff-20000103","10","121","1","1","-1","0","5","0","0"
"104","chess_buff-10000104","FlightChessBuff_3","chess_buff-20000104","1","102","1","-1","1","0","8","0","0"
"105","chess_buff-10000105","","chess_buff-20000105","1","117","1","1","1","0","5","0","0"
"106","chess_buff-10000106","FlightChessBuff_17","chess_buff-20000106","1","122","1","-1","-1","0","5","0","0"
"107","chess_buff-10000107","FlightChessBuff_3","chess_buff-20000107","1","102","1","-1","4","0","8","0","0"
"108","chess_buff-10000108","","chess_buff-20000108","99","104","1","-1","1","0","0","0","0"
"109","chess_buff-10000109","FlightChessBuff_1","chess_buff-20000109","99","101","1","-1","1","0","7","0","0"
"110","chess_buff-10000110","FlightChessBuff_3","chess_buff-20000110","99","102","1","-1","1","0","8","0","0"
"111","chess_buff-10000111","FlightChessBuff_8","chess_buff-20000111","99","107","1","-1","1","0","6","0","0"
"112","chess_buff-10000112","FlightChessBuff_5","chess_buff-20000112","99","103","1","-1","1","0","9","0","0"
"113","chess_buff-10000113","","chess_buff-20000113","99","104","1","-1","1","0","0","0","0"
"114","chess_buff-10000114","","chess_buff-20000114","99","400","1","-1","0","0","0","0","0"
"115","chess_buff-10000115","FlightChessBuff_19","chess_buff-20000115","99","124","1","-1","1","0","5","0","0"
"116","chess_buff-10000116","FlightChessBuff_9","chess_buff-20000116","99","107","1","-1","-1","0","13","0","0"
"117","chess_buff-10000117","FlightChessBuff_28","chess_buff-20000117","1","120","1","-1","*500101","0","5","0","0"
"118","chess_buff-10000118","FlightChessBuff_17","chess_buff-20000118","5","122","1","-1","-1","0","5","0","0"
"119","chess_buff-10000119","FlightChessBuff_3","chess_buff-20000119","99","102","1","1","1","0","8","0","0"
"120","chess_buff-10000120","","chess_buff-20000120","99","400","1","-1","0","0","5","0","0"
"121","chess_buff-10000121","FlightChessBuff_26","chess_buff-20000121","99","125","1","-1","1","0","5","0","0"
"122","chess_buff-10000122","FlightChessBuff_26","chess_buff-20000122","99","125","1","-1","2","0","5","0","0"
"123","chess_buff-10000123","","chess_buff-20000123","1","104","1","-1","2","0","0","0","0"
"124","chess_buff-10000124","FlightChessBuff_15","chess_buff-20000124","1","118","1","-1","1","0","5","0","0"
"125","chess_buff-10000125","FlightChessBuff_1","chess_buff-20000125","1","108","1","-1","*500102","0","5","0","0"
"126","chess_buff-10000126","FlightChessBuff_1","chess_buff-20000126","99","101","1","-1","1","0","7","0","0"
"127","chess_buff-10000127","FlightChessBuff_28","chess_buff-20000127","1","120","1","-1","*500103","0","5","0","0"
"128","chess_buff-10000128","FlightChessBuff_3","chess_buff-20000128","99","102","1","1","2","0","8","0","0"
"129","chess_buff-10000129","FlightChessBuff_5","chess_buff-20000129","1","103","1","1","3","0","9","0","0"
"130","chess_buff-10000130","FlightChessBuff_1","chess_buff-20000130","1","101","1","-1","5","0","7","0","0"
"131","chess_buff-10000131","FlightChessBuff_9","chess_buff-20000131","1","107","1","-1","-5","0","6","0","0"
"132","chess_buff-10000132","","chess_buff-20000132","1","400","1","-1","0","0","4","0","0"
"133","chess_buff-10000133","","chess_buff-20000133","1","400","1","1","0","0","0","0","0"
"134","chess_buff-10000134","FlightChessBuff_3","chess_buff-20000134","1","102","1","-1","2","0","8","0","0"
