id	type	difficulty_group	height_region	code	icon_deviation
1	5	0	2.0,2.5	Block01	
2	5	0	2.0,2.5	Block02	
3	5	0	2.0,2.5	Block03	
4	4	0	3.0,3.5	Dialoguetower_01	-0.08,-0.12,-0.49
5	4	0	3.0,3.5	Dialoguetower_02	0.59,0.07,-0.63
6	4	0	3.0,3.5	Dialoguetower_03	0.29,0.31,0.25
7	1	1,2,3,4	1.5,3.0	Fighthouse_01	
8	1	1,2	1.5,3.5	Fighthouse_02	
9	1	2,3	1.5,3.5	Fighthouse_03	
10	1	4	2.5,3.0	Fighthouse_01	
11	1	4	2.5,3.0	Fighthouse_02	
12	1	4	2.5,3.0	Fighthouse_03	
13	1	4	2.5,3.0	Fighthouse_04	
14	1	5	3.5,4.0	Fighthouse_04	
15	1	5	3.5,4.0	Fighthouse_03	
16	1	5	3.5,4.0	Fighthouse_02	
17	1	5	3.5,5.0	Fighthouse_01	
18	2	1,2,3	2.0,3.0	SpriteHouse_01	
19	2	4,5	3.5,4.0	SpriteHouse_01	
20	3	1,2,3	2.0,3.3	HeavyEquipment_01	
21	3	4,5	3.5,4.0	Othercastle_01	
22	3	4,5	3.5,4.0	HeavyEquipment_01	
23	1	6	3.5,4.0	Bosstower_01	0.44,4.61,0.31
24	6	1,2,3	3.5,4.0	Vehicle_01	
25	6	4,5	3.5,4.0	Vehicle_01	
26	7	0	3.5,4.0	VehicleAdvanced_01	
