id,name,en_name,code,introduce,dialogue,extra,en_introduce,character,type,rank,develop_duration,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,retiremp,retireammo,retiremre,retirepart,ratio_life,ratio_pow,ratio_rate,ratio_speed,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,special,eat_ratio,ratio_range,skill1,skill2,normal_attack,passive_skill,dynamic_passive_skill,effect_grid_center,effect_guntype,effect_grid_pos,effect_grid_effect,max_equip,type_equip1,type_equip2,type_equip3,type_equip4,ai,is_additional,launch_time,obtain_ids,rank_display,prize_id,mindupdate_consume,explore_tag,gun_detail_bg,org_id,related_story_id,show_damage_skin,gun_tag_ids,atk_speed_max,ratio_rec,recommended_team_ids,item_id
1,gun-10000001,M1873,M1873,"类型            左轮手枪
总重            1|048克（7½""枪管）
全长            11""（279毫米 - 5½""枪管）；
                13""（318毫米 - 7½""枪管）
弹药            .45柯尔特，.44-40温彻斯特，.38-40温彻斯特，.32-20温彻斯特，其他
枪机种类        单动式
供弹方式        6发弹巢
瞄准具型式      前后准星",指挥官|是您在叫我嘛？您这里有可乐吗！有很多很多的可乐么！,gun-40000001,gun-50000001,gun-60000001,1,4,3000,10,10,5,5,2,2,2,0,120,125,85,100,90,95,0,15,20,0,130,95,100503,0,300115,1003404,,13,0,8|12|14|18,1|12;3|25,0,1;4|13|16|18,2;6,3;10,,1,0,2016-05-20 00:00:00,1|3,4,0,10:20|45:200;10:40|45:1000;10:60|45:2000,52,nation_US,10302,100001,|0|2105|,10101,120,120,2|3|4|6|8,
2,gun-10000002,M1911,M1911,"类型            半自动手枪
总重            空枪：1|105克
全长            210毫米
枪管长度        政府型：127毫米
                指挥官型：108毫米
                军官ACP型：89毫米
弹药            .45 ACP
枪机种类        枪管短行程后座作用、单动式板机，具握把式保险
枪口初速        251.46米/秒
有效射程        50米
供弹方式        7发（标准弹匣），膛室1发
瞄准具型式      金属缺口式照门及准星",真是宿命的邂逅呢|指挥官|没想到会在这里遇到您。,gun-40000002,gun-50000002,gun-60000002,1,2,1200,10,10,5,5,2,2,2,0,110,95,105,100,100,100,0,15,20,0,120,105,102401,0,300101,900156|999999|759313,,13,0,8|12|14|18,2|10;3|25,0,1;4|13|16,2;6|19,3;10,,2,0,2016-05-20 00:00:00,1|3,2,0,10:10|45:200;10:20|45:600;10:30|45:1200,68,nation_US,10202,100002,|0|8406|11107|,10102|105,135,110,2|3|4|8,
3,gun-10000003,M9,M9,"类型            半自动手枪
总重            空枪：952 克
全长            217 毫米
枪管长度        125 毫米
弹药            9×19毫米
枪机种类        短行程后座作用、自由枪机、单／双动
枪口初速        353.568 米／秒
有效射程        50 米
供弹方式        15 发可拆式弹匣
瞄准具型式      机械瞄具",M9手枪！我可是很有人气的|请记住我吧！,gun-40000003,gun-50000003,gun-60000003,1,3,2400,10,10,5,5,2,2,2,0,115,110,115,100,120,95,0,15,20,0,110,105,102202,0,300101,900156|999999,,13,0,12|14|17|19,1|10;4|10,0,1;4|13|16|18,2;6,3;10,,3,0,2016-05-20 00:00:00,1|3,3,0,,12|24,nation_US,10202,100003,|0|,110|105,120,115,2|3,
4,gun-10000004,Python,Python,"类型            左轮手枪
总重            1|048克（7½""枪管）
全长            11""（279毫米 - 5½""枪管）；
                13""（318毫米 - 7½""枪管）
弹药            .45柯尔特，.44-40温彻斯特，.38-40温彻斯特，.32-20温彻斯特，其他
枪机种类        单动式
供弹方式        6发弹巢
瞄准具型式      前后准星",指挥官，您就是我的新“猎物”吗？哼哼，请放心，我没有任何不敬的意思。,gun-40000004,gun-50000004,gun-60000004,1,5,3180,10,10,5,5,2,2,2,0,105,128,85,100,140,95,0,15,40,0,142,100,120007,0,120009,200422|756001,120001|120002|120003|120004|120005|120006|120008|120010|120011,13,0,7|8|19|12|14|18,1|15;5|10,0,1;4|13|16,2;6|19,3;10,,4,0,2018-08-16 00:00:00,411,5,0,,,nation_US,10202,100004,|0|8801|11202|,103|118,135,95,2|3|4|6|8,
5,gun-10000005,M1895,M1895,"类型            左轮手枪
总重            空枪：0.8 公斤
全长            235 毫米
枪管长度        114 毫米
弹药            7.62×38mmR
枪机种类        单动式、双动式
发射速率        14 - 21发/分钟
枪口初速        272米/秒
有效射程        22米
供弹方式        7发转轮式弹巢
瞄准具型式      前后准星",哎呀指挥官|您居然喜欢我这种资历的人嘛|品味还真是特别啊。,gun-40000005,gun-50000005,gun-60000005,1,2,1200,10,10,5,5,2,2,2,0,105,110,80,100,85,115,0,15,20,0,130,80,101309,0,300115,800502|800501|999999|1002404,,13,0,8|12|14,1|16;5|8,0,1;4|13|16|18,2;6,3;10,,5,0,2016-05-20 00:00:00,1|3,2,0,10:10|45:200;10:20|45:600;10:30|45:1200,6|25|54|58|70|73,nation_Russia,10302,100005,|0|2706|5309|7107|30010|10507|11407|,10102|106,120,105,2|3|4|7|8,
6,gun-10000006,TT33,TT33,"类型            半自动手枪
总重            840克
全长            196毫米
枪管长度        116毫米
弹药            7.62托卡列夫手枪弹
枪机种类        枪管短行程后座作用、单动
枪口初速        420米/秒
有效射程        50米
供弹方式        8发弹匣
瞄准具型式      前后准星",您就是我的指挥官吗？今后请您多多照顾了。,gun-40000006,gun-50000006,gun-60000006,1,3,2700,10,10,5,5,2,2,2,0,130,120,100,100,105,100,0,15,20,0,105,120,100602,0,300101,999999|756164,,13,0,12|14|17|19,2|10;3|25,0,1;4|13|16,2;6|19,3;10|20,,6,0,2016-05-20 00:00:00,1|3,3,0,10:15|45:200;10:30|45:800;10:45|45:1600,57,nation_Russia,10302,100006,|0|6205|601|5106|11007|,10102,120,130,2|3|4|8,
7,gun-10000007,APS,APS,"类型            冲锋手枪
总重            1.22公斤
全长            225毫米
枪管长度        140毫米
弹药            9×18毫米马卡洛夫枪弹
枪机种类        反冲作用，单动/双动
发射速率        400–900发/分钟
枪口初速        340米/秒
有效射程        50米
最大射程        200米
供弹方式        20发弹匣
瞄准具型式      金属瞄具",军用冲锋手枪，斯捷奇金APS，为您服务。今后好好相处吧，我亲爱的长官。,gun-40000007,gun-50000007,gun-60000007,1,4,3300,10,10,5,5,2,2,2,0,125,105,125,100,95,95,0,15,20,0,110,100,100805,0,900271,759135|759136|759137|759138,,13,0,12|14|17|19,1|6;2|12,0,1;4|13|16|18,2;6,3;10|20,,7,0,2016-05-20 00:00:00,1,4,0,10:20|45:200;10:40|45:1000;10:60|45:2000,38,nation_Russia,10303,100007,|0|6808|4306|8805|,10101,120,125,2|3|4|6|8,
8,gun-10000008,PM,PM,"类型            半自动手枪
总重            空枪：730克
全长            161.5毫米
枪管长度        93.5毫米
弹药            9x18毫米马卡洛夫枪弹
枪机种类        反冲作用|单/双动式板机
发射速率        约30发/分钟
枪口初速        315米/秒
有效射程        50米
供弹方式        8发弹匣
瞄准具型式      刀片式准星，缺口准星",指挥官|别担心|跟着我的节奏来|工作就没问题。,gun-40000008,gun-50000008,gun-60000008,1,3,2400,10,10,5,5,2,2,2,0,95,90,110,100,115,120,0,15,20,0,130,100,101502,0,300101,999999|759220,803602,13,0,7|8|9|18,1|10;2|6,0,1;4|13|16|18,2;6|19,3;10,,8,0,2016-05-20 00:00:00,1|3,3,0,10:15|45:200;10:30|45:800;10:45|45:1600,14|37|48,nation_Russia,10704,100008,|0|1|,10102,120,95,2|3|4|8,
9,gun-10000009,P38,P38,"类型            半自动手枪
总重            800克
全长            216毫米
枪管长度        125毫米
弹药            9毫米鲁格弹
枪机种类        短行程后座|单动/双动
枪口初速        365米/秒
有效射程        50米
供弹方式        8发可拆式单排弹匣
瞄准具型式      凹形照门，刀片形准星",指挥官♪今天啊|就是命运的相遇呢！,gun-40000009,gun-50000009,gun-60000009,1,2,1200,10,10,5,5,2,2,2,0,100,100,105,100,95,105,0,15,20,0,125,105,102503,0,300101,999999,,13,0,12|14|17|19,2|7;3|28,0,1;4|13|16|18,2;6,3;10,,9,0,2016-05-20 00:00:00,1|3,2,0,,12|55,nation_German,10803,100009,|0|,104|106,120,100,7,
10,gun-10000010,PPK,PPK,"类型            半自动手枪
总重            .380 ACP：590克（21盎司）
                .32 ACP：590克（21盎司）
                .22 LR：560克（20盎司）
全长            155毫米
枪管长度        83毫米
弹药            .380 ACP（9 x 17mm Short）
                .32 ACP（7.65 x 17mm Browning SR）
                .25 ACP（6.35 x 15mm Browning SR）
                .22 LR（5.7 x 15.6mm）9 x 18mm Ultra]]（PP-Super）
枪机种类        反冲作用|单动/双动
枪口初速        .380 ACP：244米/秒
                .32 ACP：308米/秒
                .22 LR：280米/秒
有效射程        50米
供弹方式        .380 ACP：6+1发
                .32 ACP：7+1发
                .22 LR：8+1发
瞄准具型式      缺口式照门及刀片式准星",哼哼♪指挥官|能在这里见到您|我很开心呢。,gun-40000010,gun-50000010,gun-60000010,1,2,1320,10,10,5,5,2,2,2,0,85,85,115,100,115,130,0,15,20,0,125,95,105001,0,300101,999999|756161|759243|759245,,13,0,7|8|9|18,2|16;5|8,0,1;4|13|16|18,2;6|19,3;10,,10,0,2016-05-20 00:00:00,1|3,2,0,10:10|45:200;10:20|45:600;10:30|45:1200,30|71,nation_German,10303,100010,|3905|6109|,10101,120,85,2|3|4|6|8,
