id,type,motion_name,touch_area,hold_time,probability,voice,text,expression,face_motion,name,camera,is_hurt,level,is_interrupt,delay,next_motions,voice_code
306,101,motions/idle.mtn,0,0,1.0,,,,,live2d_motions-10000306,0,0,0,0,0,,
307,101,motions/daiji.mtn,0,0,1.0,,,,,live2d_motions-10000307,0,0,0,0,0,,
308,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000308,0,0,0,0,0,,
309,101,motions/BG.mtn,0,0,1.0,,,,,live2d_motions-10000309,0,0,0,0,0,,
501,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000501,0,0,0,0,0,,
502,102,motions/wait_1.mtn,0,8|12,0.5,,,,,live2d_motions-10000502,1,0,0,0,0,,
503,102,motions/wait_2.mtn,0,10|13,0.5,GUN|M1903|DIALOGUE3,GUN|M1903|DIALOGUE3,,,live2d_motions-10000503,1,0,0,0,0,,DIALOGUE3
504,200,motions/touch_1.mtn,head,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,live2d_motions-10000504,1,0,0,0,0,,ALLHALLOWS
505,200,motions/touch_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,live2d_motions-10000505,1,0,0,0,0,,MOOD2
506,200,motions/touch_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,live2d_motions-10000506,1,0,0,0,0,,DIALOGUE1
507,200,motions/touch_4.mtn,leg,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,live2d_motions-10000507,1,0,0,0,0,,PHRASE
508,200,motions/touch_5.mtn,leg,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,live2d_motions-10000508,1,0,0,0,0,,DIALOGUE2
509,500,motions/wedding.mtn,0,0,1.0,GUN|M1903|SOULCONTRACT,GUN|M1903|SOULCONTRACT,,,live2d_motions-10000509,1,0,0,0,0,,SOULCONTRACT
510,300,motions/shake.mtn,0,0,1.0,,,,,live2d_motions-10000510,1,0,0,0,0,,
511,1000,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,live2d_motions-10000511,1,0,0,0,0,,HELLO
512,401,motions/daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000512,0,1,0,0,0,,
513,402,motions/broken_1.mtn,body,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,live2d_motions-10000513,1,1,0,0,0,,ALLHALLOWS
514,402,motions/broken_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,live2d_motions-10000514,1,1,0,0,0,,MOOD2
515,402,motions/broken_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,live2d_motions-10000515,1,1,0,0,0,,DIALOGUE1
516,402,motions/broken_4.mtn,body,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,live2d_motions-10000516,1,1,0,0,0,,PHRASE
517,402,motions/broken_5.mtn,body,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,live2d_motions-10000517,1,1,0,0,0,,DIALOGUE2
518,403,motions/wait_1.mtn,0,10|12,0.5,,,,,live2d_motions-10000518,1,1,0,0,0,,
519,1001,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,live2d_motions-10000519,1,1,0,0,0,,HELLO
601,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000601,0,0,0,0,0,,
602,102,motions/wait_1.mtn,0,8|12,0.5,,,,,live2d_motions-10000602,1,0,0,0,0,,
603,102,motions/wait_2.mtn,0,10|13,0.5,,,,,live2d_motions-10000603,1,0,0,0,0,,
604,200,motions/touch_1.mtn,body,0,1.0,GUN|WA2000|DIALOGUE1,GUN|WA2000|DIALOGUE1,,,live2d_motions-10000604,1,0,0,0,0,,DIALOGUE1
605,200,motions/touch_2.mtn,body,0,1.0,GUN|WA2000|DIALOGUE2,GUN|WA2000|DIALOGUE2,,,live2d_motions-10000605,1,0,0,0,0,,DIALOGUE2
606,200,motions/touch_3.mtn,head,0,1.0,GUN|WA2000|DIALOGUE3,GUN|WA2000|DIALOGUE3,,,live2d_motions-10000606,1,0,0,0,0,,DIALOGUE3
607,200,motions/touch_4.mtn,head,0,1.0,GUN|WA2000|ACCEPT,,,,live2d_motions-10000607,1,0,0,0,0,,ACCEPT
608,200,motions/touch_5.mtn,ghost,0,1.0,GUN|WA2000|ALLHALLOWS,GUN|WA2000|ALLHALLOWS,,,live2d_motions-10000608,1,0,0,0,0,,ALLHALLOWS
609,200,motions/wedding_touch.mtn,body,0,1.0,GUN|WA2000|DIALOGUEWEDDING,GUN|WA2000|DIALOGUEWEDDING,,,live2d_motions-10000609,1,0,0,0,0,,DIALOGUEWEDDING
610,500,motions/wedding.mtn,0,0,1.0,GUN|WA2000|SOULCONTRACT,GUN|WA2000|SOULCONTRACT,,,live2d_motions-10000610,1,0,0,0,0,,SOULCONTRACT
611,300,motions/shake.mtn,0,0,1.0,GUN|WA2000|MOOD2,,,,live2d_motions-10000611,1,0,0,0,0,,MOOD2
612,1000,motions/login.mtn,0,0,1.0,GUN|WA2000|HELLO,GUN|WA2000|HELLO,,,live2d_motions-10000612,1,0,0,0,0,,HELLO
613,402,motions/broken_1.mtn,body,0,1.0,GUN|WA2000|LOWMOOD,GUN|WA2000|LOWMOOD,,,live2d_motions-10000613,1,1,0,0,0,,LOWMOOD
614,402,motions/broken_2.mtn,body,0,1.0,GUN|WA2000|ATTACK,GUN|WA2000|ATTACK,,,live2d_motions-10000614,1,1,0,0,0,,ATTACK
615,402,motions/broken_3.mtn,body,0,1.0,,,,,live2d_motions-10000615,1,1,0,0,0,,
616,402,motions/broken_4.mtn,head,0,1.0,GUN|WA2000|MOOD2,,,,live2d_motions-10000616,1,1,0,0,0,,MOOD2
617,402,motions/broken_5.mtn,ghost,0,1.0,GUN|WA2000|ALLHALLOWS,GUN|WA2000|ALLHALLOWS,,,live2d_motions-10000617,1,1,0,0,0,,ALLHALLOWS
618,401,motions/daiji_idle_02.mtn,0,0,1.0,,,,,live2d_motions-10000618,0,1,0,0,0,,
619,301,motions/shake.mtn,0,0,1.0,,,,,live2d_motions-10000619,1,1,0,0,0,,
801,101,daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000801,0,0,0,0,0,,
802,200,,body,0,1.0,GUN|Mk23|DIALOGUE1,GUN|Mk23|DIALOGUE1,,,live2d_motions-10000802,0,0,0,0,0,,DIALOGUE1
803,200,,body,0,1.0,GUN|Mk23|DIALOGUE2,GUN|Mk23|DIALOGUE2,,,live2d_motions-10000803,0,0,0,0,0,,DIALOGUE2
804,200,,body,0,1.0,GUN|Mk23|DIALOGUE3,GUN|Mk23|DIALOGUE3,,,live2d_motions-10000804,0,0,0,0,0,,DIALOGUE3
805,200,,body,0,1.0,GUN|Mk23|DIALOGUEWEDDING,GUN|Mk23|DIALOGUEWEDDING,,,live2d_motions-10000805,0,0,0,0,0,,DIALOGUEWEDDING
806,401,daiji_idle_01.mtn,0,0,1.0,,,,,live2d_motions-10000806,0,1,0,0,0,,
807,402,,body,0,1.0,GUN|Mk23|DIALOGUE1,GUN|Mk23|DIALOGUE1,,,live2d_motions-10000807,0,0,0,0,0,,DIALOGUE1
808,402,,body,0,1.0,GUN|Mk23|DIALOGUE2,GUN|Mk23|DIALOGUE2,,,live2d_motions-10000808,0,0,0,0,0,,DIALOGUE2
809,402,,body,0,1.0,GUN|Mk23|DIALOGUE3,GUN|Mk23|DIALOGUE3,,,live2d_motions-10000809,0,0,0,0,0,,DIALOGUE3
810,402,,body,0,1.0,GUN|Mk23|DIALOGUEWEDDING,GUN|Mk23|DIALOGUEWEDDING,,,live2d_motions-10000810,0,0,0,0,0,,DIALOGUEWEDDING
811,1000,,0,0,1.0,GUN|Mk23|HELLO,GUN|Mk23|HELLO,,,live2d_motions-10000811,0,0,0,0,0,,HELLO
