id,trigger,weight,line
1,1,1,breakout_talk-10000001
2,1,1,breakout_talk-10000002
3,1,1,breakout_talk-10000003
4,1,1,breakout_talk-10000004
5,1,1,breakout_talk-10000005
6,1,1,breakout_talk-10000006
7,1,1,breakout_talk-10000007
8,1,1,breakout_talk-10000008
9,1,1,breakout_talk-10000009
10,1,1,breakout_talk-10000010
11,1,1,breakout_talk-10000011
12,1,1,breakout_talk-10000012
13,1,1,breakout_talk-10000013
14,1,1,breakout_talk-10000014
15,1,1,breakout_talk-10000015
16,1,1,breakout_talk-10000016
17,1,1,breakout_talk-10000017
18,2,1,breakout_talk-10000018
19,2,1,breakout_talk-10000019
20,2,1,breakout_talk-10000020
21,2,1,breakout_talk-10000021
22,2,1,breakout_talk-10000022
23,3,1,breakout_talk-10000023
24,3,1,breakout_talk-10000024
25,3,1,breakout_talk-10000025
26,3,1,breakout_talk-10000026
27,3,1,breakout_talk-10000027
28,3,1,breakout_talk-10000028
29,3,1,breakout_talk-10000029
30,3,1,breakout_talk-10000030
31,3,1,breakout_talk-10000031
32,4,1,breakout_talk-10000032
33,4,1,breakout_talk-10000033
34,4,1,breakout_talk-10000034
35,4,1,breakout_talk-10000035
36,4,1,breakout_talk-10000036
37,4,1,breakout_talk-10000037
38,4,1,breakout_talk-10000038
39,5,1,breakout_talk-10000039
40,5,1,breakout_talk-10000040
41,5,1,breakout_talk-10000041
42,5,1,breakout_talk-10000042
43,5,1,breakout_talk-10000043
44,5,1,breakout_talk-10000044
45,5,1,breakout_talk-10000045
46,6,1,breakout_talk-10000046
47,6,1,breakout_talk-10000047
48,6,1,breakout_talk-10000048
49,6,1,breakout_talk-10000049
50,6,1,breakout_talk-10000050
51,6,1,breakout_talk-10000051
52,6,1,breakout_talk-10000052
53,6,1,breakout_talk-10000053
54,6,1,breakout_talk-10000054
55,7,1,breakout_talk-10000055
56,7,1,breakout_talk-10000056
57,7,1,breakout_talk-10000057
58,7,1,breakout_talk-10000058
59,7,1,breakout_talk-10000059
60,7,1,breakout_talk-10000060
61,7,1,breakout_talk-10000061
62,8,1,breakout_talk-10000062
63,8,1,breakout_talk-10000063
64,8,1,breakout_talk-10000064
65,8,1,breakout_talk-10000065
66,8,1,breakout_talk-10000066
67,8,1,breakout_talk-10000067
68,8,1,breakout_talk-10000068
