"id","name","type","roll_code","skill_id","group"
"1001","vehicle_component_roll_type-10001001","1","heavy_damage","0","1"
"1002","vehicle_component_roll_type-10001002","1","reload","0","1"
"1003","vehicle_component_roll_type-10001003","1","precision","0","1"
"1004","vehicle_component_roll_type-10001004","1","H_armor_piercing","0","1"
"1005","vehicle_component_roll_type-10001005","1","light_damage","0","1"
"1006","vehicle_component_roll_type-10001006","1","atk_speed","0","1"
"1007","vehicle_component_roll_type-10001007","1","hit","0","1"
"1008","vehicle_component_roll_type-10001008","1","L_armor_piercing","0","1"
"1009","vehicle_component_roll_type-10001009","1","crit_rate","0","1"
"1010","vehicle_component_roll_type-10001010","1","crit_damage","0","1"
"1011","vehicle_component_roll_type-10001011","1","armor","0","1"
"1012","vehicle_component_roll_type-10001012","1","dodge","0","1"
"1013","vehicle_component_roll_type-10001013","1","def_break","0","1"
"2001","vehicle_component_roll_type-10002001","2","","770036","2"
"2002","vehicle_component_roll_type-10002002","2","","770038","2"
"2003","vehicle_component_roll_type-10002003","2","","770125","2"
"2004","vehicle_component_roll_type-10002004","2","","770106","2"
"2005","vehicle_component_roll_type-10002005","2","","220187","2"
"2006","vehicle_component_roll_type-10002006","2","","770113","2"
"3001","vehicle_component_roll_type-10003001","2","","220173","3"
"3002","vehicle_component_roll_type-10003002","2","","220175","3"
"3003","vehicle_component_roll_type-10003003","2","","220181","3"
"3004","vehicle_component_roll_type-10003004","2","","220180","3"
"3005","vehicle_component_roll_type-10003005","2","","220167","3"
"3006","vehicle_component_roll_type-10003006","2","","220185","3"
"4001","vehicle_component_roll_type-10004001","2","","770090","4"
"4002","vehicle_component_roll_type-10004002","2","","770091","4"
"4003","vehicle_component_roll_type-10004003","2","","770014","4"
"4004","vehicle_component_roll_type-10004004","2","","770016","4"
"4005","vehicle_component_roll_type-10004005","2","","770019","4"
"4006","vehicle_component_roll_type-10004006","2","","770024","4"
"4007","vehicle_component_roll_type-10004007","2","","770096","4"
"4008","vehicle_component_roll_type-10004008","2","","770107","4"
"4009","vehicle_component_roll_type-10004009","2","","770109","4"
"5001","vehicle_component_roll_type-10005001","2","","770037","5"
"5002","vehicle_component_roll_type-10005002","2","","770039","5"
"5003","vehicle_component_roll_type-10005003","2","","770040","5"
"5004","vehicle_component_roll_type-10005004","2","","770041","5"
"5005","vehicle_component_roll_type-10005005","2","","220183","5"
"5006","vehicle_component_roll_type-10005006","2","","770114","5"
"5007","vehicle_component_roll_type-10005007","2","","770104","5"
"6001","vehicle_component_roll_type-10006001","2","","770092","6"
"6002","vehicle_component_roll_type-10006002","2","","770093","6"
"6003","vehicle_component_roll_type-10006003","2","","770026","6"
"6004","vehicle_component_roll_type-10006004","2","","770028","6"
"6005","vehicle_component_roll_type-10006005","2","","220182","6"
"6006","vehicle_component_roll_type-10006006","2","","770030","6"
"6007","vehicle_component_roll_type-10006007","2","","770032","6"
"6008","vehicle_component_roll_type-10006008","2","","770034","6"
"6009","vehicle_component_roll_type-10006009","2","","770100","6"
"7001","vehicle_component_roll_type-10007001","2","","770046","7"
"7002","vehicle_component_roll_type-10007002","2","","770045","7"
"7003","vehicle_component_roll_type-10007003","2","","770047","7"
"7004","vehicle_component_roll_type-10007004","2","","770082","7"
"7005","vehicle_component_roll_type-10007005","2","","770081","7"
"7006","vehicle_component_roll_type-10007006","2","","770084","7"
