"id","type","title","content","function_control_id"
"1","cumulative_login","carnival_task_type-10000001","carnival_task_type-20000001","0"
"2","friend_praise","carnival_task_type-10000002","carnival_task_type-20000002","0"
"3","consume_iop_contract","carnival_task_type-10000003","carnival_task_type-20000003","0"
"4","consume_coin1","carnival_task_type-10000004","carnival_task_type-20000004","0"
"5","consume_coin2","carnival_task_type-10000005","carnival_task_type-20000005","0"
"6","consume_coin3","carnival_task_type-10000006","carnival_task_type-20000006","0"
"7","consume_fight_report","carnival_task_type-10000007","carnival_task_type-20000007","0"
"8","develop_gun_rank4","carnival_task_type-10000008","carnival_task_type-20000008","0"
"9","develop_gun_rank5","carnival_task_type-10000009","carnival_task_type-20000009","0"
"10","get_build_coin","carnival_task_type-10000010","carnival_task_type-20000010","0"
"11","mission_win","carnival_task_type-10000011","carnival_task_type-20000011","0"
"12","upgrade","carnival_task_type-10000012","carnival_task_type-20000012","0"
"13","borrow_friend_team","carnival_task_type-10000013","carnival_task_type-20000013","0"
"14","operation_duration","carnival_task_type-10000014","carnival_task_type-20000014","0"
"15","collect_gun","carnival_task_type-10000015","carnival_task_type-20000015","0"
"16","consume_furniture_coin","carnival_task_type-10000016","carnival_task_type-20000016","0"
"17","fix_gun","carnival_task_type-10000017","carnival_task_type-20000017","0"
"18","consume_bp","carnival_task_type-10000018","carnival_task_type-20000018","0"
"19","consume_voucher","carnival_task_type-10000019","carnival_task_type-20000019","0"
"20","upvote","carnival_task_type-10000020","carnival_task_type-20000020","0"
"21","consume_ammo","carnival_task_type-10000021","carnival_task_type-20000021","0"
"22","mission_common_win","carnival_task_type-10000022","carnival_task_type-20000022","0"
"23","mission_emergent_win","carnival_task_type-10000023","carnival_task_type-20000023","0"
"24","mission_night_win","carnival_task_type-10000024","carnival_task_type-20000024","0"
"25","s_win","carnival_task_type-10000025","carnival_task_type-20000025","0"
"26","operation","carnival_task_type-10000026","carnival_task_type-20000026","0"
"27","mission_duplicate_type1","carnival_task_type-10000027","carnival_task_type-20000027","0"
"28","mission_duplicate_type2","carnival_task_type-10000028","carnival_task_type-20000028","0"
"29","mission_duplicate_type3","carnival_task_type-10000029","carnival_task_type-20000029","0"
"30","gun_level_up_count","carnival_task_type-10000030","carnival_task_type-20000030","0"
"31","eat_gun","carnival_task_type-10000031","carnival_task_type-20000031","0"
"32","favor_up","carnival_task_type-10000032","carnival_task_type-20000032","0"
"33","soul_bond_gun","carnival_task_type-10000033","carnival_task_type-20000033","0"
"34","develop_gun","carnival_task_type-10000034","carnival_task_type-20000034","0"
"35","develop_equip","carnival_task_type-10000035","carnival_task_type-20000035","0"
"36","develop_equip_rank4","carnival_task_type-10000036","carnival_task_type-20000036","0"
"37","develop_equip_rank5","carnival_task_type-10000037","carnival_task_type-20000037","0"
"38","consume_mp","carnival_task_type-10000038","carnival_task_type-20000038","0"
"39","consume_mre","carnival_task_type-10000039","carnival_task_type-20000039","0"
"40","consume_part","carnival_task_type-10000040","carnival_task_type-20000040","0"
"41","buy_bp_count","carnival_task_type-10000041","carnival_task_type-20000041","0"
