id	parent_id	sort	name	description
1000	0	1	mall_classification-10001000	限时活动
1001	1000	1	mall_classification-10001001	
1002	1000	2	mall_classification-10001002	
1003	1000	3	mall_classification-10001003	
1004	1000	4	mall_classification-10001004	
1005	1000	5	mall_classification-10001005	
1006	1000	6	mall_classification-10001006	
1007	1000	7	mall_classification-10001007	
1008	1000	8	mall_classification-10001008	
2000	0	2	mall_classification-10002000	
2002	6000	1	mall_classification-10002002	
3000	0	4	mall_classification-10003000	所有礼包内容
3001	3000	1	mall_classification-10003001	
3002	3000	2	mall_classification-10003002	物资
3003	3000	3	mall_classification-10003003	装扮
3004	3000	4	mall_classification-10003004	新手支援礼包
3005	3000	5	mall_classification-10003005	
3007	3000	6	mall_classification-10003007	
4000	0	6	mall_classification-10004000	指挥官服装
5000	0	5	mall_classification-10005000	消耗品
5001	5000	1	mall_classification-10005001	
5002	5000	2	mall_classification-10005002	
5003	5000	3	mall_classification-10005003	
5004	5000	4	mall_classification-10005004	
6000	0	3	mall_classification-10006000	
6002	6000	2	mall_classification-10006002	
6003	6000	3	mall_classification-10006003	
7000	0	8	mall_classification-10007000	
8000	0	7	mall_classification-10008000	
