id,type,count,title,describe,function_control_id,prize_id,activity_bonus
1,gun_level_up_count,10,return_player_task-10000001,return_player_task-20000001,0,30011,20
2,develop_gun,10,return_player_task-10000002,return_player_task-20000002,0,30012,20
3,eat_gun,10,return_player_task-10000003,return_player_task-20000003,0,30013,20
4,s_win,15,return_player_task-10000004,return_player_task-20000004,0,30014,20
5,mission,10,return_player_task-10000005,return_player_task-20000005,0,30015,20
6,upgrade,3,return_player_task-10000006,return_player_task-20000006,0,30016,20
7,heart_collect,20,return_player_task-10000007,return_player_task-20000007,0,30017,20
8,consume_build_coin,100,return_player_task-10000008,return_player_task-20000008,0,30018,20
9,adopt_pet,1,return_player_task-10000009,return_player_task-20000009,0,30019,20
10,adjust_equip,10,return_player_task-10000010,return_player_task-20000010,6,30020,20
11,coin_mission,10,return_player_task-10000011,return_player_task-20000011,0,30021,20
12,develop_equip,10,return_player_task-10000012,return_player_task-20000012,2,30022,20
13,sangvis_exercise_analysis,5,return_player_task-10000013,return_player_task-20000013,21,30023,20
14,sangvis_exercise,10,return_player_task-10000014,return_player_task-20000014,21,30024,20
15,sangvis_daily_retrieval,8,return_player_task-10000015,return_player_task-20000015,21,30025,20
16,squad_eat_chip_num,10,return_player_task-10000016,return_player_task-20000016,15,30026,20
17,complete_squad_daily,10,return_player_task-10000017,return_player_task-20000017,0,30027,20
18,squad_data_analyse,10,return_player_task-10000018,return_player_task-20000018,15,30028,20
19,consume_furniture_coin,50,return_player_task-10000019,return_player_task-20000019,0,30029,30
20,operation,20,return_player_task-10000020,return_player_task-20000020,0,30030,30
21,explore,5,return_player_task-10000021,return_player_task-20000021,17,30031,30
