id,squad_id,squad_level,cpu_level,squad_completion_level,rank,advanced_level,assist_damage,assist_reload,assist_hit,assist_def_break,damage,atk_speed,hit,def,skill1,skill2,skill3,skin
1,1,90,50,1,1,1,0,0,0,0,0,0,0,0,10,10,10,0
2,2,100,100,1,1,3,10,10,10,10,0,0,0,0,10,10,10,0
3,1,90,50,1,1,1,0,0,0,0,0,0,0,0,10,10,10,0
4,2,100,100,1,1,3,10,10,10,10,0,0,0,0,10,10,10,0
5,1,90,50,1,1,1,0,0,0,0,0,0,0,0,10,10,10,0
6,6,60,1,1,1,3,0,0,0,0,0,0,0,0,10,10,10,0
7,7,60,1,1,1,3,0,0,0,0,0,0,0,0,10,10,10,0
8,8,60,1,1,1,3,0,0,0,0,0,0,0,0,10,10,10,0
1002,1002,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1005,1005,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1007,1007,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1008,1008,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1015,1015,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1016,1016,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
1017,1017,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
