id,code,ui_image_icon,name,guns,fairy,enemy_team_id,initial_type,ai,ai_content,betray_condition,betray_number,betray_result,transform_condition,transform_number,transform_result,icon,betray_result_enemy,squad,building,enemy_panel_type,is_special_ai,no_battle_damage,duration,sangvis,betray_result_guns,betray_result_sangvis,betray_result_ai,betray_result_ai_content,mapping_guns,mapping_sangvis,mapping_fairy,mapping_squad,mapping_allyguns,mapping_allysangvis,mapping_allyfairy,mapping_allysquad,is_beyond_start,vehicle,betray_result_vehicle,mapping_vehicle,mapping_allyvehicle
1,profilePic_AI,ally0,ally_team-10000001,"1,2,3,4,5",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
2,profilePic_AI,ally0,ally_team-10000002,"6,7,8,9,10",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
3,profilePic_AI,ally0,ally_team-10000003,"11,12,13,14,15",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
4,profilePic_AI,ally0,ally_team-10000004,"16,17,18,19,20",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
7,profilePic_AI,ally0,ally_team-10000007,"21,22,23,24,25",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
8,profilePic_AI,ally0,ally_team-10000008,"26,27,28,29,30",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
9,profilePic_AI,ally0,ally_team-10000009,"31,32,33,34,35",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
10,profilePic_AI,ally0,ally_team-10000010,"36,37,38,39,40",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
11,profilePic_AI,ally0,ally_team-10000011,"41,42,43,44,45",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
12,profilePic_AI,ally0,ally_team-10000012,"46,47,48,49,50",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
13,profilePic_AI,ally0,ally_team-10000013,"51,52,53,54,55",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
14,profilePic_AI,ally0,ally_team-10000014,"56,57,58,59,60",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
15,profilePic_AI,ally0,ally_team-10000015,"61,62,63,64,65",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
16,profilePic_AI,ally0,ally_team-10000016,"66,67,68,69,70",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
17,profilePic_AI,ally0,ally_team-10000017,"71,72,73,74,75",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
18,profilePic_AI,ally0,ally_team-10000018,"76,77,78,79,80",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
19,profilePic_AI,ally0,ally_team-10000019,"81,82,83,84,85",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
20,profilePic_AI,ally0,ally_team-10000020,"86,87,88,89,90",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
21,profilePic_AI,ally0,ally_team-10000021,"91,92,93,94,95",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
22,profilePic_AI,ally0,ally_team-10000022,"96,97,98,99,100",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
23,profilePic_AI,ally0,ally_team-10000023,"101,102,103,104,105",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
24,profilePic_AI,ally0,ally_team-10000024,"106,107,108,109,110",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
25,profilePic_AI,ally0,ally_team-10000025,"111,112,113,114,115",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
26,profilePic_AI,ally0,ally_team-10000026,"116,117,118,119,120",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
27,profilePic_AI,ally0,ally_team-10000027,"121,122,123,124,125",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
28,profilePic_AI,ally0,ally_team-10000028,"126,127,128,129,130",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
29,profilePic_AI,ally0,ally_team-10000029,"131,132,133,134,135",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
30,profilePic_AI,ally0,ally_team-10000030,"136,137,138,139,140",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
31,profilePic_AI,ally0,ally_team-10000031,"141,142,143,144,145",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
32,profilePic_AI,ally0,ally_team-10000032,"146,147,148,149,150",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
33,profilePic_AI,ally0,ally_team-10000033,"151,152,153,154,155",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
34,profilePic_AI,ally0,ally_team-10000034,"156,157,158,159,160",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
35,profilePic_AI,ally0,ally_team-10000035,"161,162,163,164,165",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
36,profilePic_AI,ally0,ally_team-10000036,"166,167,168,169,170",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
37,profilePic_AI,ally0,ally_team-10000037,"171,172,173,174,175",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
38,profilePic_AI,ally0,ally_team-10000038,"176,177,178,179,180",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
39,profilePic_AI,ally0,ally_team-10000039,"181,182,183,184,185",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
40,profilePic_AI,ally0,ally_team-10000040,"186,187,188,189,190",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
41,profilePic_AI,ally0,ally_team-10000041,"191,192,193,194,195",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
42,profilePic_AI,ally0,ally_team-10000042,"196,197,198,199,200",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
43,profilePic_AI,ally0,ally_team-10000043,"201,202,203,204,205",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
44,profilePic_AI,ally0,ally_team-10000044,"206,207,208,209,210",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
45,profilePic_AI,ally0,ally_team-10000045,"211,212,213,214,215",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
46,profilePic_AI,ally0,ally_team-10000046,"216,217,218,219,220",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
47,profilePic_AI,ally0,ally_team-10000047,"221,222,223,224,225",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
48,profilePic_AI,ally0,ally_team-10000048,"226,227,228,229,230",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
49,profilePic_AI,ally0,ally_team-10000049,"231,232,233,234,235",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
50,profilePic_AI,ally0,ally_team-10000050,"236,237,238,239,240",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
51,profilePic_AI,ally0,ally_team-10000051,"241,242,243,244,245",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
52,profilePic_AI,ally0,ally_team-10000052,"246,247,248,249,250",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
53,profilePic_AI,ally0,ally_team-10000053,"251,252,253,254,255",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
54,profilePic_AI,ally0,ally_team-10000054,"256,257,258,259,260",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
55,profilePic_AI,ally0,ally_team-10000055,"261,262,263,264,265",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
56,profilePic_AI,ally0,ally_team-10000056,"266,267,268,269,270",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
57,profilePic_AI,ally0,ally_team-10000057,"271,272,273,274,275",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
58,profilePic_AI,ally0,ally_team-10000058,"276,277,278,279,280",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
59,profilePic_AI,ally0,ally_team-10000059,"281,282,283,284,285",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
60,profilePic_AI,ally0,ally_team-10000060,"286,287,288,289,290",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
61,profilePic_AI,ally0,ally_team-10000061,"291,292,293,294,295",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
62,profilePic_AI,ally0,ally_team-10000062,"296,297,298,299,300",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
63,profilePic_AI,ally0,ally_team-10000063,"301,302,303,304,305",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
64,profilePic_AI,ally0,ally_team-10000064,"306,307,308,309,310",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
65,profilePic_AI,ally0,ally_team-10000065,"311,312,313,314,315",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
66,profilePic_AI,ally0,ally_team-10000066,"316,317,318,319,320",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
67,profilePic_AI,ally0,ally_team-10000067,"321,322,323,324,325",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
68,profilePic_AI,ally0,ally_team-10000068,"326,327,328,329,330",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
69,profilePic_AI,ally0,ally_team-10000069,"331,332,333,334,335",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
70,profilePic_AI,ally0,ally_team-10000070,"336,337,338,339,340",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
71,profilePic_AI,ally0,ally_team-10000071,"341,342,343,344,345",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
72,profilePic_AI,ally0,ally_team-10000072,"346,347,348,349,350",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
73,profilePic_AI,ally0,ally_team-10000073,"351,352,353,354,355",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
74,profilePic_AI,ally0,ally_team-10000074,"356,357,358,359,360",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
75,profilePic_AI,ally0,ally_team-10000075,"361,362,363,364,365",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
76,profilePic_AI,ally0,ally_team-10000076,"366,367,368,369,370",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
77,profilePic_AI,ally0,ally_team-10000077,"371,372,373,374,375",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
78,profilePic_AI,ally0,ally_team-10000078,"376,377,378,379,380",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
79,profilePic_AI,ally0,ally_team-10000079,"381,382,383,384,385",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
80,profilePic_AI,ally0,ally_team-10000080,"386,387,388,389,390",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
81,profilePic_AI,ally0,ally_team-10000081,"391,392,393,394,395",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
82,profilePic_AI,ally0,ally_team-10000082,"396,397,398,399,400",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
83,profilePic_AI,ally0,ally_team-10000083,"401,402,403,404,405",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
84,profilePic_AI,ally0,ally_team-10000084,"406,407,408,409,410",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
85,profilePic_AI,ally0,ally_team-10000085,"411,412,413,414,415",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
86,profilePic_AI,ally0,ally_team-10000086,"416,417,418,419,420",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
87,profilePic_AI,ally0,ally_team-10000087,"421,422,423,424,425",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
88,profilePic_AI,ally0,ally_team-10000088,"426,427,428,429,430",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
89,profilePic_AI,ally0,ally_team-10000089,"431,432,433,434,435",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
90,profilePic_AI,ally0,ally_team-10000090,"436,437,438,439,440",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
91,profilePic_AI,ally0,ally_team-10000091,"441,442,443,444,445",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
92,profilePic_AI,ally0,ally_team-10000092,"446,447,448,449,450",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
93,profilePic_AI,ally0,ally_team-10000093,"451,452,453,454,455",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
94,profilePic_AI,ally0,ally_team-10000094,"456,457,458,459,460",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
95,profilePic_AI,ally0,ally_team-10000095,"581,582,583,584,585",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
96,profilePic_AI,ally0,ally_team-10000096,"586,587,588,589,590",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
97,profilePic_AI,ally0,ally_team-10000097,"591,592,593,594,595",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
98,profilePic_AI,ally0,ally_team-10000098,"596,597,598,599,600",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
99,profilePic_AI,ally0,ally_team-10000099,"601,602,603,604,605",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
100,profilePic_AI,ally0,ally_team-10000100,"606,607,608,609,610",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
101,profilePic_AI,ally0,ally_team-10000101,"611,612,613,614,615",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
102,profilePic_AI,ally0,ally_team-10000102,"616,617,618,619,620",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
103,profilePic_AI,ally0,ally_team-10000103,"621,622,623,624,625",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
104,profilePic_AI,ally0,ally_team-10000104,"626,627,628,629,630",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
105,profilePic_AI,ally0,ally_team-10000105,"718,719,720,721,722",13,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
106,profilePic_AI,ally0,ally_team-10000106,"718,719,720,721,722",14,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
107,profilePic_AI,ally0,ally_team-10000107,"718,719,720,721,722",15,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
108,profilePic_AI,ally0,ally_team-10000108,"718,719,720,721,722",16,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
109,profilePic_AI,ally0,ally_team-10000109,"718,719,720,721,722",17,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
110,profilePic_AI,ally0,ally_team-10000110,"718,719,720,721,722",18,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
111,profilePic_AI,ally0,ally_team-10000111,"718,719,720,721,722",19,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
112,profilePic_AI,ally0,ally_team-10000112,"723,724,725,726,727",20,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
113,profilePic_AI,ally0,ally_team-10000113,"723,724,725,726,727",21,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
114,profilePic_AI,ally0,ally_team-10000114,"723,724,725,726,727",22,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
115,profilePic_AI,ally0,ally_team-10000115,"718,719,720,721,722",19,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,,,,,,,,,,,,0,0,,,
