id	type	difficulty	difficulty_group	state_type	mission_group	daily_pt
1	1	1	1	1	500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,500001,500031,500061,500091,500121,500151,500181,500211,500241,500271,500301,500331,500361,500391,500421,500451,500481,500511,500541,500571,580001,580002,580003,580004,580005,580006	30
2	1	1	1	2	500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,500016,500046,500076,500106,500136,500166,500196,500226,500256,500286,500316,500346,500376,500406,500436,500466,500496,500526,500556,500586,580001,580002,580003,580004,580005,580006	30
3	1	1	2	1	500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,500002,500032,500062,500092,500122,500152,500182,500212,500242,500272,500302,500332,500362,500392,500422,500452,500482,500512,500542,500572,580001,580002,580003,580004,580005,580006	45
4	1	1	2	2	500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,500017,500047,500077,500107,500137,500167,500197,500227,500257,500287,500317,500347,500377,500407,500437,500467,500497,500527,500557,500587,580001,580002,580003,580004,580005,580006	45
5	1	1	3	1	500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,500003,500033,500063,500093,500123,500153,500183,500213,500243,500273,500303,500333,500363,500393,500423,500453,500483,500513,500543,500573,580001,580002,580003,580004,580005,580006	60
6	1	1	3	2	500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,500018,500048,500078,500108,500138,500168,500198,500228,500258,500288,500318,500348,500378,500408,500438,500468,500498,500528,500558,500588,580001,580002,580003,580004,580005,580006	60
7	1	1	4	1	500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,500004,500034,500064,500094,500124,500154,500184,500214,500244,500274,500304,500334,500364,500394,500424,500454,500484,500514,500544,500574,580001,580002,580003,580004,580005,580006	75
8	1	1	4	2	500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,500019,500049,500079,500109,500139,500169,500199,500229,500259,500289,500319,500349,500379,500409,500439,500469,500499,500529,500559,500589,580001,580002,580003,580004,580005,580006	75
9	1	1	5	1	500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,500005,500035,500065,500095,500125,500155,500185,500215,500245,500275,500305,500335,500365,500395,500425,500455,500485,500515,500545,500575,580001,580002,580003,580004,580005,580006	90
10	1	1	5	2	500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,500020,500050,500080,500110,500140,500170,500200,500230,500260,500290,500320,500350,500380,500410,500440,500470,500500,500530,500560,500590,580001,580002,580003,580004,580005,580006	90
