id,story_campaign_id,name,chapter,type,game_chronicle,description,is_hide,tag,order,campaign_sub_name
1,0,story_playback-10000001,story_playback-20000001,1,,story_playback-30000001,0,story_playback-40000001,1,story_playback-50000001
2,1,story_playback-10000002,story_playback-20000002,1,,story_playback-30000002,0,story_playback-40000002,2,story_playback-50000002
3,2,story_playback-10000003,story_playback-20000003,1,,story_playback-30000003,0,story_playback-40000003,3,story_playback-50000003
4,3,story_playback-10000004,story_playback-20000004,1,,story_playback-30000004,0,story_playback-40000004,4,story_playback-50000004
5,4,story_playback-10000005,story_playback-20000005,1,,story_playback-30000005,0,story_playback-40000005,5,story_playback-50000005
6,5,story_playback-10000006,story_playback-20000006,1,,story_playback-30000006,0,story_playback-40000006,6,story_playback-50000006
7,-1,story_playback-10000007,story_playback-20000007,2,,story_playback-30000007,0,story_playback-40000007,7,story_playback-50000007
8,6,story_playback-10000008,story_playback-20000008,1,,story_playback-30000008,0,story_playback-40000008,8,story_playback-50000008
9,7,story_playback-10000009,story_playback-20000009,1,,story_playback-30000009,0,story_playback-40000009,9,story_playback-50000009
10,-2|-3|-4|-5,story_playback-10000010,story_playback-20000010,2,,story_playback-30000010,0,story_playback-40000010,10,story_playback-50000010
11,-7,story_playback-10000011,story_playback-20000011,2,,story_playback-30000011,0,story_playback-40000011,11,story_playback-50000011
12,8,story_playback-10000012,story_playback-20000012,1,,story_playback-30000012,0,story_playback-40000012,12,story_playback-50000012
13,-10|-11|-12|-13,story_playback-10000013,story_playback-20000013,2,,story_playback-30000013,0,story_playback-40000013,13,story_playback-50000013
14,9,story_playback-10000014,story_playback-20000014,1,,story_playback-30000014,0,story_playback-40000014,14,story_playback-50000014
15,10,story_playback-10000015,story_playback-20000015,1,,story_playback-30000015,0,story_playback-40000015,15,story_playback-50000015
16,-16|-17|-18,story_playback-10000016,story_playback-20000016,2,,story_playback-30000016,0,story_playback-40000016,16,story_playback-50000016
17,-24|-25|-26|-27|-28,story_playback-10000017,story_playback-20000017,2,,story_playback-30000017,0,story_playback-40000017,17,story_playback-50000017
18,11,story_playback-10000018,story_playback-20000018,1,,story_playback-30000018,0,story_playback-40000018,18,story_playback-50000018
19,-31,story_playback-10000019,story_playback-20000019,2,,story_playback-30000019,0,story_playback-40000019,19,story_playback-50000019
20,-33,story_playback-10000020,story_playback-20000020,2,,story_playback-30000020,0,story_playback-40000020,20,story_playback-50000020
21,12,story_playback-10000021,story_playback-20000021,1,,story_playback-30000021,0,story_playback-40000021,21,story_playback-50000021
22,-36,story_playback-10000022,story_playback-20000022,2,,story_playback-30000022,0,story_playback-40000022,22,story_playback-50000022
23,13,story_playback-10000023,story_playback-20000023,1,,story_playback-30000023,0,story_playback-40000023,23,story_playback-50000023
24,-41,story_playback-10000024,story_playback-20000024,2,,story_playback-30000024,0,story_playback-40000024,24,story_playback-50000024
25,-44,story_playback-10000025,story_playback-20000025,2,,story_playback-30000025,0,story_playback-40000025,25,story_playback-50000025
26,-48,story_playback-10000026,story_playback-20000026,2,,story_playback-30000026,0,story_playback-40000026,26,story_playback-50000026
27,-51,story_playback-10000027,story_playback-20000027,2,,story_playback-30000027,0,story_playback-40000027,27,story_playback-50000027
28,-54,story_playback-10000028,story_playback-20000028,2,,story_playback-30000028,0,story_playback-40000028,28,story_playback-50000028
29,-58,story_playback-10000029,story_playback-20000029,2,,story_playback-30000029,0,story_playback-40000029,30,story_playback-50000029
30,-34,story_playback-10000030,story_playback-20000030,3,,story_playback-30000030,0,story_playback-40000030,50,story_playback-50000030
31,-35,story_playback-10000031,story_playback-20000031,3,,story_playback-30000031,0,story_playback-40000031,51,story_playback-50000031
32,-37,story_playback-10000032,story_playback-20000032,3,,story_playback-30000032,0,story_playback-40000032,52,story_playback-50000032
33,-49,story_playback-10000033,story_playback-20000033,3,,story_playback-30000033,0,story_playback-40000033,53,story_playback-50000033
34,-56,story_playback-10000034,story_playback-20000034,2,,story_playback-30000034,0,story_playback-40000034,29,story_playback-50000034
35,-40,story_playback-10000035,story_playback-20000035,3,,story_playback-30000035,0,story_playback-40000035,54,story_playback-50000035
36,-47,story_playback-10000036,story_playback-20000036,3,,story_playback-30000036,0,story_playback-40000036,55,story_playback-50000036
37,-68,story_playback-10000037,story_playback-20000037,2,,story_playback-30000037,0,story_playback-40000037,31,story_playback-50000037
38,-69,story_playback-10000038,story_playback-20000038,2,,story_playback-30000038,0,story_playback-40000038,32,story_playback-50000038
39,-70,story_playback-10000039,story_playback-20000039,2,,story_playback-30000039,0,story_playback-40000039,33,story_playback-50000039
40,-71,story_playback-10000040,story_playback-20000040,2,,story_playback-30000040,0,story_playback-40000040,34,story_playback-50000040
41,-72,story_playback-10000041,story_playback-20000041,2,,story_playback-30000041,0,story_playback-40000041,35,story_playback-50000041
42,-74,story_playback-10000042,story_playback-20000042,2,,story_playback-30000042,0,story_playback-40000042,36,story_playback-50000042
43,-52,story_playback-10000043,story_playback-20000043,3,,story_playback-30000043,0,story_playback-40000043,56,story_playback-50000043
44,-61,story_playback-10000044,story_playback-20000044,3,,story_playback-30000044,0,story_playback-40000044,58,story_playback-50000044
45,-62,story_playback-10000045,story_playback-20000045,3,,story_playback-30000045,0,story_playback-40000045,59,story_playback-50000045
46,-75,story_playback-10000046,story_playback-20000046,2,,story_playback-30000046,0,story_playback-40000046,37,story_playback-50000046
47,-76,story_playback-10000047,story_playback-20000047,2,,story_playback-30000047,0,story_playback-40000047,38,story_playback-50000047
