id,type,carnival_type_id,count,prize_id,title,content,function_control_id,goto_page_id
1,cumulative_login,1,1,10086,累计登录,累计登录1天,0,0
2,cumulative_login,1,2,10088,累计登录,累计登录2天,0,0
3,cumulative_login,1,3,10088,累计登录,累计登录3天,0,0
4,cumulative_login,1,5,10091,累计登录,累计登录5天,0,0
5,cumulative_login,1,7,10091,累计登录,累计登录7天,0,0
6,cumulative_login,1,9,10094,累计登录,累计登录9天,0,0
7,cumulative_login,1,10,10094,累计登录,累计登录10天,0,0
8,cumulative_login,1,12,10097,累计登录,累计登录12天,0,0
9,friend_praise,2,5,10088,友谊的小船,活动期间累计被点赞5次,0,0
10,friend_praise,2,15,10091,友谊的小船,活动期间累计被点赞15次,0,0
11,friend_praise,2,30,10094,友谊的小船,活动期间累计被点赞30次,0,0
12,friend_praise,2,50,10097,友谊的小船,活动期间累计被点赞50次,0,0
13,mission_win,11,10,10088,战役关卡,战役胜利情况下挑战任意战役关卡10次（自律除外）,0,0
14,mission_win,11,20,10091,战役关卡,战役胜利情况下挑战任意战役关卡20次（自律除外）,0,0
15,mission_win,11,50,10094,战役关卡,战役胜利情况下挑战任意战役关卡50次（自律除外）,0,0
16,mission_win,11,100,10097,战役关卡,战役胜利情况下挑战任意战役关卡100次（自律除外）,0,0
17,consume_furniture_coin,16,100,10088,限时采购,累计消耗采购币*100,0,0
18,consume_furniture_coin,16,200,10091,限时采购,累计消耗采购币*200,0,0
19,consume_furniture_coin,16,500,10098,限时采购,累计消耗采购币*500,0,0
20,consume_furniture_coin,16,1000,10099,限时采购,累计消耗采购币*1000,0,0
21,consume_iop_contract,3,10,10088,人形制造,累计消耗人形制造契约*10,0,0
22,consume_iop_contract,3,20,10091,人形制造,累计消耗人形制造契约*20,0,0
23,consume_iop_contract,3,50,10094,人形制造,累计消耗人形制造契约*50,0,0
24,consume_iop_contract,3,100,10097,人形制造,累计消耗人形制造契约*100,0,0
25,develop_gun_rank4,8,1,10088,血统验证,累计造出4星人形*1,0,0
26,develop_gun_rank4,8,5,10091,血统验证,累计造出4星人形*5,0,0
27,develop_gun_rank5,9,1,10094,血统验证,累计造出5星人形*1,0,0
28,develop_gun_rank5,9,5,10097,血统验证,累计造出5星人形*5,0,0
29,get_build_coin,10,100,10086,收集电池,累计获得电池*100,0,0
30,get_build_coin,10,200,10088,收集电池,累计获得电池*200,0,0
31,get_build_coin,10,500,10094,收集电池,累计获得电池*500,0,0
32,get_build_coin,10,1000,10097,收集电池,累计获得电池*1000,0,0
33,collect_gun,15,10,10088,救援人形,在任意关卡或战斗中累计救援任意人形10个（自律除外）,0,0
34,collect_gun,15,30,10091,救援人形,在任意关卡或战斗中累计救援任意人形30个（自律除外）,0,0
35,collect_gun,15,50,10094,救援人形,在任意关卡或战斗中累计救援任意人形50个（自律除外）,0,0
36,collect_gun,15,100,10097,救援人形,在任意关卡或战斗中累计救援任意人形100个（自律除外）,0,0
37,upgrade,12,1,10086,技能升级,累计升级人形/妖精技能1次,0,0
38,upgrade,12,3,10088,技能升级,累计升级人形/妖精技能3次,0,0
39,upgrade,12,5,10094,技能升级,累计升级人形/妖精技能5次,0,0
40,upgrade,12,10,10097,技能升级,累计升级人形/妖精技能10次,0,0
41,s_win,25,10,10088,S胜挑战,以S评价完成10场战斗,0,0
42,s_win,25,30,10091,S胜挑战,以S评价完成30场战斗,0,0
43,s_win,25,50,10094,S胜挑战,以S评价完成50场战斗,0,0
44,s_win,25,100,10097,S胜挑战,以S评价完成100场战斗,0,0
45,operation_duration,14,100,10088,后勤支援,后勤支援累计完成100小时,0,0
46,operation_duration,14,500,10094,后勤支援,后勤支援累计完成500小时,0,0
47,operation_duration,14,800,10097,后勤支援,后勤支援累计完成800小时,0,0
48,operation_big_success,67,3,10086,后勤大成功,累计后勤大成功3次,0,0
49,operation_big_success,67,5,10088,后勤大成功,累计后勤大成功5次,0,0
50,operation_big_success,67,10,10091,后勤大成功,累计后勤大成功10次,0,0
51,consume_bp,18,10,10086,动能消耗（包含超导动能）,累计消耗动能*10,0,0
52,consume_bp,18,30,10091,动能消耗（包含超导动能）,累计消耗动能*30,0,0
53,consume_bp,18,50,10094,动能消耗（包含超导动能）,累计消耗动能*50,0,0
54,consume_ammo,21,10000,10088,弹药消耗,累计消耗弹药*10000,0,0
55,consume_ammo,21,20000,10091,弹药消耗,累计消耗弹药*20000,0,0
56,consume_ammo,21,30000,10094,弹药消耗,累计消耗弹药*30000,0,0
57,consume_voucher,19,50,10088,校准点券,累计消耗校准点券*50,0,0
58,consume_voucher,19,100,10091,校准点券,累计消耗校准点券*100,0,0
59,consume_voucher,19,300,10094,校准点券,累计消耗校准点券*300,0,0
60,upvote,20,5,10088,点赞使者,活动期间累计点赞5次,0,0
61,upvote,20,15,10091,点赞使者,活动期间累计点赞15次,0,0
62,upvote,20,30,10094,点赞使者,活动期间累计点赞30次,0,0
63,open_gift,45,10,10086,礼物赠送,累计赠送礼物*10,0,0
64,open_gift,45,20,10088,礼物赠送,累计赠送礼物*20,0,0
65,open_gift,45,50,10091,礼物赠送,累计赠送礼物*50,0,0
66,open_gift,45,100,10094,礼物赠送,累计赠送礼物*100,0,0
67,cumulative_login,1,1,13448,累计登录,累计登录1天,0,0
68,cumulative_login,1,2,13450,累计登录,累计登录2天,0,0
69,cumulative_login,1,3,13450,累计登录,累计登录3天,0,0
70,cumulative_login,1,5,13453,累计登录,累计登录5天,0,0
71,cumulative_login,1,7,13453,累计登录,累计登录7天,0,0
72,cumulative_login,1,9,13456,累计登录,累计登录9天,0,0
73,cumulative_login,1,10,13456,累计登录,累计登录10天,0,0
74,cumulative_login,1,12,13459,累计登录,累计登录12天,0,0
75,friend_praise,2,5,13450,友谊的小船,活动期间累计被点赞5次,0,0
76,friend_praise,2,15,13453,友谊的小船,活动期间累计被点赞15次,0,0
77,friend_praise,2,30,13456,友谊的小船,活动期间累计被点赞30次,0,0
78,friend_praise,2,50,13459,友谊的小船,活动期间累计被点赞50次,0,0
79,mission_win,11,10,13450,战役关卡,战役胜利情况下挑战任意战役关卡10次（自律除外）,0,0
80,mission_win,11,20,13453,战役关卡,战役胜利情况下挑战任意战役关卡20次（自律除外）,0,0
81,mission_win,11,50,13456,战役关卡,战役胜利情况下挑战任意战役关卡50次（自律除外）,0,0
82,mission_win,11,100,13459,战役关卡,战役胜利情况下挑战任意战役关卡100次（自律除外）,0,0
83,consume_furniture_coin,16,100,13450,限时采购,累计消耗采购币*100,0,0
84,consume_furniture_coin,16,200,13453,限时采购,累计消耗采购币*200,0,0
85,consume_furniture_coin,16,500,13460,限时采购,累计消耗采购币*500,0,0
86,consume_furniture_coin,16,1000,13461,限时采购,累计消耗采购币*1000,0,0
87,consume_iop_contract,3,10,13450,人形制造,累计消耗人形制造契约*10,0,0
88,consume_iop_contract,3,20,13453,人形制造,累计消耗人形制造契约*20,0,0
89,consume_iop_contract,3,50,13456,人形制造,累计消耗人形制造契约*50,0,0
90,consume_iop_contract,3,100,13459,人形制造,累计消耗人形制造契约*100,0,0
91,develop_gun_rank4,8,1,13450,血统验证,累计造出4星人形*1,0,0
92,develop_gun_rank4,8,5,13453,血统验证,累计造出4星人形*5,0,0
93,develop_gun_rank5,9,1,13456,血统验证,累计造出5星人形*1,0,0
94,develop_gun_rank5,9,5,13459,血统验证,累计造出5星人形*5,0,0
95,get_build_coin,10,100,13448,收集电池,累计获得电池*100,0,0
96,get_build_coin,10,200,13450,收集电池,累计获得电池*200,0,0
97,get_build_coin,10,500,13456,收集电池,累计获得电池*500,0,0
98,get_build_coin,10,1000,13459,收集电池,累计获得电池*1000,0,0
99,collect_gun,15,10,13450,救援人形,在任意关卡或战斗中累计救援任意人形10个（自律除外）,0,0
100,collect_gun,15,30,13453,救援人形,在任意关卡或战斗中累计救援任意人形30个（自律除外）,0,0
101,collect_gun,15,50,13456,救援人形,在任意关卡或战斗中累计救援任意人形50个（自律除外）,0,0
102,collect_gun,15,100,13459,救援人形,在任意关卡或战斗中累计救援任意人形100个（自律除外）,0,0
103,upgrade,12,1,13448,技能升级,累计升级人形/妖精技能1次,0,0
104,upgrade,12,3,13450,技能升级,累计升级人形/妖精技能3次,0,0
105,upgrade,12,5,13456,技能升级,累计升级人形/妖精技能5次,0,0
106,upgrade,12,10,13459,技能升级,累计升级人形/妖精技能10次,0,0
107,s_win,25,10,13450,S胜挑战,以S评价完成10场战斗,0,0
108,s_win,25,30,13453,S胜挑战,以S评价完成30场战斗,0,0
109,s_win,25,50,13456,S胜挑战,以S评价完成50场战斗,0,0
110,s_win,25,100,13459,S胜挑战,以S评价完成100场战斗,0,0
111,operation_duration,14,100,13450,后勤支援,后勤支援累计完成100小时,0,0
112,operation_duration,14,500,13456,后勤支援,后勤支援累计完成500小时,0,0
113,operation_duration,14,800,13459,后勤支援,后勤支援累计完成800小时,0,0
114,operation_big_success,67,3,13448,后勤大成功,累计后勤大成功3次,0,0
115,operation_big_success,67,5,13450,后勤大成功,累计后勤大成功5次,0,0
116,operation_big_success,67,10,13453,后勤大成功,累计后勤大成功10次,0,0
117,consume_bp,18,10,13448,动能消耗（包含超导动能）,累计消耗动能*10,0,0
118,consume_bp,18,30,13453,动能消耗（包含超导动能）,累计消耗动能*30,0,0
119,consume_bp,18,50,13456,动能消耗（包含超导动能）,累计消耗动能*50,0,0
120,consume_ammo,21,10000,13450,弹药消耗,累计消耗弹药*10000,0,0
121,consume_ammo,21,20000,13453,弹药消耗,累计消耗弹药*20000,0,0
