id,description,buff_judge,buff_mintime,hurt_from,available_gun_type,hurt_type,is_hurt_body,hurt_formula_target,hurt_judge,watched_skill_type,watched_skill_group_id
1001,老李增益监视1,1000004733,0,0,0,0,0,0,0,0,0
1002,老李增益监视2,1000004734,0,0,0,0,0,0,0,0,0
1003,老李监视记录更新1,1000004735,0,0,0,0,0,0,0,0,0
1004,老李监视记录更新2,1000004736,0,0,0,0,0,0,0,0,0
1005,M327监视1,1000004767,0,0,0,0,0,0,0,0,0
1006,M327监视2,1000004768,0,0,0,0,0,0,0,0,0
1007,沃克队友技能监视,1000004896,0,0,0,0,0,0,0,0,0
1008,斩杀目标血量10,0,0,0,0,0|1|2,0,0,1000004911,0,0
1009,斩杀目标血量25,0,0,0,0,0|1|2,0,0,1000004912,0,0
1010,apc9k监视miss,0,0,0,0,3,0,0,0,0,0
1011,apc9k监视队长造成伤害,0,0,0,0,0|1|2,0,0,0,0,0
1012,apc9k监视没有队长,1000004999,0,0,0,0,0,0,0,0,0
1013,DP监视技能,0,0,0,0,0,0,0,0,2,740063
1014,DP监视技能,0,0,0,0,0,0,0,0,2,740064
1015,掉编,0,0,0,0,0|1|2,0,0,1000005161,0,0
1016,枪种监视,1000005248,0,0,0,0,0,0,0,0,0
1017,M327监视1,1000005373,0,0,0,0,0,0,0,0,0
1018,45监视,1000005065,0,0,0,0,0,0,0,0,0
1019,生命值监视,0,0,0,0,0|1|2,0,0,1000005402,0,0
1020,赫柏监视掉编,0,0,0,0,0|1|2,0,0,1000002457,0,0
1021,黑卡蒂监视掉编,0,0,0,0,0|1|2,0,0,1000002472,0,0
1060,暴击监视,0,0,0,0,1,0,0,1000005546,0,0
1061,P50监视友方受伤,0,0,0,0,0|1|2,1,0,1,0,0
1062,79式监视受伤,0,0,0,0,0|1|2,1,0,1,0,0
1063,G41监视伤害增益,1000009495,0,0,0,0,0,0,0,0,0
1064,缇监视自身受伤,0,0,0,0,0|1|2,0,0,1,0,0
1101,汤姆森套装被攻击监视,0,0,0,0,0|1|2|3,0,0,0,0,0
2001,距离监视,1000009002,0,0,0,0,0,0,0,0,0
2002,受击监视,0,0,0,0,0|1|2,0,0,1000009006,0,0
2003,眩晕监视,1000009018,0,0,0,0,0,0,0,0,0
2004,爆炸监视,1000009021,0,0,0,0,0,0,0,0,0
2005,防护期间受伤监视,0,0,0,0,0|1|2,0,0,1000009032,0,0
2006,能量受伤监视,0,0,0,0,0|1|2,0,0,1000009034,0,0
2007,能量受伤反击监视,0,0,0,0,0|1|2,0,0,1000009035,0,0
2008,受击监视,0,0,0,0,0|1|2,0,0,1000009069,0,0
2009,受击监视,0,0,0,0,0|1|2,0,0,1000009072,0,0
2010,受击监视,0,0,0,0,0|1|2,0,0,1000009072,0,0
4001,Rex监视掉编,0,0,0,0,0|1|2,0,0,1000007006,0,0
4002,AK12监视暴击,0,0,0,0,1,0,0,0,0,0
5001,曦和监视,1000002119,0,0,0,0,0,0,0,0,0
5002,伤害监视,1000002220,0,0,0,0,0,0,0,0,0
5003,射速监视,1000002221,0,0,0,0,0,0,0,0,0
5004,回避监视,1000002222,0,0,0,0,0,0,0,0,0
5005,命中监视,1000002223,0,0,0,0,0,0,0,0,0
5006,榴弹发射器监视,1000002284,0,0,0,0,0,0,0,0,0
5007,精英击杀,1000002282,0,0,0,0,0,0,0,0,0
5008,掉编,0,0,0,0,0|1|2,0,0,1000002319,0,0
5009,江琦布丁监视,0,0,0,0,0|1|2|3,0,0,1,0,0
5010,江琦布丁解控监视,1000002356,0,0,0,0,0,0,0,0,0
70001,开场AR监视,1000070013,0,0,0,0,0,0,0,0,0
70002,开场SMG监视,1000070014,0,0,0,0,0,0,0,0,0
70003,开场RF监视,1000070015,0,0,0,0,0,0,0,0,0
70004,开场HG监视,1000070016,0,0,0,0,0,0,0,0,0
70005,开场MG监视,1000070017,0,0,0,0,0,0,0,0,0
70006,开场SG监视,1000070018,0,0,0,0,0,0,0,0,0
