id,defender,defender_upper,belong,hold_belong,mission_skill,battle_skill,condition,is_destroy,is_rebuild,draw_event,name,code,shifting_spot,shifting_team,battle_assist_range,performance_skill,show_info,working_special_spot,trigger_distance,active_mission_skill,inherent_mission_skill,type,is_focus,transition,belong_color,working_spot_activation,active_building_info,initial_state,pref_code,des,confront_des,squadinfoid,missionskill_on_death
1,50,50,2,1,0;0;0;0,0;0;405004;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000001,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000001,0,,building-20000001,building-30000001,0,
2,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000002,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000002,0,,building-20000002,building-30000002,0,
3,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,building-10000003,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000003,0,,building-20000003,building-30000003,0,
4,50,50,2,1,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000004,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000004,0,,building-20000004,building-30000004,0,
5,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000005,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000005,0,,building-20000005,building-30000005,0,
6,50,50,2,1,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000006,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000006,0,,building-20000006,building-30000006,0,
7,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000007,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000007,0,,building-20000007,building-30000007,0,
8,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000008,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000008,0,,building-20000008,building-30000008,0,
9,50,50,2,1,0;0;0;0,0;0;405004;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000009,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000009,0,,building-20000009,building-30000009,0,
10,50,50,3,0,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,building-10000010,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,building-40000010,0,,building-20000010,building-30000010,0,
