id,name,description,rank,code,type,group,unlock_lv,basic_effect,search_range,normal_attack,skill,inherent_mission_skill,turn_mission_skill,skill_group,h_weapon_ratio,l_weapon_ratio,reload_ratio,atk_speed_ratio,precision_ratio,hit_ratio,heavy_damage,light_damage,reload,atk_speed,precision,hit,armor,dodge,speed,critical_harm_rate,critical_percent,H_armor_piercing,L_armor_piercing,def_break,energy,energy_bak,night_view_percent,is_addition,is_show,obtain_ids,sp_description,att_roll,bonus_type,interact_point,interact_point_offset,exp_provide,introduction,attack_type,effect_range,custom_type,unable_buff_id,unable_buff_type
12,vehicle_component-10000012,vehicle_component-20000012,5,TankM1,1,2,"1,3,10",500600700800,20,0,1:220106,,,,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,vehicle_component-40000012,1001,"h_weapon_ratio:500,hit_ratio:500,atk_speed_ratio:500,reload_ratio:500,precision_ratio:500",,,200,vehicle_component-50000012,1,1.5,1001,,
13,vehicle_component-10000013,vehicle_component-20000013,3,TankM1,2,1,"1,3,10",500600700800,7,220107,1:220201,,,"220158,220108",0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,3001",vehicle_component-40000013,1002,"search_range:500,l_weapon_ratio:500,hit_ratio:500,atk_speed_ratio:500,reload_ratio:500,precision_ratio:500",,,50,vehicle_component-50000013,0,,1002,,
22,vehicle_component-10000022,vehicle_component-20000022,5,Warjack,1,2,"1,3,10",500600700800,20,0,1:220140,,,,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,vehicle_component-40000022,1001,"h_weapon_ratio:500,hit_ratio:500,atk_speed_ratio:500,reload_ratio:500,precision_ratio:500",,,200,vehicle_component-50000022,1,1.5,1001,,
23,vehicle_component-10000023,vehicle_component-20000023,3,Warjack,2,1,"1,3,10",500600700800,7,900107,1:220141,,,"220143,220142,220144,220145,220146,220149,220224,220225",0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,3001",vehicle_component-40000023,1002,"search_range:500,l_weapon_ratio:500,hit_ratio:500,atk_speed_ratio:500,reload_ratio:500,precision_ratio:500",,,50,vehicle_component-50000023,0,,1002,,
24,vehicle_component-10000024,vehicle_component-20000024,3,Warjack,3,1,"1,3,10",500600700800,7,900107,1:220150,,,,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,3001",vehicle_component-40000024,1002,"search_range:500,l_weapon_ratio:500,hit_ratio:500,atk_speed_ratio:500,reload_ratio:500,precision_ratio:500",,,50,vehicle_component-50000024,0,,,,
1001,vehicle_component-10001001,vehicle_component-20001001,5,装填芯片,0,129,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001001,5001,reload:1000,,,1000,vehicle_component-50001001,0,,1000,,
1002,vehicle_component-10001002,vehicle_component-20001002,5,射速芯片,0,130,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001002,5002,atk_speed:1000,,,1000,vehicle_component-50001002,0,,1000,,
1003,vehicle_component-10001003,vehicle_component-20001003,5,精准芯片,0,131,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001003,5001,precision:1000,,,1000,vehicle_component-50001003,0,,1000,,
1004,vehicle_component-10001004,vehicle_component-20001004,5,命中芯片,0,132,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001004,5002,hit:1000,,,1000,vehicle_component-50001004,0,,1000,,
1005,vehicle_component-10001005,vehicle_component-20001005,5,护甲芯片,0,133,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001005,5004,armor:1000,,,1000,vehicle_component-50001005,0,,1000,,
