id,campaign_id,tag,order,name,chapter_name,bg_code,bg_config,desc,scene_name,event_prize_level,rank_id
19,-33,normal_activity-10000019,7,normal_activity-20000019,normal_activity-30000019,active_Reversible,#000000C7|#3D415166|#2B9487|#FFFFFFFF,normal_activity-40000019,Reversiblelogo,0,
35,-55,normal_activity-10000035,7,normal_activity-20000035,normal_activity-30000035,missionselect_Reversible_RE,,normal_activity-40000035,,10006,306
45,-61,normal_activity-10000045,104,normal_activity-20000045,normal_activity-30000045,active_202307,#000000C7|#3D415166|#4a62f7|#FFFFFFFF,normal_activity-40000045,active_202307logo,0,
47,-62,normal_activity-10000047,104,normal_activity-20000047,normal_activity-30000047,active_2023se,#000000C7|#3D415166|#0084FF|#FFFFFFFF,normal_activity-40000047,active_2023selogo,0,
48,-58,normal_activity-10000048,15,normal_activity-20000048,normal_activity-30000048,active_Slowshock,#000000C7|#3D415166|#0084FF|#FFFFFFFF,normal_activity-40000048,active_Slowshocklogo,0,
49,-40403,normal_activity-10000049,15,normal_activity-20000049,normal_activity-30000049,missionselect_SlowshockExt,,normal_activity-40000049,,10013,313
50,-68,normal_activity-10000050,16,normal_activity-20000050,normal_activity-30000050,active_202404,#000000C7|#3D415166|#FF4800|#FFFFFFFF,normal_activity-40000050,active_202404logo,0,
51,-69,normal_activity-10000051,17,normal_activity-20000051,normal_activity-30000051,active_202406,#000000C7|#3D415166|#FF4800|#FFFFFFFF,normal_activity-40000051,active_202406logo,0,
52,-70,normal_activity-10000052,18,normal_activity-20000052,normal_activity-30000052,active_202407,#000000C7|#3D415166|#FF4800|#FFFFFFFF,normal_activity-40000052,active_202407logo,0,
53,-71,normal_activity-10000053,19,normal_activity-20000053,normal_activity-30000053,active_202408,#000000C7|#3D415166|#FF4800|#FFFFFFFF,normal_activity-40000053,active_202408logo,0,
54,-72,normal_activity-10000054,19,normal_activity-20000054,normal_activity-30000054,active_202410,#000000C7|#3D415166|#FF4800|#FFFFFFFF,normal_activity-40000054,active_202410logo,0,
