id,name,unlock_furniture_level,type,equip_boss,dev_specialitem_num,code,des,dev_battery_num,dev_time,active_special_skill,active_special_skill_cd,active_special_skill_cost,active_mission_skill,chip_skill,passive_mission_skill,special_skill_parameter,night_view_percent,dev_num,dev_item_value
1001,sangvis_chip-10001001,0,1,0,,NightView,sangvis_chip-20001001,1000,300,,,,,,30001:1,,0,0,
1002,sangvis_chip-10001002,1,1,0,,NightHit,sangvis_chip-20001002,1000,600,,,,,,30002:1,,100,0,
1003,sangvis_chip-10001003,3,1,0,,ExtraAp,sangvis_chip-20001003,1000,1800,,,,,,"30003:1,2",,0,0,
1004,sangvis_chip-10001004,5,1,0,,ExtraAmmo,sangvis_chip-20001004,1000,3600,,,,,,30005:1,,0,0,
1005,sangvis_chip-10001005,4,1,0,,AmmoReduce,sangvis_chip-20001005,1000,2400,,,,,,30004:1,,0,0,
2003,sangvis_chip-10002003,4,2,0,,Steal,sangvis_chip-20002003,1000,2400,102,0,"0,1,1",,,,,0,0,
2004,sangvis_chip-10002004,5,2,0,,InstantSupply,sangvis_chip-20002004,1000,3600,104,2,"3,0,0",,,,,0,0,
3001,sangvis_chip-10003001,0,3,0,,Weak,sangvis_chip-20003001,1000,300,,,,,3001,,,0,0,
3002,sangvis_chip-10003002,1,3,0,,Support,sangvis_chip-20003002,1000,300,,,,,3002,,,0,0,
3003,sangvis_chip-10003003,2,3,0,,SeKiRo,sangvis_chip-20003003,1000,1200,,,,,3003,,,0,0,
3004,sangvis_chip-10003004,4,3,0,,Defence,sangvis_chip-20003004,1000,2400,,,,,3004,,,0,0,
3005,sangvis_chip-10003005,3,3,0,,ArmyPower,sangvis_chip-20003005,1000,1800,,,,,3007,,,0,0,
3006,sangvis_chip-10003006,3,3,0,,SupportPower,sangvis_chip-20003006,1000,1800,,,,,3008,,,0,0,
