id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction,is_hide_info
1,1,1,IOP_Contract,item-10000001,item-20000001,1,10,,,0,0,1|4|5|3,item-30000001,0
2,1,2,EQUIP_Contract,item-10000002,item-20000002,1,15,,,0,0,1|4|5|3,item-30000002,0
3,1,3,Quick_Develop,item-10000003,item-20000003,1,20,,,0,0,1|4|5|3,item-30000003,0
4,1,4,Quick_Reinforce,item-10000004,item-20000004,1,25,,,0,0,1|4|5|3,item-30000004,0
5,1,5,Daily_Pause,item-10000005,item-20000005,1,0,,,0,0,,item-30000005,0
6,1,6,Auto_Battle,item-10000006,item-20000006,1,0,,,0,0,,item-30000006,0
7,1,7,Ring,item-10000007,item-20000007,1,5,,,0,0,1,item-30000007,0
8,1,8,Quick_Training,item-10000008,item-20000008,1,30,,,0,0,1|3,item-30000008,0
9,1,9,Capsule,item-10000009,item-20000009,1,35,,,0,0,25|6,item-30000009,0
10,2,1,Core,item-10000010,item-20000010,1,40,,,0,0,7|5|6|3,item-30000010,0
11,1,1,cost_raffle_ticket,item-10000011,item-20000011,1,0,,,0,0,,item-30000011,0
12,1,1,Integral_ticket,item-10000012,item-20000012,1,0,,,0,0,,item-30000012,0
13,1,1,Rename_card,item-10000013,item-20000013,1,-195,,,0,0,2,item-30000013,0
14,1,1,primary_data_unit,item-10000014,item-20000014,1,95,,,0,0,8|5,item-30000014,0
15,1,1,advanced_data_unit,item-10000015,item-20000015,1,100,,,0,0,8|5,item-30000015,0
16,1,1,Quick_Analysis,item-10000016,item-20000016,1,105,,,0,0,1|5|2,item-30000016,0
17,1,1,Data_Patch,item-10000017,item-20000017,1,110,,,0,0,9|10,item-30000017,0
31,2,2,Train_Coin1,item-10000031,item-20000031,1,45,,,9999,0,12,item-30000031,0
32,2,3,Train_Coin2,item-10000032,item-20000032,1,50,,,9999,0,12,item-30000032,0
33,2,4,Train_Coin3,item-10000033,item-20000033,1,55,,,9999,0,12,item-30000033,0
41,1,10,Furniture_Coin,item-10000041,item-20000041,1,60,,,300000,0,1|4|5|2,item-30000041,0
42,1,11,Exchange_Coin,item-10000042,item-20000042,1,65,,,0,0,11,item-30000042,0
43,1,12,Skin_Exchange,item-10000043,item-20000043,1,70,,,0,0,11,item-30000043,0
44,1,13,Voucher,item-10000044,item-20000044,1,75,,,0,0,13|5,item-30000044,0
45,1,1,Memory_pieces,item-10000045,item-20000045,1,90,,,9999,0,14|15,item-30000045,0
46,1,1,sp_battle_report,item-10000046,item-20000046,1,115,,,0,0,24|16|6,item-30000046,0
47,1,1,TheaterMaterial,item-10000047,item-20000047,1,0,,,0,0,,item-30000047,0
48,1,1,Train_Coin_box,item-10000048,item-20000048,1,0,,,0,0,,item-30000048,0
49,1,1,TheaterMaterial,item-10000049,item-20000049,1,0,,,0,0,,item-30000049,0
50,1,50,Component,item-10000050,item-20000050,1,130,,,0,0,6|5,item-30000050,0
51,1,1,Fire_Control_Component,item-10000051,item-20000051,5,130,,,9999,0,6,item-30000051,0
52,1,1,签到枪容错,item-10000052,item-20000052,5,0,,,0,0,,item-30000052,0
53,1,1,FlightChess_BonusTicket,item-10000053,item-20000053,1,0,,,0,0,,item-30000053,0
54,1,1,PieceBlackCard,item-10000054,item-20000054,1,-70,,,0,0,,item-30000054,0
55,1,1,Fairy_Biscuit,item-10000055,item-20000055,1,-71,,,0,0,,item-30000055,0
57,1,1,Energy,item-10000057,item-20000057,1,0,,,0,0,,item-30000057,0
60,1,1,Component_EXP_Item,item-10000060,item-20000060,1,115,,,0,0,7,item-30000060,0
100,3,1,Medal_QuarterEvent,item-10000100,item-20000100,1,0,,,0,0,,item-30000100,0
101,3,2,Medal_RankBattle,item-10000101,item-20000101,1,0,,,0,0,,item-30000101,0
102,3,3,Medal_RankCollection,item-10000102,item-20000102,1,0,,,0,0,,item-30000102,0
103,3,4,Medal_Challenger,item-10000103,item-20000103,1,0,,,0,0,,item-30000103,0
104,3,5,Medal_Collaboration,item-10000104,item-20000104,1,0,,,0,0,,item-30000104,0
105,3,6,Medal_SangvisBattle,item-10000105,item-20000105,1,0,,,0,0,,item-30000105,0
106,3,7,Medal_Chess,item-10000106,item-20000106,1,0,,,0,0,,item-30000106,0
107,3,8,Medal_2022winter,item-10000107,item-20000107,1,0,,,0,0,,item-30000107,0
108,3,9,Medal_2022winter_rank,item-10000108,item-20000108,1,0,,,0,0,,item-30000108,0
109,3,10,Medal_Theater8th,item-10000109,item-20000109,1,0,,,0,0,,item-30000109,0
110,3,11,Medal_Theater8th_rank,item-10000110,item-20000110,1,0,,,0,0,,item-30000110,0
111,3,12,Medal_2019winter_re_rank,item-10000111,item-20000111,1,0,,,0,0,,item-30000111,0
112,3,13,Medal_2022summer,item-10000112,item-20000112,1,0,,,0,0,,item-30000112,0
113,3,14,Medal_2022summer_rank,item-10000113,item-20000113,1,0,,,0,0,,item-30000113,0
114,3,15,Medal_Theater9th,item-10000114,item-20000114,1,0,,,0,0,,item-30000114,0
115,3,16,Medal_Theater9th_rank,item-10000115,item-20000115,1,0,,,0,0,,item-30000115,0
116,3,17,Medal_2021winter_re_rank,item-10000116,item-20000116,1,0,,,0,0,,item-30000116,0
117,3,18,Medal_2022Scar,item-10000117,item-20000117,1,0,,,0,0,,item-30000117,0
118,3,19,Medal_saga,item-10000118,item-20000118,1,0,,,0,0,,item-30000118,0
119,3,20,Medal_Theater10th,item-10000119,item-20000119,1,0,,,0,0,,item-30000119,0
120,3,21,Medal_Theater10th_rank,item-10000120,item-20000120,1,0,,,0,0,,item-30000120,0
121,3,22,Medal_SlowShock,item-10000121,item-20000121,1,0,,,0,0,,item-30000121,0
122,3,23,Medal_SlowShock_rank,item-10000122,item-20000122,1,0,,,0,0,,item-30000122,0
123,3,24,Medal_2020winter_re_rank,item-10000123,item-20000123,1,0,,,0,0,,item-30000123,0
124,3,25,Medal_TheaterJPAdd1st,item-10000124,item-20000124,1,0,,,0,0,,item-30000124,0
125,3,26,Medal_TheaterJPAdd1st_rank,item-10000125,item-20000125,1,0,,,0,0,,item-30000125,0
126,3,27,Medal_TheaterJPAdd2nd,item-10000126,item-20000126,1,0,,,0,0,,item-30000126,0
127,3,28,Medal_TheaterJPAdd2nd_rank,item-10000127,item-20000127,1,0,,,0,0,,item-30000127,0
128,3,29,Medal_Theater11th,item-10000128,item-20000128,1,0,,,0,0,,item-30000128,0
129,3,30,Medal_Theater11th_rank,item-10000129,item-20000129,1,0,,,0,0,,item-30000129,0
130,3,31,Medal_2020summer_re_rank,item-10000130,item-20000130,1,0,,,0,0,,item-30000130,0
131,3,32,Medal_SAC2045,item-10000131,item-20000131,1,0,,,0,0,,item-30000131,0
301,1,1,CentreDataBGM71,item-10000301,item-20000301,1,0,,,0,0,,item-30000301,0
302,1,1,CentreDataAGS30,item-10000302,item-20000302,1,0,,,0,0,,item-30000302,0
303,1,1,CentreData2B14,item-10000303,item-20000303,1,0,,,0,0,,item-30000303,0
304,1,1,CentreDataM2,item-10000304,item-20000304,1,0,,,0,0,,item-30000304,0
305,1,1,CentreDataAT4,item-10000305,item-20000305,1,0,,,0,0,,item-30000305,0
306,1,1,CentreDataQLZ04,item-10000306,item-20000306,1,0,,,0,0,,item-30000306,0
307,1,1,CentreDataMK153,item-10000307,item-20000307,1,0,,,0,0,,item-30000307,0
308,1,1,CentreDataPP93,item-10000308,item-20000308,1,0,,,0,0,,item-30000308,0
309,1,1,CentreDataMK47,item-10000309,item-20000309,1,0,,,0,0,,item-30000309,0
310,1,1,CentreDataRPG29,item-10000310,item-20000310,1,0,,,0,0,,item-30000310,0
501,2,5,Mp,item-10000501,item-20000501,1,0,,,300000,0,,item-30000501,0
502,2,6,Ammo,item-10000502,item-20000502,1,0,,,300000,0,,item-30000502,0
503,2,7,Mre,item-10000503,item-20000503,1,0,,,300000,0,,item-30000503,0
504,2,8,Part,item-10000504,item-20000504,1,0,,,300000,0,,item-30000504,0
505,2,9,Gem,item-10000505,item-20000505,1,0,,,0,0,,item-30000505,0
506,1,1,Battery,item-10000506,item-20000506,1,85,,,9999,0,17|6|5,item-30000506,0
507,4,1,Exp,item-10000507,item-20000507,1,0,,,0,0,,item-30000507,0
508,2,12,friend_points,item-10000508,item-20000508,1,80,,,0,0,17|18|5,item-30000508,0
509,2,1,FairyCommand,item-10000509,item-20000509,1,0,,,0,0,,item-30000509,0
510,2,1,BPrevivalpill,item-10000510,item-20000510,1,0,,,0,0,1,item-30000510,0
511,4,1,Exp,item-10000511,item-20000511,1,0,,,0,0,,item-30000511,0
512,1,1,sangvis_core1,item-10000512,item-20000512,1,160,,,0,0,7,item-30000512,0
513,1,1,sangvis_core2,item-10000513,item-20000513,1,165,,,0,0,7,item-30000513,0
514,1,1,sangvis_advance_item,item-10000514,item-20000514,1,135,,,0,0,20|19|22,item-30000514,0
515,1,1,sangvis_skill_coin1,item-10000515,item-20000515,1,140,,,0,0,20|19|22,item-30000515,0
516,1,1,sangvis_skill_coin2,item-10000516,item-20000516,1,145,,,0,0,20|19|22,item-30000516,0
517,1,1,Special_Equip_Ticket,item-10000517,item-20000517,1,-200,,,0,0,2,item-30000517,0
518,1,1,sangvis_skill_coin2,item-10000518,item-20000518,1,0,,,0,0,,item-30000518,0
519,1,1,general_data_unit,item-10000519,item-20000519,1,-150,,,0,0,9,item-30000519,0
520,1,520,Grenade,item-10000520,item-20000520,1,-175,,,0,0,2,item-30000520,0
521,1,521,Flashbang,item-10000521,item-20000521,1,-180,,,0,0,2,item-30000521,0
522,1,522,Machine_Gun_Tower,item-10000522,item-20000522,1,-185,,,0,0,2,item-30000522,0
523,1,1,GK,item-10000523,item-20000523,1,0,,,0,0,,item-30000523,0
524,1,1,golyatplg_d,item-10000524,item-20000524,1,-190,,,0,0,2,item-30000524,0
525,1,1,Quick,item-10000525,item-20000525,1,35,,,0,0,23|5|2,item-30000525,0
526,1,1,Special_Equip_Ticket_2,item-10000526,item-20000526,1,-40,,,0,0,,item-30000526,0
527,1,527,Grenade,item-10000527,item-20000527,1,0,,,0,0,,item-30000527,1
528,1,528,Grenade,item-10000528,item-20000528,1,0,,,0,0,,item-30000528,1
529,1,529,Flashbang,item-10000529,item-20000529,1,0,,,0,0,,item-30000529,1
530,1,530,Flashbang,item-10000530,item-20000530,1,0,,,0,0,,item-30000530,1
531,1,531,assess202309_item1,item-10000531,item-20000531,1,0,,,0,0,,item-30000531,1
532,1,532,assess202309_item2,item-10000532,item-20000532,1,0,,,0,0,,item-30000532,1
533,1,533,assess202309_item3,item-10000533,item-20000533,1,0,,,0,0,,item-30000533,1
534,1,534,assess202309_item3,item-10000534,item-20000534,1,0,,,0,0,,item-30000534,1
535,1,1,gun_material1_coin1,item-10000535,item-20000535,1,0,,,0,0,,item-30000535,0
601,1,1,DressUpRandomColoring,item-10000601,item-20000601,1,120,,,0,0,1|2,item-30000601,0
602,1,1,DressUpSpecifyColoring,item-10000602,item-20000602,1,125,,,0,0,2,item-30000602,0
603,1,1,sangvis_material1_coin1,item-10000603,item-20000603,1,0,,,0,1,,item-30000603,0
604,1,1,sangvis_gacha_coin1,item-10000604,item-20000604,1,0,,,0,1,,item-30000604,0
605,1,1,sangvis_gacha_coin3,item-10000605,item-20000605,1,155,,,0,0,1|5|3|2,item-30000605,0
606,1,1,sangvis_exchange_item,item-10000606,item-20000606,1,170,,,0,0,19,item-30000606,0
1001,5,1,profilePic_rank2_AAT-52,item-10001001,item-20001001,1,0,,,0,0,,item-30001001,0
1002,5,1,profilePic_rank2_G43,item-10001002,item-20001002,1,0,,,0,0,,item-30001002,0
1003,5,1,profilePic_rank2_IDW,item-10001003,item-20001003,1,0,,,0,0,,item-30001003,0
1004,5,1,profilePic_rank2_L85A1,item-10001004,item-20001004,1,0,,,0,0,,item-30001004,0
1005,5,1,profilePic_rank2_M1911,item-10001005,item-20001005,1,0,,,0,0,,item-30001005,0
1006,5,1,profilePic_rank2_PPSH-41,item-10001006,item-20001006,1,0,,,0,0,,item-30001006,0
1007,5,1,profilePic_rank2_MAB38,item-10001007,item-20001007,1,0,,,0,0,,item-30001007,0
1008,5,1,profilePic_rank3_AK-47,item-10001008,item-20001008,1,0,,,0,0,,item-30001008,0
1009,5,1,profilePic_rank3_Glock17,item-10001009,item-20001009,1,0,,,0,0,,item-30001009,0
1010,5,1,profilePic_rank3_PM,item-10001010,item-20001010,1,0,,,0,0,,item-30001010,0
1011,5,1,profilePic_rank3_Vz61,item-10001011,item-20001011,1,0,,,0,0,,item-30001011,0
1012,5,1,profilePic_rank3_SPS,item-10001012,item-20001012,1,0,,,0,0,,item-30001012,0
1013,5,1,profilePic_rank4_AR15,item-10001013,item-20001013,1,0,,,0,0,,item-30001013,0
1014,5,1,profilePic_rank4_M1918,item-10001014,item-20001014,1,0,,,0,0,,item-30001014,0
1015,5,1,profilePic_rank4_mp5,item-10001015,item-20001015,1,0,,,0,0,,item-30001015,0
1016,5,1,profilePic_rank4_PTRD,item-10001016,item-20001016,1,0,,,0,0,,item-30001016,0
1017,5,1,profilePic_rank4_ump9,item-10001017,item-20001017,1,0,,,0,0,,item-30001017,0
1018,5,1,profilePic_rank5_G11,item-10001018,item-20001018,1,0,,,0,0,,item-30001018,0
1019,5,1,profilePic_rank5_OTs14,item-10001019,item-20001019,1,0,,,0,0,,item-30001019,0
1020,5,1,profilePic_rank5_KP31,item-10001020,item-20001020,1,0,,,0,0,,item-30001020,0
1021,5,2,card_rank1_iop,item-10001021,item-20001021,1,0,,,0,0,,item-30001021,0
1022,5,2,card_rankJ_aegis,item-10001022,item-20001022,1,0,,,0,0,,item-30001022,0
