"id","fetter_id","actor","milestone","reward","name","description"
"101","1","g:9","0","22006","fetter_story-10000101","fetter_story-20000101"
"102","1","g:9;g:167","1","22003","fetter_story-10000102","fetter_story-20000102"
"103","1","g:9;g:167;g:92","1","22001","fetter_story-10000103","fetter_story-20000103"
"104","1","","2","22002","fetter_story-10000104","fetter_story-20000104"
"105","1","g:167;g:92;g:7","2","22004","fetter_story-10000105","fetter_story-20000105"
"106","1","g:9;g:167;g:92;g:7","2","22006","fetter_story-10000106","fetter_story-20000106"
"107","1","g:9;g:167;g:92;g:7","3","22022","fetter_story-10000107","fetter_story-20000107"
"108","1","g:9;g:167;g:92;g:272","3","22023","fetter_story-10000108","fetter_story-20000108"
"109","1","g:9;g:167;g:92;g:272","4","22024","fetter_story-10000109","fetter_story-20000109"
"110","1","g:9;g:167;g:92;g:7;g:272","5","22005","fetter_story-10000110","fetter_story-20000110"
"111","1","g:9;g:167","6","22041","fetter_story-10000111","fetter_story-20000111"
"201","2","g:36;g:50","1","22001","fetter_story-10000201","fetter_story-20000201"
"202","2","g:36;g:50;g:48","1","22004","fetter_story-10000202","fetter_story-20000202"
"203","2","g:36;g:50;g:48","2","22005","fetter_story-10000203","fetter_story-20000203"
"204","2","g:36;g:50;g:48","2","22006","fetter_story-10000204","fetter_story-20000204"
"205","2","g:36;g:50;g:48","3","22022","fetter_story-10000205","fetter_story-20000205"
"206","2","g:36;g:50;g:48;g:46;g:39","3","22005","fetter_story-10000206","fetter_story-20000206"
"207","2","g:36;g:50;g:48;g:46;g:39","3","22006","fetter_story-10000207","fetter_story-20000207"
"208","2","g:36;g:50;g:48;g:46;g:39","4","22003","fetter_story-10000208","fetter_story-20000208"
"209","2","g:36;g:50;g:48;g:46;g:39","4","22042","fetter_story-10000209","fetter_story-20000209"
"210","2","g:36;g:50","5","22047","fetter_story-10000210","fetter_story-20000210"
"301","3","g:96;g:297;g:155","1","22025","fetter_story-10000301","fetter_story-20000301"
"302","3","g:96;g:297;g:155","1","22003","fetter_story-10000302","fetter_story-20000302"
"303","3","g:96;g:297;g:155","1","22004","fetter_story-10000303","fetter_story-20000303"
"304","3","g:96;g:180;g:297;g:306;g:155","2","22006","fetter_story-10000304","fetter_story-20000304"
"305","3","g:96;g:180;g:297;g:306;g:155","2","22005","fetter_story-10000305","fetter_story-20000305"
"306","3","g:96;g:180;g:297;g:306;g:155","3","22001","fetter_story-10000306","fetter_story-20000306"
"307","3","g:96;g:180;g:297;g:306;g:155","3","22003","fetter_story-10000307","fetter_story-20000307"
"308","3","g:96;g:180;g:297;g:306;g:155","4","22002","fetter_story-10000308","fetter_story-20000308"
"309","3","g:96;g:180;g:297;g:306;g:155","4","22022","fetter_story-10000309","fetter_story-20000309"
"310","3","g:96;g:180;g:297;g:306;g:155","5","22042","fetter_story-10000310","fetter_story-20000310"
"401","4","g:64;g:36","1","22006","fetter_story-10000401","fetter_story-20000401"
"402","4","g:64;g:36","1","22003","fetter_story-10000402","fetter_story-20000402"
"403","4","g:64;g:36;g:216","2","22005","fetter_story-10000403","fetter_story-20000403"
"404","4","g:64;g:36;g:216","2","22024","fetter_story-10000404","fetter_story-20000404"
"405","4","g:36;g:104","3","22003","fetter_story-10000405","fetter_story-20000405"
"406","4","g:64;g:216","3","22002","fetter_story-10000406","fetter_story-20000406"
"407","4","g:36;g:104","3","22022","fetter_story-10000407","fetter_story-20000407"
"408","4","g:64;g:216","4","22023","fetter_story-10000408","fetter_story-20000408"
"409","4","g:64;g:36","4","22026","fetter_story-10000409","fetter_story-20000409"
"410","4","g:64;g:36;g:104;g:216","5","22042","fetter_story-10000410","fetter_story-20000410"
