id,mission_id,description,scripts,campaign,bgm,title,is_util,start,round,point,first,mid,end,fail,step_start_story,step_end_story,story_playback_sub_id,background_code
1,1,story_util-10000001,0-1-1|0-1-2,0,BGM_Frontline,story_util-20000001,1,0-1-1,,,0-1-2,,0-1-2,,,,1,雪地
2,2,story_util-10000002,0-2-1|0-2-2,0,BGM_Frontline,story_util-20000002,1,0-2-1,,,0-2-2,,0-2-2,,,,1,作战室avg
3,3,story_util-10000003,0-3-1|0-3-2,0,BGM_Frontline,story_util-20000003,1,0-3-1,,,0-3-2,,0-3-2,,,,1,室内战斗
4,4,story_util-10000004,0-4-1|0-4-2,0,BGM_Frontline,story_util-20000004,1,0-4-1,,,0-4-2,,0-4-2,,,,1,M16开枪
5,5,story_util-10000005,1-1-1|1-1-2,1,BGM_Frontline,story_util-20000005,1,1-1-1,,,1-1-2,,1-1-2,,,,1,ANTIRAIN
6,6,story_util-10000006,1-2-1|1-2-2,1,BGM_Frontline,story_util-20000006,1,1-2-1,,,1-2-2,,1-2-2,,,,1,SFs
7,7,story_util-10000007,1-3-1|1-3-2,1,BGM_Frontline,story_util-20000007,1,1-3-1,,,1-3-2,,1-3-2,,,,1,工厂背景avg
8,8,story_util-10000008,1-4-1|1-4-2,1,BGM_Frontline,story_util-20000008,1,1-4-1,,,1-4-2,,1-4-2,,,,1,作战室avg
9,9,story_util-10000009,1-5-1|1-5-2,1,BGM_Frontline,story_util-20000009,1,1-5-1,,,1-5-2,,1-5-2,,,,1,作战室avg
10,10,story_util-10000010,1-6-1|1-6-2,1,BGM_Frontline,story_util-20000010,1,1-6-1,,,1-6-2,,1-6-2,,,,1,CG.1-6 有人
11,11,story_util-10000011,1-1-1E|1-1-2E,1,BGM_Frontline,story_util-20000011,1,1-1-1E,,,1-1-2E,,1-1-2E,,,,2,作战室avg
12,12,story_util-10000012,1-2-1E|1-2-2E,1,BGM_Frontline,story_util-20000012,1,1-2-1E,,,1-2-2E,,1-2-2E,,,,2,作战室avg
13,13,story_util-10000013,1-3-1E|1-3-2E,1,BGM_Frontline,story_util-20000013,1,1-3-1E,,,1-3-2E,,1-3-2E,,,,2,SFs
14,14,story_util-10000014,1-4-1E|1-4-2E,1,BGM_Frontline,story_util-20000014,1,1-4-1E,,,1-4-2E,,1-4-2E,,,,2,作战室avg
15,90001,story_util-10000015,1-1-1N|1-1-2N,1,BGM_Frontline,story_util-20000015,1,1-1-1N,,,1-1-2N,,1-1-2N,,,,3,树林
16,90002,story_util-10000016,1-2-1N|1-2-2N,1,BGM_Frontline,story_util-20000016,1,1-2-1N,,,1-2-2N,,1-2-2N,,,,3,树林
17,90003,story_util-10000017,1-3-1N|1-3-2N,1,BGM_Frontline,story_util-20000017,1,1-3-1N,,,1-3-2N,,1-3-2N,,,,3,树林
18,90004,story_util-10000018,1-4-1N|1-4-2N,1,BGM_Frontline,story_util-20000018,1,1-4-1N,,,1-4-2N,,1-4-2N,,,,3,作战室avg
19,15,story_util-10000019,2-1-1|2-1-2,2,BGM_Frontline,story_util-20000019,1,2-1-1,,,2-1-2,,2-1-2,,,,1,工厂背景avg
20,16,story_util-10000020,2-2-1|2-2-2,2,BGM_Frontline,story_util-20000020,1,2-2-1,,,2-2-2,,2-2-2,,,,1,工厂背景avg
21,17,story_util-10000021,2-3-1|2-3-2,2,BGM_Frontline,story_util-20000021,1,2-3-1,,,2-3-2,,2-3-2,,,,1,机场
22,18,story_util-10000022,2-4-1|2-4-2,2,BGM_Frontline,story_util-20000022,1,2-4-1,,,2-4-2,,2-4-2,,,,1,工厂背景avg
23,19,story_util-10000023,2-5-1|2-5-2,2,BGM_Frontline,story_util-20000023,1,2-5-1,,,2-5-2,,2-5-2,,,,1,作战室avg
24,20,story_util-10000024,2-6-1|2-6-2,2,BGM_Frontline,story_util-20000024,1,2-6-1,,,2-6-2,,2-6-2,,,,1,CG.2-6
25,21,story_util-10000025,2-1-1E|2-1-2E,2,BGM_Frontline,story_util-20000025,1,2-1-1E,,,2-1-2E,,2-1-2E,,,,2,作战室avg
26,22,story_util-10000026,2-2-1E|2-2-2E,2,BGM_Frontline,story_util-20000026,1,2-2-1E,,,2-2-2E,,2-2-2E,,,,2,作战室avg
27,23,story_util-10000027,2-3-1E|2-3-2E,2,BGM_Frontline,story_util-20000027,1,2-3-1E,,,2-3-2E,,2-3-2E,,,,2,作战室avg
28,24,story_util-10000028,2-4-1E|2-4-2E,2,BGM_Frontline,story_util-20000028,1,2-4-1E,,,2-4-2E,,2-4-2E,,,,2,作战室avg
29,90005,story_util-10000029,2-1-1N|2-1-2N,2,BGM_Frontline,story_util-20000029,1,2-1-1N,,,2-1-2N,,2-1-2N,,,,3,街道
30,90006,story_util-10000030,2-2-1N|2-2-2N,2,BGM_Frontline,story_util-20000030,1,2-2-1N,,,2-2-2N,,2-2-2N,,,,3,街道
31,90007,story_util-10000031,2-3-1N|2-3-2N,2,BGM_Frontline,story_util-20000031,1,2-3-1N,,,2-3-2N,,2-3-2N,,,,3,街道
32,90008,story_util-10000032,2-4-1N|2-4-2N,2,BGM_Frontline,story_util-20000032,1,2-4-1N,,,2-4-2N,,2-4-2N,,,,3,主界面背景
33,25,story_util-10000033,3-1-1|3-1-2,3,BGM_Frontline,story_util-20000033,1,3-1-1,,,3-1-2,,3-1-2,,,,1,主界面背景
34,26,story_util-10000034,3-2-1|3-2-2,3,BGM_Frontline,story_util-20000034,1,3-2-1,,,3-2-2,,3-2-2,,,,1,街道
35,27,story_util-10000035,3-3-1|3-3-2,3,BGM_Frontline,story_util-20000035,1,3-3-1,,,3-3-2,,3-3-2,,,,1,大桥
36,28,story_util-10000036,3-4-1|3-4-2,3,BGM_Frontline,story_util-20000036,1,3-4-1,,,3-4-2,,3-4-2,,,,1,主界面背景
37,29,story_util-10000037,3-5-1|3-5-2,3,BGM_Frontline,story_util-20000037,1,3-5-1,,,3-5-2,,3-5-2,,,,1,街道
38,30,story_util-10000038,3-6-1|3-6-2,3,BGM_Frontline,story_util-20000038,1,3-6-1,,,3-6-2,,3-6-2,,,,1,大桥
39,31,story_util-10000039,3-1-1E|3-1-2E,3,BGM_Frontline,story_util-20000039,1,3-1-1E,,,3-1-2E,,3-1-2E,,,,2,作战室avg
40,32,story_util-10000040,3-2-1E|3-2-2E,3,BGM_Frontline,story_util-20000040,1,3-2-1E,,,3-2-2E,,3-2-2E,,,,2,作战室avg
41,33,story_util-10000041,3-3-1E|3-3-2E,3,BGM_Frontline,story_util-20000041,1,3-3-1E,,,3-3-2E,,3-3-2E,,,,2,作战室avg
42,34,story_util-10000042,3-4-1E|3-4-2E,3,BGM_Frontline,story_util-20000042,1,3-4-1E,,,3-4-2E,,3-4-2E,,,,2,作战室avg
43,90009,story_util-10000043,3-1-1N|3-1-2N,3,BGM_Frontline,story_util-20000043,1,3-1-1N,,,3-1-2N,,3-1-2N,,,,3,大桥
44,90010,story_util-10000044,3-2-1N|3-2-2N,3,BGM_Frontline,story_util-20000044,1,3-2-1N,,,3-2-2N,,3-2-2N,,,,3,作战室avg
45,90011,story_util-10000045,3-3-1N|3-3-2N,3,BGM_Frontline,story_util-20000045,1,3-3-1N,,,3-3-2N,,3-3-2N,,,,3,主界面背景
46,90012,story_util-10000046,3-4-1N|3-4-2N,3,BGM_Frontline,story_util-20000046,1,3-4-1N,,,3-4-2N,,3-4-2N,,,,3,单挑
47,35,story_util-10000047,4-1-1|4-1-2,4,BGM_Frontline,story_util-20000047,1,4-1-1,,,4-1-2,,4-1-2,,,,1,室内战斗
48,36,story_util-10000048,4-2-1|4-2-2,4,BGM_Frontline,story_util-20000048,1,4-2-1,,,4-2-2,,4-2-2,,,,1,主界面背景
49,37,story_util-10000049,4-3-1|4-3-2,4,BGM_Frontline,story_util-20000049,1,4-3-1,,,4-3-2,,4-3-2,,,,1,CG.4-2
50,38,story_util-10000050,4-4-1|4-4-2,4,BGM_Frontline,story_util-20000050,1,4-4-1,,,4-4-2,,4-4-2,,,,1,单挑
51,39,story_util-10000051,4-5-1|4-5-2,4,BGM_Frontline,story_util-20000051,1,4-5-1,,,4-5-2,,4-5-2,,,,1,单挑
52,40,story_util-10000052,4-6-1|4-6-2,4,BGM_Frontline,story_util-20000052,1,4-6-1,,,4-6-2,,4-6-2,,,,1,eliza0
53,41,story_util-10000053,4-1-1E|4-1-2E,4,BGM_Frontline,story_util-20000053,1,4-1-1E,,,4-1-2E,,4-1-2E,,,,2,主界面背景
54,42,story_util-10000054,4-2-1E|4-2-2E,4,BGM_Frontline,story_util-20000054,1,4-2-1E,,,4-2-2E,,4-2-2E,,,,2,主界面背景
55,43,story_util-10000055,4-3-1E|4-3-2E,4,BGM_Frontline,story_util-20000055,1,4-3-1E,,,4-3-2E,,4-3-2E,,,,2,作战室avg
56,44,story_util-10000056,4-4-1E|4-4-2E,4,BGM_Frontline,story_util-20000056,1,4-4-1E,,,4-4-2E,,4-4-2E,,,,2,打海猫2
57,45,story_util-10000057,5-1-1|5-1-2,5,BGM_Frontline,story_util-20000057,1,5-1-1,,,5-1-2,,5-1-2,,,,1,作战室avg
58,46,story_util-10000058,5-2-1|5-2-2,5,BGM_Frontline,story_util-20000058,1,5-2-1,,,5-2-2,,5-2-2,,,,1,CG.5
59,47,story_util-10000059,5-3-1|5-3-2,5,BGM_Frontline,story_util-20000059,1,5-3-1,,,5-3-2,,5-3-2,,,,1,室内战斗
60,48,story_util-10000060,5-4-1|5-4-2,5,BGM_Frontline,story_util-20000060,1,5-4-1,,,5-4-2,,5-4-2,,,,1,单挑
61,49,story_util-10000061,5-5-1|5-5-2,5,BGM_Frontline,story_util-20000061,1,5-5-1,,,5-5-2,,5-5-2,,,,1,冰湖
62,50,story_util-10000062,5-6-1|5-6-2,5,BGM_Frontline,story_util-20000062,1,5-6-1,,,5-6-2,,5-6-2,,,,1,CG.5-6
63,51,story_util-10000063,5-1-1E|5-1-2E,5,BGM_Frontline,story_util-20000063,1,5-1-1E,,,5-1-2E,,5-1-2E,,,,2,冰湖
64,52,story_util-10000064,5-2-1E|5-2-2E,5,BGM_Frontline,story_util-20000064,1,5-2-1E,,,5-2-2E,,5-2-2E,,,,2,工厂背景avg
65,53,story_util-10000065,5-3-1E|5-3-2E,5,BGM_Frontline,story_util-20000065,1,5-3-1E,,,5-3-2E,,5-3-2E,,,,2,冰湖
