id,transform_type,transform_number,transform_result_add,transform_result_delete
1,1,2,701,1
2,1,2,702,
3,2,1-94686,8,
4,2,2-94687,704,
5,2,0-94693,705,3
6,201,0-4040403-94703,715,
7,201,2-4040402-94697,704,
8,201,1-4040401-94700,705,
9,3,1-94706,704,
10,3,2-94707,705,
11,3,0-94714,706,
12,4,4040601,706,
13,5,5,,1
14,6,4040801,703,
15,7,4040901,703,
16,8,4041002,713,
570501,4,570501||570502,703;725,
1092101,4,6003002,727,
1092102,6,6040403,723,
1101801,4,510801,740,
1101901,2,1-76419,703,
1102201,4,6511104||6511108,737,
1102301,1,2,704,
1102401,9,6511301,711,
1102501,6,6510127,,705
1102601,4,6511502,,719
1102602,4,6511503,,716
1102603,1,5,719,
1102604,1,6,716,
1102605,1,7,712,
1102606,1,8,706,
1102901,4,511901,704,709
1103001,2,1-75963,703;719,
1103301,4,6512106||6512111,737,
1103401,1,3,704,
1103501,9,6512301,711,
1103601,4,6512502,,719
1103602,4,6512503,,716
1103603,4,6512504,,712
1103604,4,6512505,,706
1103605,1,5,719,
1103606,1,6,716,
1103607,1,7,712,
1103608,1,8,706,
1103901,4,512901,704,709
1104001,2,1-76191,703;719,
1104301,4,6513106||6513111,737,
1104401,1,3,704,
1104501,9,6513301,711,
1104601,4,6513502,,719
1104602,4,6513503,,716
1104603,4,6513504,,712
1104604,4,6513505,,706
1104605,1,5,719,
1104606,1,6,716,
1104607,1,7,712,
1104608,1,8,706,
1110101,6,6520014,741,
1110102,6,6520015,737,
1110201,6,6520014,741,
1110202,6,6520015,737,
1111801,6,6540044,701,
1113001,6,6540113,704,
1113002,6,6540114,715,
1113401,6,6540113,704,
1113402,6,6540114,715,
1113801,6,6540113,704,
1113802,6,6540114,715,
1113803,6,6540115,723,
1133001,6,590001||597021,1133001,
1133002,6,590002,1133002,
1133003,6,590003,1133003,
1133004,6,590004,1133004,
1133005,6,590005,1133005,
1133006,6,590006,1133006,
1133007,6,590101||597021,1133007,
1133008,6,590102,1133008,
1133009,6,590103,1133009,
1133010,6,590104,1133010,
1133011,6,590105,1133011,
1133012,6,590106,1133012,
1133013,6,590201||597021,1133013,
1133014,6,590202,1133014,
1133015,6,590203,1133015,
1133016,6,590204,1133016,
1133017,6,590205,1133017,
1133018,6,590206,1133018,
1133019,6,590301,1133019,
1133020,6,590302,1133020,
1133021,6,590303,1133021,
1133022,6,590401,1133022,
1133023,6,590402,1133023,
1133024,6,590403,1133024,
1133025,6,590501,1133025,
1133026,6,590502,1133026,
1133027,6,590503,1133027,
1133028,6,590601||597022,1133028,
1133029,6,590602,1133029,
1133030,6,590603,1133030,
1133031,6,590604,1133031,
1133032,6,590605,1133032,
1133033,6,590606,1133033,
1133034,6,590701,1133034,
1133035,6,590702,1133035,
1133036,6,590703,1133036,
1133037,6,590704,1133037,
1133038,6,590705,1133038,
1133039,6,590706,1133039,
1133040,6,590801||597023,1133040,
1133041,6,590802,1133041,
1133042,6,590901,1133042,
1133043,6,590902,1133043,
1133044,6,591001,1133044,
1133045,6,591002,1133045,
1133046,6,591003,1133046,
1133047,6,591004,1133047,
1133048,6,591101,1133048,
1133049,6,591102,1133049,
1133050,6,591103,1133050,
1133051,6,591104,1133051,
1133052,6,591201,1133052,
1133053,6,591202,1133053,
1133054,6,591203,1133054,
1133055,6,591204,1133055,
1133056,6,591301,1133056,
1133057,6,591302,1133057,
1133058,6,591303,1133058,
1133059,6,591304,1133059,
1133060,6,591401,1133060,
1133061,6,591402,1133061,
1133062,6,591403,1133062,
1133063,6,591404,1133063,
1133064,6,591501,1133064,
1133065,6,591502,1133065,
1133066,6,591503,1133066,
1133067,6,591504,1133067,
1133068,6,592001,1133068,
1133069,6,592002,1133069,
1133070,6,592003,1133070,
1133071,6,592004,1133071,
1133072,6,592101,1133072,
1133073,6,592102,1133073,
1133074,6,592103,1133074,
1133075,6,592104,1133075,
1133076,6,592105,1133076,
1133077,6,592106,1133077,
1133078,6,592107,1133078,
1133079,6,592108,1133079,
1133080,6,592201,1133080,
1133081,6,592202,1133081,
1133082,6,592203,1133082,
1133083,6,592204,1133083,
1133084,6,592205,1133084,
1133085,6,592206,1133085,
1140201,6,6580024,1101,
1140202,6,6580025,1102,
1140203,6,6580026,1103,
1140204,6,6580027,1104,
1140205,6,6580028,1105,
1140206,6,6580029,1106,
1140207,6,6580030,1107,
1140208,6,6580031,1108,
1140209,6,6580032,1109,
1140210,1,2,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140211,1,3,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140212,1,4,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140213,1,5,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140301,6,6580024,1101,
1140302,6,6580025,1102,
1140303,6,6580026,1103,
1140304,6,6580027,1104,
1140305,6,6580028,1105,
1140306,6,6580029,1106,
1140307,6,6580030,1107,
1140308,6,6580031,1108,
1140309,6,6580032,1109,
1140310,1,2,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140311,1,3,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140312,1,4,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1140313,1,5,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1147901,6,6629414,230901,
1147902,6,6629415,230902,
1147903,6,6629416,230903,
1147904,1,2,,230901;230902;230903
1147905,1,3,,230901;230902;230903
1147906,1,4,,230901;230902;230903
1147907,1,5,,230901;230902;230903
1147908,1,6,,230901;230902;230903
1147909,1,7,,230901;230902;230903
1147910,1,8,,230901;230902;230903
1147911,1,9,,230901;230902;230903
1147912,1,10,,230901;230902;230903
1147913,1,11,,230901;230902;230903
1154901,6,6650007,1101,
1154902,6,6650008,1102,
1154903,6,6650009,1103,
1154904,6,6650010,1104,
1154905,6,6650011,1105,
1154906,6,6650012,1106,
1154907,6,6650013,1107,
1154908,6,6650014,1108,
1154909,6,6650015,1109,
1154910,1,2,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154911,1,3,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154912,1,4,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154913,1,5,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154914,1,6,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154915,6,6650007,1101,
1154916,6,6650008,1102,
1154917,6,6650009,1103,
1154918,6,6650010,1104,
1154919,6,6650011,1105,
1154920,6,6650012,1106,
1154921,6,6650013,1107,
1154922,6,6650014,1108,
1154923,6,6650015,1109,
1154924,1,2,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154925,1,3,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154926,1,4,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154927,1,5,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154928,1,6,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154929,6,6650007,1101,
1154930,6,6650008,1102,
1154931,6,6650009,1103,
1154932,6,6650010,1104,
1154933,6,6650011,1105,
1154934,6,6650012,1106,
1154935,6,6650013,1107,
1154936,6,6650014,1108,
1154937,6,6650015,1109,
1154938,1,2,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154939,1,3,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154940,1,4,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154941,1,5,,1101;1102;1103;1104;1105;1106;1107;1108;1109
1154942,1,6,,1101;1102;1103;1104;1105;1106;1107;1108;1109
