id,name,description,code,priority,duration_type,duration_time,special_spot_config_id,mission_hurt_config_id,mission_buff_config_id,detect_target_type,detect_range,effect_target_type,effect_spotbelong_type,effect_range_type,effect_range,side_type,conflict_type,conditions_type,conditions_time,conditions_count,skill_config_id_on_birth,skill_config_id_on_death,death_effect_target_type,death_clear_spot,effect_birth,effect_death,effect_duration,effect_process_star,effect_process_end,effect_process_duration,effect_conditions,effect_conditions_type,spot_buff_config_id,pref_code,is_still_alive
1,special_spot_config-10000001,special_spot_config-20000001,1,9,1,0,0,0,0,1,0,0,0|1|2|3,1,0,0,1,0;0,0-0;0-0,0,1|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
2,special_spot_config-10000002,special_spot_config-20000002,2,10,1,0,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,2,0;0,1-1;0-0,0,2|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
3,special_spot_config-10000003,special_spot_config-20000003,3,11,1,0,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,3,0;0,1-1;0-0,0,3|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
6,special_spot_config-10000006,special_spot_config-20000006,6,14,1,1,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,4,0;0,0-0;0-0,0,5|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
8,special_spot_config-10000008,special_spot_config-20000008,8,16,1,1,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,8,0;0,0-0;0-0,0,8|8|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
10,special_spot_config-10000010,special_spot_config-20000010,10,18,1|3,2|1,0,1,0,4|5|6,0,4|5|6,0|1|2|3,1,0,0,10,3|4;0,0-1|0-1;0-0,0,0|0|0,0|0|0,5,0,1,0,2,0,0,0,0|1,0,0,,0
12,special_spot_config-10000012,special_spot_config-20000012,12,20,1,1,0,0,61,-1,0,1|8|301|10|305|304,0|1|2|3,1,0,0,12,3;0,0-1;0-0,0,6|0|0,0|0|1201,-1,0,0,0,6,0,0,0,0|1,0,0,,0
13,special_spot_config-10000013,special_spot_config-20000013,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,13|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
14,special_spot_config-10000014,special_spot_config-20000014,14,22,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,14,1;0,1-1;0-0,0,14|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
15,special_spot_config-10000015,special_spot_config-20000015,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,15|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
