id,name,icon,dec,type,cost_part,sold_part,skill_ids
101,breakout_item-10000101,breakout_useitem1,breakout_item-20000101,1,120,120,701
102,breakout_item-10000102,breakout_useitem2,breakout_item-20000102,1,100,100,702
103,breakout_item-10000103,breakout_useitem3,breakout_item-20000103,1,180,180,703
104,breakout_item-10000104,breakout_useitem4,breakout_item-20000104,1,220,220,704
201,breakout_item-10000201,breakout_otheritem1,breakout_item-20000201,2,0,20,
202,breakout_item-10000202,breakout_otheritem2,breakout_item-20000202,2,0,36,
203,breakout_item-10000203,breakout_otheritem3,breakout_item-20000203,2,0,42,
204,breakout_item-10000204,breakout_otheritem4,breakout_item-20000204,2,0,73,
205,breakout_item-10000205,breakout_otheritem5,breakout_item-20000205,2,0,94,
206,breakout_item-10000206,breakout_otheritem6,breakout_item-20000206,2,0,91,
207,breakout_item-10000207,breakout_otheritem7,breakout_item-20000207,2,0,26,
208,breakout_item-10000208,breakout_otheritem8,breakout_item-20000208,2,0,36,
209,breakout_item-10000209,breakout_otheritem9,breakout_item-20000209,2,0,47,
210,breakout_item-10000210,breakout_otheritem10,breakout_item-20000210,2,0,72,
211,breakout_item-10000211,breakout_otheritem11,breakout_item-20000211,2,0,99,
212,breakout_item-10000212,breakout_otheritem12,breakout_item-20000212,2,0,112,
213,breakout_item-10000213,breakout_otheritem13,breakout_item-20000213,2,0,42,
214,breakout_item-10000214,breakout_otheritem14,breakout_item-20000214,2,0,48,
215,breakout_item-10000215,breakout_otheritem15,breakout_item-20000215,2,0,51,
216,breakout_item-10000216,breakout_otheritem16,breakout_item-20000216,2,0,39,
217,breakout_item-10000217,breakout_otheritem17,breakout_item-20000217,2,0,78,
218,breakout_item-10000218,breakout_otheritem18,breakout_item-20000218,2,0,96,
219,breakout_item-10000219,breakout_otheritem19,breakout_item-20000219,2,0,36,
220,breakout_item-10000220,breakout_otheritem20,breakout_item-20000220,2,0,43,
221,breakout_item-10000221,breakout_otheritem21,breakout_item-20000221,2,0,39,
222,breakout_item-10000222,breakout_otheritem22,breakout_item-20000222,2,0,68,
223,breakout_item-10000223,breakout_otheritem23,breakout_item-20000223,2,0,94,
224,breakout_item-10000224,breakout_otheritem24,breakout_item-20000224,2,0,166,
225,breakout_item-10000225,breakout_otheritem25,breakout_item-20000225,2,0,39,
226,breakout_item-10000226,breakout_otheritem26,breakout_item-20000226,2,0,46,
227,breakout_item-10000227,breakout_otheritem27,breakout_item-20000227,2,0,49,
228,breakout_item-10000228,breakout_otheritem28,breakout_item-20000228,2,0,62,
229,breakout_item-10000229,breakout_otheritem29,breakout_item-20000229,2,0,85,
230,breakout_item-10000230,breakout_otheritem30,breakout_item-20000230,2,0,101,
231,breakout_item-10000231,breakout_otheritem31,breakout_item-20000231,2,0,29,
232,breakout_item-10000232,breakout_otheritem32,breakout_item-20000232,2,0,36,
233,breakout_item-10000233,breakout_otheritem33,breakout_item-20000233,2,0,52,
234,breakout_item-10000234,breakout_otheritem34,breakout_item-20000234,2,0,55,
235,breakout_item-10000235,breakout_otheritem35,breakout_item-20000235,2,0,66,
236,breakout_item-10000236,breakout_otheritem36,breakout_item-20000236,2,0,98,
237,breakout_item-10000237,breakout_otheritem37,breakout_item-20000237,2,0,43,
238,breakout_item-10000238,breakout_otheritem38,breakout_item-20000238,2,0,40,
239,breakout_item-10000239,breakout_otheritem39,breakout_item-20000239,2,0,52,
240,breakout_item-10000240,breakout_otheritem40,breakout_item-20000240,2,0,59,
241,breakout_item-10000241,breakout_otheritem41,breakout_item-20000241,2,0,99,
242,breakout_item-10000242,breakout_otheritem42,breakout_item-20000242,2,0,101,
243,breakout_item-10000243,breakout_otheritem43,breakout_item-20000243,2,0,105,
244,breakout_item-10000244,breakout_otheritem44,breakout_item-20000244,2,0,113,
245,breakout_item-10000245,breakout_otheritem45,breakout_item-20000245,2,0,140,
246,breakout_item-10000246,breakout_otheritem46,breakout_item-20000246,2,0,120,
247,breakout_item-10000247,breakout_otheritem47,breakout_item-20000247,2,0,218,
248,breakout_item-10000248,breakout_otheritem48,breakout_item-20000248,2,0,296,
249,breakout_item-10000249,breakout_otheritem49,breakout_item-20000249,2,0,38,
250,breakout_item-10000250,breakout_otheritem50,breakout_item-20000250,2,0,46,
251,breakout_item-10000251,breakout_otheritem51,breakout_item-20000251,2,0,64,
252,breakout_item-10000252,breakout_otheritem52,breakout_item-20000252,2,0,101,
253,breakout_item-10000253,breakout_otheritem53,breakout_item-20000253,2,0,129,
254,breakout_item-10000254,breakout_otheritem54,breakout_item-20000254,2,0,143,
255,breakout_item-10000255,breakout_otheritem55,breakout_item-20000255,2,0,46,
256,breakout_item-10000256,breakout_otheritem56,breakout_item-20000256,2,0,60,
257,breakout_item-10000257,breakout_otheritem57,breakout_item-20000257,2,0,72,
258,breakout_item-10000258,breakout_otheritem58,breakout_item-20000258,2,0,98,
259,breakout_item-10000259,breakout_otheritem59,breakout_item-20000259,2,0,138,
260,breakout_item-10000260,breakout_otheritem60,breakout_item-20000260,2,0,270,
301,breakout_item-10000301,breakout_backpack,breakout_item-20000301,3,288,0,
