id	vehicle_id	unlock_node	unlock_quest	unlock_exp	unlock_cost	node_type	slot_id	mission_skill_type	skill_id	passive_skill	basic_effect	hp	armor	dodge	heavy_damage	light_damage	reload	atk_speed	precision	hit	crit	crit_dmg	H_armor_piercing	L_armor_piercing	def_break
10001	1	0		14800	100,100,100,100	1	0	0			1000	200	0	4	0	0	0	0	0	0	0	0	0	0	0
10002	1	10001		16700	100,100,100,100	1	0	0			1000	0	0	0	60	0	0	0	0	0	0	0	0	0	0
10003	1	0		20400	100,100,100,100	2	0	0	220106-2		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	1	10002		25900	100,100,100,100	1	0	0			1000	0	0	0	0	45	0	0	0	0	0	0	0	0	0
10005	1	10004		33400	100,100,100,100	1	0	0			1000	0	0	0	0	0	0	0	34	0	0	0	0	0	0
10006	1	10003,10005		42600	200,200,200,200	2	0	0	220201-2	220158-2,220107-2	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10007	1	10006		53700	200,200,200,200	3	4	0			1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10008	1	10007		66700	200,200,200,200	1	0	0			1000	0	0	0	0	0	0	0	0	8	0	0	0	0	0
10009	1	10008		81500	200,200,200,200	2	0	0	220106-3		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10010	1	10006		98200	200,200,200,200	1	0	0			1000	0	0	0	0	0	23	0	0	0	0	0	0	0	0
10011	1	10009		116700	300,300,300,300	1	0	0			1000	0	0	0	0	0	0	11	0	0	0	0	0	0	0
10012	1	10011		137100	300,300,300,300	3	5	0			1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	1	10012		159400	300,300,300,300	2	0	0	220201-3	220158-3,220107-3	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10014	1	10013		183400	300,300,300,300	1	0	0			1000	0	0	0	0	0	0	0	0	0	0	0	20	10	0
10015	1	10014		209500	300,300,300,300	1	0	0			1000	250	0	0	0	0	0	0	0	0	0	0	0	0	35
11001	2	0		14800	100,100,100,100	1	0	0			1000	250	0	3	0	0	0	0	0	0	0	0	0	0	0
11002	2	11001		16700	100,100,100,100	1	0	0			1000	0	0	0	45	0	0	0	0	0	0	0	0	0	0
11003	2	11002		20400	100,100,100,100	2	0	0	220141-2	220143-2,220144-2,220145-2,220146-2,220222-1,220224-2,220203-2	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11004	2	11003		25900	100,100,100,100	1	0	0			1000	0	0	0	0	60	0	0	0	0	0	0	0	0	0
11005	2	11004		33400	100,100,100,100	1	0	0			1000	0	0	0	0	0	0	0	27	0	0	0	0	0	0
11006	2	11005		42600	200,200,200,200	2	0	0	220140-2		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11007	2	11006		53700	200,200,200,200	3	4	0			1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11008	2	11006		66700	200,200,200,200	1	0	0			1000	0	0	0	0	0	0	0	0	10	0	0	0	0	0
11009	2	11007,11008		81500	200,200,200,200	2	0	0	220141-3	220143-3,,220144-3,220149-2,220225-2	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11010	2	11009		98200	200,200,200,200	1	0	0			1000	0	0	0	0	0	18	0	0	0	0	0	0	0	0
11011	2	11010		116700	300,300,300,300	1	0	0			1000	0	0	0	0	0	0	14	0	0	0	0	0	0	0
11012	2	11011		137100	300,300,300,300	3	5	0			1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11013	2	11012		159400	300,300,300,300	2	0	0	220140-3		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11014	2	11013		183400	300,300,300,300	1	0	0			1000	0	0	0	0	0	0	0	0	0	0	0	15	15	0
11015	2	11014		209500	300,300,300,300	1	0	0			1000	300	0	0	0	0	0	0	0	0	0	0	0	0	30
