id	parent_id	name	description
1	0	organization-10000001	organization-20000001
101	1	organization-10000101	organization-20000101
102	1	organization-10000102	organization-20000102
103	1	organization-10000103	organization-20000103
104	1	organization-10000104	organization-20000104
105	1	organization-10000105	organization-20000105
106	1	organization-10000106	organization-20000106
107	1	organization-10000107	organization-20000107
108	1	organization-10000108	organization-20000108
10101	101	organization-10010101	organization-20010101
10102	101	organization-10010102	organization-20010102
10103	101	organization-10010103	organization-20010103
10104	101	organization-10010104	organization-20010104
10201	102	organization-10010201	organization-20010201
10202	102	organization-10010202	organization-20010202
10203	102	organization-10010203	organization-20010203
10301	103	organization-10010301	organization-20010301
10302	103	organization-10010302	organization-20010302
10303	103	organization-10010303	organization-20010303
10401	104	organization-10010401	organization-20010401
10402	104	organization-10010402	organization-20010402
10403	104	organization-10010403	organization-20010403
10501	105	organization-10010501	organization-20010501
10502	105	organization-10010502	organization-20010502
10503	105	organization-10010503	organization-20010503
10601	106	organization-10010601	organization-20010601
10602	106	organization-10010602	organization-20010602
10603	106	organization-10010603	organization-20010603
10604	106	organization-10010604	organization-20010604
10701	107	organization-10010701	organization-20010701
10702	107	organization-10010702	organization-20010702
10703	107	organization-10010703	organization-20010703
10704	107	organization-10010704	organization-20010704
10705	107	organization-10010705	organization-20010705
10801	108	organization-10010801	organization-20010801
10802	108	organization-10010802	organization-20010802
10803	108	organization-10010803	organization-20010803
