"map_id","route","create_date","map_label"
"1","63,56,57,58,50,42,34,27,20,13","","1"
"2","1,10,11,12,20,28,36,44,52,61","","1"
"3","1,10,11,12,20,28,36,44,52,61","","1"
"4","8,16,15,22,30,37,44,52,61,69","","1"
"5","63,56,57,58,50,42,34,27,20,12","","1"
"6","70,62,53,52,44,36,28,21,22,15","","1"
"7","1,10,11,12,20,28,36,44,52,60","","1"
"8","1,10,11,12,20,28,36,44,52,61","","1"
"9","1,10,11,12,20,28,35,42,50,58","","1"
"10","8,16,15,22,30,37,44,52,61,69","","1"
"11","1,10,11,12,20,28,36,44,52,61","","1"
"12","70,62,53,52,44,36,28,20,12,3","","1"
"13","70,62,53,52,44,36,28,20,12,11","","1"
"14","1,10,11,12,20,28,36,44,52,60","","1"
"15","8,16,15,22,30,37,44,51,50,58","","1"
"16","70,62,53,52,44,36,28,20,12,11","","1"
"17","70,62,53,52,44,36,28,21,22,15","","1"
"18","70,62,53,52,44,37,30,22,15,16","","1"
"19","1,10,11,12,20,28,36,44,51,50","","1"
"20","1,10,11,12,20,28,36,44,52,61","","1"
"21","1,10,11,12,20,28,36,44,52,61","","1"
"22","70,62,53,52,44,37,30,22,15,16","","1"
"23","70,62,53,52,44,36,28,20,12,3","","1"
"24","63,56,57,58,50,42,34,27,20,12","","1"
"25","70,62,53,52,44,37,30,22,15,16","","1"
"26","63,56,57,58,50,42,34,27,20,12","","1"
"27","70,62,53,52,44,37,30,22,15,16","","1"
"28","63,56,57,58,50,42,34,27,20,13","","1"
"29","70,62,53,52,44,37,30,22,15,16","","1"
"30","1,10,11,12,20,28,36,44,52,61","","1"
"31","70,62,53,52,44,36,28,20,12,11","","1"
"32","63,56,57,58,50,42,34,27,20,12","","1"
"33","1,10,11,12,20,28,35,42,50,58","","1"
"34","70,62,53,52,44,36,28,20,12,3","","1"
"35","1,10,11,12,20,28,35,42,50,58","","1"
"36","63,56,57,58,50,42,35,28,21,22","","1"
"37","70,62,53,52,44,36,28,20,12,11","","1"
"38","1,10,11,12,20,28,36,44,52,61","","1"
"39","63,56,57,58,50,42,34,27,20,13","","1"
"40","63,56,57,58,50,42,34,27,20,12","","1"
"41","63,56,57,58,50,42,34,27,20,12","","1"
"42","70,62,53,52,44,36,28,21,22,15","","1"
"43","70,62,53,52,44,36,28,20,12,3","","1"
"44","1,10,11,12,20,28,36,44,52,60","","1"
"45","8,16,15,22,30,37,44,51,50,58","","1"
"46","1,10,11,12,20,28,35,42,50,58","","1"
"47","8,16,15,22,30,37,44,51,50,58","","1"
"48","8,16,15,22,30,37,44,51,50,58","","1"
"49","8,16,15,22,30,37,44,51,50,58","","1"
"50","70,62,53,52,44,37,30,22,15,16","","1"
"51","70,62,53,52,44,36,28,21,22,15","","1"
"52","70,62,53,52,44,37,30,22,15,16","","1"
"53","63,56,57,58,50,42,34,27,20,12","","1"
"54","8,16,15,22,30,37,44,51,50,58","","1"
"55","70,62,53,52,44,37,30,22,15,16","","1"
"56","70,62,53,52,44,36,28,20,12,3","","1"
"57","63,56,57,58,50,42,34,27,20,12","","1"
"58","1,10,11,12,20,28,35,42,50,58","","1"
"59","8,16,15,22,30,37,44,52,61,69","","1"
"60","63,56,57,58,50,42,34,27,20,12","","1"
"61","63,56,57,58,50,42,35,28,21,22","","1"
"62","1,10,11,12,20,28,35,42,50,58","","1"
"63","63,56,57,58,50,42,34,27,20,13","","1"
"64","1,10,11,12,20,28,35,42,50,58","","1"
"65","63,56,57,58,50,42,34,27,20,12","","1"
"66","1,10,11,12,20,28,35,42,50,58","","1"
"67","8,16,15,22,30,37,44,51,50,58","","1"
"68","8,16,15,22,30,37,44,52,61,69","","1"
"69","8,16,15,22,30,37,44,52,61,69","","1"
"70","70,62,53,52,44,36,28,20,12,3","","1"
"71","63,56,57,58,50,42,34,27,20,12","","1"
"72","1,10,11,12,20,28,36,44,52,61","","1"
"73","8,16,15,22,30,37,44,52,61,69","","1"
"74","70,62,53,52,44,36,28,21,22,15","","1"
"75","8,16,15,22,30,37,44,51,50,58","","1"
"76","70,62,53,52,44,36,28,21,22,15","","1"
"77","8,16,15,22,30,37,44,51,50,58","","1"
"78","8,16,15,22,30,37,44,51,50,58","","1"
"79","70,62,53,52,44,36,28,20,12,11","","1"
