id	type	mission_campaign	draw_event_id	start_time	end_time	init_mission_id	function_control_id	open_mission	open_time	mission_event_opentime_white_list
1	2	-2,-3,-4				10005				
2	2	-6,-7				10018				
3	2	-10,-11,-12				10030				
4	2	-16,-17,-18				10092				
5	2	-24,-25,-26,-28				10156				
6	2	-31				10194				
7	2	-33				10294				
8	2	-36				10426				
12	2	-10000				10934				
13	2	-10001				10913				
14	2	-10002				10925				
15	2	-10003				10928				
16	2	-10004				11001				
17	2	-10005				10915				
18	2	-37				10481				
19	1	-51	400,401,402,403,404	2022-01-24 10:00:00	2022-02-25 10:00:00	11011				
20	1	-50	400,401,402,403,404	2023-03-06 10:00:00	2023-03-31 10:00:00	11083				
21	2	-41				10528				
22	1	-53	400,401,402,403,404	2022-06-06 10:00:00	2022-06-24 10:00:00	11116				
23	2	-40				10504				
24	2	-47				10780				
25	1	-52	400,401,402,403,404	2023-07-06 10:00:00	2023-07-21 10:00:00	11098				
26	1	-54	400,401,402,403,404	2022-09-19 10:00:00	2022-10-28 10:00:00	11166				
27	2	-42				10588				
28	2	-34				10381				
29	2	-44				10632				
30	1	-55	400,401,402,403,404	2022-11-23 10:00:00	2022-12-09 10:00:00	11320				
31	1	-56	400,401,402,403,404	2022-12-12 10:00:00	2023-01-06 10:00:00	11243				
32	2	-35				10385				
33	1	-49	400,401,402,403,404	2023-11-20 10:00:00	2023-12-15 10:00:00	10988				
34	1	-59	400,401,402,403,404	2023-01-16 10:00:00	2023-02-10 10:00:00	11321				
35	1	-57	400,401,402,403,404	2023-02-11 10:00:00	2023-03-10 10:00:00	11261				
36	1	-58	400,401,402,403,404	2023-04-28 10:00:00	2023-06-09 10:00:00	11333				
37	1	-60	400,401,402,403,404	2023-06-12 10:00:00	2023-06-30 10:00:00	11435				
38	2	-40				10504				
39	1	-61	400,401,402,403,404	2023-07-17 10:00:00	2023-08-11 10:00:00	11436				
40	2	-10006				11484,11485				
41	2	-23				10105				
42	1	-62	400,401,402,403,404	2023-10-20 10:00:00	2023-11-10 10:00:00	11479				
43	2	-48				10799				
44	2	-29				10158				
45	1	-63	400,401,402,403,404	2023-11-07 10:00:00	2023-11-24 10:00:00	11497				
46	2	-39				10508				
