id,mapped_missions
31001,10196|10254
31002,10199|10255
31003,10206|10256
31004,10208|10257
31005,10210|10258
31006,10211|10259
31007,10214|10260
31008,10217|10261
31009,10221|10262
31010,10223|10263
31011,10225|10264
31012,10228|10265
31013,10231|10266
31014,10233|10267
31015,10236|10268
31016,10238|10269
31017,10239|10270
31018,10245|10271
31019,10249|10272
31020,10253|10273
31021,10247|10275
31022,10248|10276
32001,10277|10980|10285
32002,10278|10981|10286
32003,10279|10982|10287
32004,10280|10983|10288
32005,10281|10984|10289
32006,10282|10985|10290
32007,10283|10986|10291
32008,10284|10987|10292
32009,10285|10285
32010,10286|10286
32011,10287|10287
32012,10288|10288
32013,10289|10289
32014,10290|10290
32015,10291|10291
32016,10292|10292
32017,10293|10293
33001,10295|10343
33002,10299|10344
33003,10301|10345
33004,10303|10346
33005,10305|10347
33006,10307|10348
33007,10309|10349
33008,10312|10350
33009,10314|10351
33010,10317|10352
33011,10321|10353
33012,10323|10354
33013,10325|10355
33014,10327|10356
33015,10329|10357
33016,10331|10358
33017,10332|10359
33018,10334|10360
33020,10337|10362
33021,10339|10363
33022,10340|10364
33023,10342|10365
38001,10486|10499
38002,10488|10500
38003,10490|10501
38004,10492|10502
38005,10495|10503
41001,10510|10515
41002,10511|10516
41003,10512|10517
41004,10513|10518
41005,10514|10519
43001,10597|10608
43002,10598|10609
43003,10599|10610
43004,10600|10611
43005,10601|10612
44001,10633|10649
44002,10634|10650
44003,10635|10651
44004,10636|10652
44005,10637|10653
44006,10638|10654
44007,10639|10655
44008,10640|10656
44009,10641|10657
44010,10642|10658
44011,10643|10659
44012,10644|10660
44013,10645|10661
44014,10646|10662
44015,10647|10663
44016,10648|10664
44017,10676|10677
44018,10678|10679
44019,10680|10681
44020,10682|10683
46001,10768|10773
46002,10769|10774
46003,10770|10775
46004,10771|10776
46005,10772|10777
46006,10778|10779
48001,10802|10825
48002,10804|10826
48003,10805|10827
48004,10806|10828
48005,10808|10829
48006,10809|10830
48007,10811|10831
48008,10812|10832
48009,10847|10848
48010,10849|10850
48011,10813|10833
48012,10815|10834
48013,10816|10835
48014,10817|10836
48015,10818|10837
48016,10819|10838
48017,10820|10839
48018,10821|10840
48019,10822|10841
48020,10824|10842
51001,11016|11027|11037
51002,11017|11028|11038
51003,11018|11029|11039
51004,11019|11030|11040
51005,11020|11031|11041
51006,11021|11032|11042
51007,11022|11033|11043
51008,11023|11034|11044
51009,11024|11035|11045
51010,11026|11036|11046
52001,11103|11104
52002,11105|11106
52003,11099|11100
52004,11101|11102
52005,11113|11114
54001,11120|11123|11126
54002,11121|11124|11127
54003,11122|11125|11128
54004,11130|11134|11138
54005,11131|11135|11139
54006,11132|11136|11140
54007,11133|11137|11141
54008,11143|11148|11153
54009,11144|11149|11154
54010,11145|11150|11155
54011,11146|11151|11156
54012,11147|11152|11157
54013,11158|11159|11160
54014,11161|11162|11163
56001,11233|11237
56002,11234|11238
56003,11235|11239
56004,11236|11240
56005,11241|11242
56006,11318|11319
58001,11335|11377
58002,11337|11378
58003,11341|11379
58004,11343|11380
58005,11347|11381
58006,11349|11382
58007,11353|11383
58008,11355|11384
58009,11359|11385
58010,11364|11386|11392
58011,11366|11387|11393
58012,11368|11388|11394
58013,11370|11389|11395
58014,11372|11390|11396
58015,11374|11391|11397
58016,11398|11400
58017,11399|11401
61001,11438|11451
61002,11439|11452
61003,11440|11453
61004,11441|11454
61005,11442|11455
61006,11443|11456
61007,11444|11457
61008,11445|11458
61009,11446|11459
61010,11447|11460
62001,11461|11467
62002,11462|11468
62003,11463|11469
62004,11464|11470
62005,11465|11471
62006,11466|11472
62007,11473|11474
62008,11475|11477
62009,11476|11478
64001,11498|11509
64002,11501|11512
64003,11503|11514
64004,11505|11516
64005,11506|11517
64006,11507|11518
68001,11636|11652
68002,11639|11653
68003,11642|11654
68004,11645|11655
68005,11656|11657
69001,11659|11660
69002,11661|11662
69003,11663|11664
69004,11666|11667
69005,11668|11669
70001,11700|11706
70002,11701|11707
70003,11702|11708
70004,11703|11709
70005,11704|11710
70006,11705|11711
71001,11734|11755
71002,11738|11756
71003,11743|11757
71004,11747|11758
71005,11751|11759
71006,11760|11761
72001,11765|11787
72002,11769|11788
72003,11772|11789
72004,11775|11790
72005,11777|11791
72006,11786|11792
73001,11801|11805
73002,11802|11806
73003,11803|11807
73004,11804|11808
73005,11809|11810
74001,11841|11870|11875
74002,11848|11871|11876
74003,11853|11872|11877
74004,11858|11873|11878
74005,11863|11874|11879
74006,11869|11880
75001,11885|11891|11895
75002,11887|11892|11896
75003,11889|11893|11897
75004,11890|11894|11898
75005,11899|11900
