id,name,en_name,code,introduce,dialogue,extra,en_introduce,forces,type,character,formation,resolution,shape_scale,ap_cost,ap_add,rank,skill1,skill2_type,skill2,skill3,skill_advance,skill_resolution,passive_skill2,dynamic_passive_skill,normal_attack,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,ratio_hp,ratio_pow,ratio_rate,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,crit_dmg,eat_ratio,ratio_speed,special,attack_range_type,assist_attack_range,ratio_range,search_range,effect_grid_effect,type_chip1,type_chip2,type_chip3,illustration_id,ai,is_additional,launch_time,obtain_ids,display_enemy_team,picture_offset,picture_scale,dorm_scale,org_id,gun_tag_ids,ratio_rec,recommended_team_ids
1001,sangvis-10001001,Scarecrow,Scarecrow,sangvis-40001001,待定，单独提出语言包最好,||,sangvis-30001001,1,1,2|4|6,1,101,80|120,10,0,5,900515,2,30006,900511,900512,900526|0|0|0,,900513|900514|900517,900510,10,10,5,5,95,95,116,90,120,0,15,20,150,100,12,0,2,15,500,7,4:2|15;4|20,1|2|3,1|2|3,1|2|3,5,11001,1,2016-05-20 00:00:00,0,930001,-100.001|-65.021,0.864|0.864,100,10604,137|127|154,95,1|4
1002,sangvis-10001002,Excutioner,Excutioner,sangvis-40001002,待定，单独提出语言包最好,||,sangvis-30001002,1,1,2|4|5,1,102,80|120,10,0,5,600301,1,600302,600303,600304,600308|0|0|0,600306,600305|600307|600312|600313,600309,10,10,5,5,125,105,88,95,95,0,15,40,150,100,15,0,2,15,500,5,0:1|10;5|10|5:3|18;4|18,1|2|3,1|2|3,1|2|3,8,11002,2,2016-05-20 00:00:00,0,930002,-100.001|-65.021,0.864|0.864,100,10602,117|121|111|127|113|124|125,150,10
1003,sangvis-10001003,Hunter,Hunter,sangvis-40001003,待定，单独提出语言包最好,||,sangvis-30001003,1,1,2|4|6,1,103,80|120,10,0,5,900592,1,900594,900596,900597,900598|0|0|0,,900593|900595|900599|901591,900591,10,10,5,5,100,100,110,105,105,0,15,30,150,100,15,0,2,15,500,7,0:2|6;3|6|5:3|12;4|12|6:1|10;3|12,1|2|3,1|2|3,1|2|3,11,11002,1,2016-05-20 00:00:00,0,930003,-100.001|-65.021,0.864|0.864,100,10602,139|107,110,8
1004,sangvis-10001004,Intruder,Intruder,sangvis-40001004,待定，单独提出语言包最好,||,sangvis-30001004,1,1,2|4|6,1,104,80|120,10,0,5,900667,2,30007,900644,900645,900674,,,900536,10,10,5,5,120,105,95,95,95,0,15,20,150,100,15,0,2,15,500,7,0:1|10;3|10;4|10;5|10,1|2|3,1|2|3,1|2|3,17,11002,1,2016-05-20 00:00:00,0,930004,-100.001|-65.021,0.864|0.864,100,10602,126|103|113,120,9
1005,sangvis-10001005,Destroyer,Destroyer,sangvis-40001005,待定，单独提出语言包最好,||,sangvis-30001005,1,1,2|4|6,1,105,80|120,10,0,5,900737,3,1010,900733,900734,900738,900732|900990,900731,900730,10,10,5,5,110,135,70,100,95,0,15,20,150,100,15,0,2,15,500,7,1:1|10;8|10|3:1|10;3|15,1|2|3,1|2|3,1|2|3,18,11002,1,2016-05-20 00:00:00,0,930005,-100.001|-65.021,0.864|0.864,100,10603,121|160,110,6
1006,sangvis-10001006,Architect,BossArchitect,sangvis-40001006,待定，单独提出语言包最好,||,sangvis-30001006,1,1,2|4|6,1,106,80|120,10,0,5,900783,3,1011,900785,900786,900784,900787|900788,,900780,10,10,5,5,110,120,110,105,70,0,15,20,150,100,15,0,2,15,500,7,0:3|12;4|12|3:1|12;3|12,1|2|3,1|2|3,1|2|3,27,11002,1,2016-05-20 00:00:00,0,930006,-100.001|-65.021,0.864|0.864,100,10603,121|10101,110,6
1007,sangvis-10001007,Weaver,Weaver,sangvis-40001007,待定，单独提出语言包最好,||,sangvis-30001007,1,1,2|4|6,1,107,80|120,10,0,5,900833,2,30008,900831,900832,900834,,900835|900836|900837|900838,900830,10,10,5,5,105,105,105,105,105,0,15,40,150,100,15,0,2,15,500,7,0:4|15;5|15|2:1|12;3|12,1|2|3,1|2|3,1|2|3,21,11002,1,2016-05-20 00:00:00,0,930007,-100.001|-65.021,0.864|0.864,88,10603,137|10101|109,105,1|6
1008,sangvis-10001008,Alchemist,Alchemist,sangvis-40001008,待定，单独提出语言包最好,||,sangvis-30001008,1,1,2|4|5,1,108,80|120,10,0,5,900921,1,900922,900923,900928,900926,900929|900930|901920|902920|903920|904920,900925|900927,900920,10,10,5,5,105,100,115,115,110,0,60,40,150,100,18,0,1,15,500,3,0:1|10;5|10|5:3|18;4|18,1|2|3,1|2|3,1|2|3,23,11002,2,2016-05-20 00:00:00,0,930008,-100.001|-65.021,0.864|0.864,100,10602,116|111|113|109,75,1|9
1009,sangvis-10001009,Dreamer,Dreamer,sangvis-40001009,待定，单独提出语言包最好,||,sangvis-30001009,1,1,2|4|6,1,109,80|120,10,0,5,900960,3,1012,900962,900963,900960,900966|900967|900968|900969|900989,,900965,10,10,5,5,95,125,100,110,100,0,15,20,150,100,15,0,2,15,500,7,0:3|15;4|15|6:1|10;5|10,1|2|3,1|2|3,1|2|3,24,11002,1,2020-10-01 10:00:00,0,930009,-100.001|-65.021,0.864|0.864,100,10604,144|154|10101,95,1|4
1010,sangvis-10001010,Gager,BossGager,sangvis-40001010,待定，单独提出语言包最好,||,sangvis-30001010,1,1,2|4|6,1,110,80|120,10,0,5,901031,1,901032,901033,901034,901031,901036|901037|901038,901039|911039,901035,10,10,5,5,105,100,120,125,95,0,15,20,150,100,15,0,2,15,500,7,0:1|15|4:3|10;5|10|5:4|10;8|10,1|2|3,1|2|3,1|2|3,26,11002,1,2016-05-20 00:00:00,0,930010,-100.001|-65.021,0.864|0.864,100,10602,109|124|103,105,1|5
1011,sangvis-10001011,Justice,Justice,sangvis-40001011,待定，单独提出语言包最好,||,sangvis-30001011,1,1,1|4|6,1,111,80|120,10,0,5,901200,2,30009,901225,901226,901201,902145,901224,901223,10,10,5,5,130,95,110,110,80,48,15,20,150,100,15,0,2,15,500,7,0:1|10;2|10;5|10;8|10,1|2|3,1|2|3,1|2|3,35,11002,1,2016-05-20 00:00:00,0,930011,-100.001|-65.021,0.864|0.864,100,10604,117|121|103|113,140,9
