id,name,classes,type,position,space,deco_rate,decompose_gift,description,code,texture_type,sorting,offset,rotate,interact_point,interact_point_offset,furniture_bgm,touch_area,bonus_id,ai
101,furniture-10000101,1,203,"26,2","6,4,1,1,2,0",900,100003,furniture-20000101,ws2016_bed,1,0,"0,-0.05,0",2,"6,104","0.46,0.32,1|*2.65,5.203,0",0,0,0,0
102,furniture-10000102,1,102,"13,8","7,6,0,0,0,0",900,100003,furniture-20000102,ws2016_carpet,1,0,"0,0,0",2,0,0,0,0,0,0
103,furniture-10000103,1,202,"20,10","2,2,1,1,1,0",800,100003,furniture-20000103,ws2016_chair_b,1,0,"0,-0.05,0",2,2,"0.5,0.33,0",0,0,0,0
104,furniture-10000104,1,202,"11,10","2,2,1,1,1,0",800,100003,furniture-20000104,ws2016_chair_a,1,0,"0,-0.05,0",2,3,"0.5,0.33,1",0,0,0,0
105,furniture-10000105,1,201,"9,2","2,2,1,1,2,0",1000,100003,furniture-20000105,ws2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,6,0.000",0,0,0,0
106,furniture-10000106,1,201,"25,6","3,3,1,1,1,0",1050,100003,furniture-20000106,ws2016_deco_small,1,0,"0,-0.05,0",2,104,"*0.25,1.8,0.000",0,0,0,0
107,furniture-10000107,1,101,"0,0","3,3,1,1,1,0",850,100003,furniture-20000107,ws2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
108,furniture-10000108,1,202,"13,2","6,4,1,1,1,0",1000,100003,furniture-20000108,ws2016_sofa,1,0,"0,-0.05,0",2,"3,2,104","0.37,0.16,1|0.75,0.16,0|*-2.5,2.5,0",0,0,0,0
109,furniture-10000109,1,201,"14,8","4,4,1,1,1,0",950,100003,furniture-20000109,ws2016_table,1,0,"0,-0.05,0",2,104,"*0.2,1.5,0",0,0,0,0
110,furniture-10000110,1,301,"0,0","3,3,1,1,1,0",850,100003,furniture-20000110,ws2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
111,furniture-10000111,1,302,"28,8","1,4,1,1,1,0",800,100003,furniture-20000111,ws2016_walldeco_01,1,0,"0,0,0",3,104,"*0.052,1.495,0.000",0,0,0,0
112,furniture-10000112,1,302,"23,9","3,3,1,1,1,0",850,100003,furniture-20000112,ws2016_walldeco_02,1,0,"0,0,0",3,104,"*0.259,0.65,0.000",0,0,0,0
113,furniture-10000113,1,302,"14,8","3,6,1,1,1,0",900,100003,furniture-20000113,ws2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
114,furniture-10000114,1,302,"29,2","3,3,1,1,1,0",850,100003,furniture-20000114,ws2016_walldeco_04,1,0,"0,-0.2,0",3,0,0,0,0,0,0
115,furniture-10000115,1,302,"17,6","6,8,1,1,1,0",1000,100003,furniture-20000115,ws2016_window,1,0,"0,0.1,0",3,"104,104","*0.104,4.194,0.000|0.4,-0.29,0",0,0,0,0
201,furniture-10000201,2,203,0,"5,3,1,1,1,0",100,100001,furniture-20000201,cs2016_bed,1,0,"0,-0.15,0",2,6,"0.48,0.20,1",0,0,0,0
202,furniture-10000202,2,202,0,"2,2,1,1,1,0",100,100001,furniture-20000202,cs2016_chair_a,1,0,"0,-0.15,0",2,3,"0.5,0.33,1",0,0,0,0
203,furniture-10000203,2,202,0,"2,2,1,1,1,0",100,100001,furniture-20000203,cs2016_chair_b,1,0,"0,-0.15,0",2,2,"0.5,0.33,0",0,0,0,0
204,furniture-10000204,2,101,0,"1,1,1,1,1,0",100,100001,furniture-20000204,cs2016_floor,1,0,"0,-0.15,0",1,0,0,0,0,0,0
