id,theme_type,name
1,7,skin_class-10000001
2,9,skin_class-10000002
3,9,skin_class-10000003
4,8,skin_class-10000004
5,1,skin_class-10000005
6,9,skin_class-10000006
7,3,skin_class-10000007
8,9,skin_class-10000008
9,4,skin_class-10000009
10,5,skin_class-10000010
11,6,skin_class-10000011
12,9,skin_class-10000012
13,9,skin_class-10000013
14,7,skin_class-10000014
15,9,skin_class-10000015
16,8,skin_class-10000016
17,9,skin_class-10000017
18,1,skin_class-10000018
19,3,skin_class-10000019
20,9,skin_class-10000020
21,4,skin_class-10000021
22,5,skin_class-10000022
23,9,skin_class-10000023
24,6,skin_class-10000024
25,9,skin_class-10000025
26,7,skin_class-10000026
27,9,skin_class-10000027
28,8,skin_class-10000028
29,2,skin_class-10000029
30,1,skin_class-10000030
31,3,skin_class-10000031
32,9,skin_class-10000032
33,4,skin_class-10000033
34,5,skin_class-10000034
35,6,skin_class-10000035
36,9,skin_class-10000036
37,9,skin_class-10000037
38,7,skin_class-10000038
39,9,skin_class-10000039
40,8,skin_class-10000040
41,2,skin_class-10000041
42,1,skin_class-10000042
43,3,skin_class-10000043
44,9,skin_class-10000044
45,4,skin_class-10000045
46,5,skin_class-10000046
47,6,skin_class-10000047
48,9,skin_class-10000048
49,9,skin_class-10000049
50,7,skin_class-10000050
51,9,skin_class-10000051
52,10,skin_class-10000052
53,11,skin_class-10000053
54,8,skin_class-10000054
55,2,skin_class-10000055
56,1,skin_class-10000056
57,3,skin_class-10000057
58,9,skin_class-10000058
59,4,skin_class-10000059
60,4,skin_class-10000060
61,4,skin_class-10000061
62,5,skin_class-10000062
63,6,skin_class-10000063
64,4,skin_class-10000064
65,9,skin_class-10000065
66,9,skin_class-10000066
67,7,skin_class-10000067
68,9,skin_class-10000068
69,9,skin_class-10000069
70,8,skin_class-10000070
71,2,skin_class-10000071
72,1,skin_class-10000072
73,3,skin_class-10000073
74,9,skin_class-10000074
75,4,skin_class-10000075
76,5,skin_class-10000076
77,6,skin_class-10000077
78,9,skin_class-10000078
79,9,skin_class-10000079
80,4,skin_class-10000080
81,7,skin_class-10000081
82,9,skin_class-10000082
83,8,skin_class-10000083
84,2,skin_class-10000084
85,1,skin_class-10000085
86,3,skin_class-10000086
87,9,skin_class-10000087
88,4,skin_class-10000088
89,5,skin_class-10000089
90,6,skin_class-10000090
91,9,skin_class-10000091
92,9,skin_class-10000092
93,7,skin_class-10000093
94,9,skin_class-10000094
95,8,skin_class-10000095
96,2,skin_class-10000096
97,1,skin_class-10000097
98,3,skin_class-10000098
99,9,skin_class-10000099
100,9,skin_class-10000100
101,4,skin_class-10000101
102,9,skin_class-10000102
103,9,skin_class-10000103
104,9,skin_class-10000104
105,9,skin_class-10000105
106,9,skin_class-10000106
107,9,skin_class-10000107
108,8,skin_class-10000108
109,2,skin_class-10000109
110,1,skin_class-10000110
111,3,skin_class-10000111
