id,action,node,effect,percentage,delay,special
100,attack,gun,bullet/bullet2,100,9,
101,,,,40|20,0,
102,attack,gun,爆破榴弹,100,15,50
103,attack,gun,bullet/bullet2,100|150,9,
104,attack,gun,bullet/bullet2,100|-20,9,
200,attack,gun,bullet/bullet2,100,9,
201,,,,60,0,
202,attack,gun,AQLD_zidan,150,15,
203,attack,gun,bullet/bullet2,100|50,9,
300,attack,gun,bullet/bullet2,100,0,
301,attack,gun,bullet/bullet2,120,0,
302,attack,gun,bullet/bullet2,100|200,0,
303,attack,gun,bullet/bullet2,100|5,0,
400,attack,gun,bullet/bullet2,100,9,
401,,,,-15,0,
402,attack,gun,燃烧弹,50|20,12,50
403,,,,10,0,
500,attack,gun,Empty,100,0,
501,,,,100,0,
502,attack,gun,Empty,100|20|-20,0,
503,attack,gun,Empty,100,0,
600,attack,gun,bullet/bullet2,100,9,
601,,,,15,0,
602,,,,15,0,
603,,,,10,0,
701,,,燃烧弹,200|50,0,120
702,,,AQLD_use_yl,100,0,120
703,,,爆破榴弹,-50|-50,0,120
704,,,AQLD_use_qx,500,0,120
9001,attack,gun,bullet/bullet2,100,8,
9002,attack,gun,燃烧弹,100,15,
9003,attack,gun,bullet/bullet2,60,9,
9004,attack,gun,Empty,100,8,
9110,s,gun,爆破榴弹,100,30,50
9111,s,gun,AQLD_yj,100,30,50
9115,attack,gun,bullet/bullet2,100|-15,9,
9116,attack,gun,bullet/bullet2,100|-15,9,
9117,attack,gun,燃烧弹,100|20,15,
9118,attack,gun,bullet/bullet2,100,12,50
9120,attack,gun,Empty,50,9,
9122,attack,gun,bullet/bullet2,100|-15,9,
9123,attack,gun,bullet/bullet2,150,15,
