id	name	description	icon	duration	type	formation_number	ssoc_number	hoc_number	spare_gun_num	spare_sangvis_cost	spare_fairy_num
41100	theater_effect-10041100	theater_effect-20041100	TheaterBuff1	-1	2	0	0	0	0	0	0
41101	theater_effect-10041101	theater_effect-20041101	TheaterBuff1	-1	2	1	0	0	3	20	1
41102	theater_effect-10041102	theater_effect-20041102	TheaterBuff1	-1	2	2	0	0	6	40	2
41103	theater_effect-10041103	theater_effect-20041103	TheaterBuff1	-1	2	3	0	0	10	72	3
42100	theater_effect-10042100	theater_effect-20042100	TheaterBuff1	-1	2	0	0	0	0	0	0
42101	theater_effect-10042101	theater_effect-20042101	TheaterBuff1	-1	2	1	0	0	3	20	1
42102	theater_effect-10042102	theater_effect-20042102	TheaterBuff1	-1	2	2	0	0	6	40	2
42103	theater_effect-10042103	theater_effect-20042103	TheaterBuff1	-1	2	3	0	0	10	72	3
42500	theater_effect-10042500	theater_effect-20042500	TheaterBuff2	-1	4	0	0	0	0	0	0
42501	theater_effect-10042501	theater_effect-20042501	TheaterBuff2	-1	4	0	5	0	0	0	0
42502	theater_effect-10042502	theater_effect-20042502	TheaterBuff2	-1	4	0	10	0	0	0	0
42503	theater_effect-10042503	theater_effect-20042503	TheaterBuff2	-1	4	0	15	0	0	0	0
43100	theater_effect-10043100	theater_effect-20043100	TheaterBuff1	-1	2	0	0	0	0	0	0
43101	theater_effect-10043101	theater_effect-20043101	TheaterBuff1	-1	2	1	0	0	3	20	1
43102	theater_effect-10043102	theater_effect-20043102	TheaterBuff1	-1	2	2	0	0	6	40	2
43103	theater_effect-10043103	theater_effect-20043103	TheaterBuff1	-1	2	3	0	0	10	72	3
43400	theater_effect-10043400	theater_effect-20043400	TheaterBuff2	-1	4	0	0	0	0	0	0
43401	theater_effect-10043401	theater_effect-20043401	TheaterBuff2	-1	4	0	5	0	0	0	0
43402	theater_effect-10043402	theater_effect-20043402	TheaterBuff2	-1	4	0	10	0	0	0	0
43403	theater_effect-10043403	theater_effect-20043403	TheaterBuff2	-1	4	0	15	0	0	0	0
43600	theater_effect-10043600	theater_effect-20043600	TheaterBuff3	-1	3	0	0	0	0	0	0
43601	theater_effect-10043601	theater_effect-20043601	TheaterBuff3	-1	3	0	0	1	0	0	0
43602	theater_effect-10043602	theater_effect-20043602	TheaterBuff3	-1	3	0	0	2	0	0	0
43603	theater_effect-10043603	theater_effect-20043603	TheaterBuff3	-1	3	0	0	3	0	0	0
44100	theater_effect-10044100	theater_effect-20044100	TheaterBuff1	-1	2	0	0	0	0	0	0
44101	theater_effect-10044101	theater_effect-20044101	TheaterBuff1	-1	2	1	0	0	3	20	1
44102	theater_effect-10044102	theater_effect-20044102	TheaterBuff1	-1	2	2	0	0	6	40	2
44103	theater_effect-10044103	theater_effect-20044103	TheaterBuff1	-1	2	3	0	0	10	72	3
44200	theater_effect-10044200	theater_effect-20044200	TheaterBuff2	-1	4	0	0	0	0	0	0
44201	theater_effect-10044201	theater_effect-20044201	TheaterBuff2	-1	4	0	5	0	0	0	0
44202	theater_effect-10044202	theater_effect-20044202	TheaterBuff2	-1	4	0	10	0	0	0	0
44203	theater_effect-10044203	theater_effect-20044203	TheaterBuff2	-1	4	0	15	0	0	0	0
44300	theater_effect-10044300	theater_effect-20044300	TheaterBuff3	-1	3	0	0	0	0	0	0
44301	theater_effect-10044301	theater_effect-20044301	TheaterBuff3	-1	3	0	0	1	0	0	0
44302	theater_effect-10044302	theater_effect-20044302	TheaterBuff3	-1	3	0	0	2	0	0	0
44303	theater_effect-10044303	theater_effect-20044303	TheaterBuff3	-1	3	0	0	3	0	0	0
