id,code,drop_item,drop_weight,drop_times
101,,101,100,1
102,,102,100,1
103,,103,100,1
104,,104,100,1
201,,201,100,1
202,,202,100,1
203,,203,100,1
204,,204,100,1
11111,,201|207|219|231,30|30|20|20,1
11112,,238|202|208|220|232,10|25|25|20|20,1
11121,,203|213|215|232,25|25|25|25,1
11122,,214|221|238|215|237|209,20|20|15|15|15|15,1
11211,,238|202|219|231|225,30|20|15|15|20,1
11212,,237|208|214|221|202,20|20|20|20|20,1
11221,,214|237|209|233,25|25|25|25,1
11222,,221|238|233|239|215,20|20|20|20|20,1
12111,,238|202|208|220|232,20|20|20|20|20,1
12112,,203|213|215|221|249,20|20|20|20|20,1
12121,,214|221|238|215|237|209,20|20|15|15|15|15,1
12122,,238|234|239|237|209|225,20|20|15|15|15|15,1
12211,,237|208|214|221|202|220,20|20|15|15|15|15,1
12212,,215|237|209|233,25|25|25|25,1
12221,,221|238|233|239|215,20|20|20|20|20,1
12222,,233|239|234|240|209,20|20|20|20|20,1
21011,,201|207|219|231|202|225|228|220,20|15|15|10|10|10|10|10,1
21012,,232|203|213|214|221|226|238,20|15|15|15|15|10|10,1
21021,,249|214|209|250|227|233,20|20|15|15|15|15,1
21022,,227|233|234|216|228|240,20|20|15|15|15|15,1
21031,,251|210|235|222|204,20|20|20|20|20,1
21032,,222|204|217|229|236|241|242,15|15|15|15|15|15|10,1
21041,,217|229|236|211|205|206,20|20|15|15|15|15,1
21042,,223|218|230|252|212|253|243|244,20|15|15|10|10|10|10|10,1
22011,,221|226|215|226|249,25|25|20|15|15,1
22012,,226|238|215|237|209|227|233,20|15|15|15|15|10|10,1
22021,,227|233|234|216|228,20|20|20|20|20,1
22022,,251|210|235|222|204|241,20|20|20|15|15|10,1
22031,,222|204|217|229|236,20|20|20|20|20,1
22032,,217|229|236|211|205|206|244|243,15|15|15|15|10|10|10|10,1
22041,,223|218|230|252|212|253,20|20|15|15|15|15,1
22042,,212|253|246,40|30|30,1
31311,,240|216|256|228,25|25|25|25,1
31312,,240|216|228|251,25|25|25|25,1
31321,,222|257|217|229,25|25|25|25,1
31322,,257|204|217|229,25|25|25|25,1
31411,,255|250|234|240|216|256,20|20|15|15|15|15,1
31412,,250|234|240|256|228,20|20|20|20|20,1
31421,,235|222|257|204,25|25|25|25,1
31422,,235|222|204|217,25|25|25|25,1
31611,,216|256|228|251,25|25|25|25,1
31612,,216|256|251|210,25|25|25|25,1
31621,,257|204|241|236,25|25|25|25,1
31622,,204|217|229|241,25|25|25|25,1
32311,,251|210|235|222,25|25|25|25,1
32312,,251|210|222|257,25|25|25|25,1
32321,,217|229|236|211,25|25|25|25,1
32322,,229|241|236|211,25|25|25|25,1
32411,,255|227|256|228|210|235,20|20|15|15|15|15,1
32412,,250|228|251|210|235,20|20|20|20|20,1
32421,,204|217|241|236,25|25|25|25,1
32422,,217|229|241|236,25|25|25|25,1
32611,,210|235|222|257,25|25|25|25,1
32612,,210|235|257|204,25|25|25|25,1
32621,,229|241|211|242,25|25|25|25,1
32622,,241|236|211|242,25|25|25|25,1
33000,,246|253|259,30|40|30,1
41211,,205|206|218|258,25|25|25|25,1
41212,,205|206|230|252,25|25|25|25,1
41221,,252|212|245|259|246,20|20|20|20|20,1
41222,,253|259|254|224,25|25|25|25,1
41311,,244|206|223|218|258,20|20|20|20|20,1
41312,,206|218|258|230|252,20|20|20|20|20,1
41321,,212|245|246|254,25|25|25|25,1
41322,,245|253|259|254|224,20|20|20|20|20,1
41411,,234|243|244|205|206|223|218,15|15|15|15|15|15|10,1
41412,,223|218|258|230,25|25|25|25,1
41421,,212|245|259|246,25|25|25|25,1
41422,,212|253|259|246|254,20|20|20|20|20,1
42211,,223|218|258|252|212,20|20|20|20|20,1
42212,,230|252|253|259,25|25|25|25,1
42221,,253|246|254|224|260,20|20|20|20|20,1
42222,,259|254|247|248,25|25|25|25,1
42311,,218|230|245|253,25|25|25|25,1
42312,,230|212|245|253|259,20|20|20|20|20,1
42321,,246|254|260|247,25|25|25|25,1
42322,,246|224|260|254|248,20|20|20|20|20,1
42411,,206|218|252|212,25|25|25|25,1
42412,,258|230|252|245|253,20|20|20|20|20,1
42421,,253|259|224|260,25|25|25|25,1
42422,,259|246|254|260|247,20|20|20|20|20,1
43000,,248|247|260,30|30|40,1
51010,,238|237|239|240,35|35|15|15,1
51020,,239|240|241|242,35|35|15|15,1
51030,,241|242|243|244,35|35|15|15,1
51032,,248,100,1
51040,,243|244|245|246,35|35|15|15,1
52010,,239|240|241|242,30|30|20|20,1
52020,,241|242|243|244,30|30|20|20,1
52030,,243|244|245|246,30|30|20|20,1
52040,,245|246|247|248,35|35|15|15,1
61010,,102,100,1
61020,,101,100,1
61022,,101,100,1
61030,,102|104,60|40,1
61040,,101|103,60|40,1
62010,,104,100,1
62020,,103,100,1
62030,,102|104,40|60,1
62040,,101|103,40|60,1
