"id","force_id","ai_type","name","description","pic","color"
"1","1","-1","team_ai-10000001","team_ai-20000001","ai_random","ffffff"
"2","1","1","team_ai-10000002","team_ai-20000002","ai_stand","ffffff"
"3","1","2","team_ai-10000003","team_ai-20000003","ai_random","ffffff"
"4","1","3","team_ai-10000004","team_ai-20000004","ai_attack","ffffff"
"5","1","4","team_ai-10000005","team_ai-20000005","ai_random","ffffff"
"6","1","99","team_ai-10000006","team_ai-20000006","ai_outline","ffffff"
"7","2","1","team_ai-10000007","team_ai-20000007","ai_stand","ffffff"
"8","2","99","team_ai-10000008","team_ai-20000008","ai_outline","ffffff"
"9","2","101","team_ai-10000009","team_ai-20000009","ai_patrol","ffffff"
"10","2","102","team_ai-10000010","team_ai-20000010","ai_guard","ffffff"
"11","2","103","team_ai-10000011","team_ai-20000011","ai_expand","ffffff"
"12","3","0","team_ai-10000012","team_ai-20000012","ai_stand","ffffff"
"13","3","1","team_ai-10000013","team_ai-20000013","ai_clear","ffffff"
"14","3","2","team_ai-10000014","team_ai-20000014","ai_attack","ffffff"
"15","3","99","team_ai-10000015","team_ai-20000015","ai_outline","ffffff"
"16","3","101","team_ai-10000016","team_ai-20000016","ai_patrol","ffffff"
"17","3","102","team_ai-10000017","team_ai-20000017","ai_guard","ffffff"
"18","3","103","team_ai-10000018","team_ai-20000018","ai_expand","ffffff"
"19","4","0","team_ai-10000019","team_ai-20000019","ai_stand","ffffff"
"20","4","1","team_ai-10000020","team_ai-20000020","ai_clear","ffffff"
"21","4","2","team_ai-10000021","team_ai-20000021","ai_attack","ffffff"
"22","1","999","team_ai-10000022","team_ai-20000022","ai_stand","ffffff"
"23","3","104","team_ai-10000023","team_ai-20000023","ai_patrol","ffffff"
"24","2","106","team_ai-10000024","team_ai-20000024","ai_guard","ffffff"
"25","3","106","team_ai-10000025","team_ai-20000025","ai_guard","ffffff"
