id,name,user_exp,mp,ammo,mre,part,core,gem,gem_pay,gun_id,sangvis,item_ids,furniture,gift,equip_ids,coins,skin,content,send_limit,icon,bp_pay,fairy_ids,chip,commander_uniform,vehicle_component
1,prize-10000001,0,0,0,0,0,0,0,0,0,,41-10,,,,1-100|2-3|3-50,0,prize-20000001,0,,0,,,,
2,prize-10000002,0,0,0,0,0,0,0,0,0,,41-20,,,,,0,prize-20000002,0,,0,,,,
3,prize-10000003,0,0,0,0,0,0,0,0,0,,41-30,,,,,0,prize-20000003,0,,0,,,,
4,prize-10000004,0,0,0,0,0,0,0,0,0,,41-40,,,,,0,prize-20000004,0,,0,,,,
5,prize-10000005,0,0,0,0,0,0,0,0,0,,41-50,,,,,0,prize-20000005,0,,0,,,,
6,prize-10000006,0,0,0,0,0,0,0,0,0,,41-60,,,,,0,prize-20000006,0,,0,,,,
7,prize-10000007,0,0,0,0,0,0,0,0,0,,41-70,,,,,0,prize-20000007,0,,0,,,,
8,prize-10000008,0,0,0,0,0,0,0,0,0,,41-80,,,,,0,prize-20000008,0,,0,,,,
9,prize-10000009,0,0,0,0,0,0,0,0,0,,41-90,,,,,0,prize-20000009,0,,0,,,,
10,prize-10000010,0,0,0,0,0,0,0,0,0,,41-100,,,,,0,prize-20000010,0,,0,,,,
11,prize-10000011,0,0,0,0,0,0,0,0,0,,1-2,,,,,0,prize-20000011,0,,0,,,,
12,prize-10000012,0,0,0,0,0,0,0,0,0,,8-2,,,,,0,prize-20000012,0,,0,,,,
13,prize-10000013,0,500,500,500,500,0,0,0,0,,,,,,,0,prize-20000013,0,,0,,,,
14,prize-10000014,0,0,0,0,0,0,0,0,0,,100001-1,,,,,0,prize-20000014,0,,0,,,,
15,prize-10000015,0,0,0,0,0,0,0,0,0,,41-5,,,,,0,prize-20000015,0,,0,,,,
16,prize-10000016,0,0,0,0,0,0,0,0,0,,41-8,,,,,0,prize-20000016,0,,0,,,,
17,prize-10000017,0,100,0,0,0,0,0,0,0,,,,,,,0,prize-20000017,0,,0,,,,
18,prize-10000018,0,200,0,0,0,0,0,0,0,,,,,,,0,prize-20000018,0,,0,,,,
19,prize-10000019,0,300,0,0,0,0,0,0,0,,,,,,,0,prize-20000019,0,,0,,,,
20,prize-10000020,0,0,100,0,0,0,0,0,0,,,,,,,0,prize-20000020,0,,0,,,,
21,prize-10000021,0,0,200,0,0,0,0,0,0,,,,,,,0,prize-20000021,0,,0,,,,
22,prize-10000022,0,0,300,0,0,0,0,0,0,,,,,,,0,prize-20000022,0,,0,,,,
23,prize-10000023,0,0,0,100,0,0,0,0,0,,,,,,,0,prize-20000023,0,,0,,,,
24,prize-10000024,0,0,0,200,0,0,0,0,0,,,,,,,0,prize-20000024,0,,0,,,,
25,prize-10000025,0,0,0,300,0,0,0,0,0,,,,,,,0,prize-20000025,0,,0,,,,
26,prize-10000026,0,0,0,0,100,0,0,0,0,,,,,,,0,prize-20000026,0,,0,,,,
27,prize-10000027,0,0,0,0,200,0,0,0,0,,,,,,,0,prize-20000027,0,,0,,,,
28,prize-10000028,0,0,0,0,300,0,0,0,0,,,,,,,0,prize-20000028,0,,0,,,,
29,prize-10000029,0,0,0,0,0,0,10,0,0,,,,,,,0,prize-20000029,0,,0,,,,
30,prize-10000030,0,0,0,0,0,0,15,0,0,,,,,,,0,prize-20000030,0,,0,,,,
31,prize-10000031,0,0,0,0,0,0,20,0,0,,,,,,,0,prize-20000031,0,,0,,,,
32,prize-10000032,0,0,0,0,0,0,0,0,0,,9-2,,,,,0,prize-20000032,0,,0,,,,
33,prize-10000033,0,0,0,0,0,0,0,0,0,,9-3,,,,,0,prize-20000033,0,,0,,,,
34,prize-10000034,0,0,0,0,0,0,0,0,0,,9-5,,,,,0,prize-20000034,0,,0,,,,
35,prize-10000035,0,0,0,0,0,1,0,0,0,,,,,,,0,prize-20000035,0,,0,,,,
36,prize-10000036,0,0,0,0,0,2,0,0,0,,,,,,,0,prize-20000036,0,,0,,,,
37,prize-10000037,0,0,0,0,0,3,0,0,0,,,,,,,0,prize-20000037,0,,0,,,,
38,prize-10000038,0,0,0,0,0,0,0,0,0,,1-1,,,,,0,prize-20000038,0,,0,,,,
39,prize-10000039,0,0,0,0,0,0,0,0,0,,2-1,,,,,0,prize-20000039,0,,0,,,,
40,prize-10000040,0,0,0,0,0,0,0,0,0,,3-1,,,,,0,prize-20000040,0,,0,,,,
41,prize-10000041,0,0,0,0,0,0,0,0,0,,4-1,,,,,0,prize-20000041,0,,0,,,,
