id,item_ids,gift,prize_id,type,tickets_num
1,,573-1,0,1,3000
2,,200001-45,0,0,0
3,508-120,,0,0,0
4,,400001-45,0,0,0
5,,,1537,0,0
6,515-30,,0,0,0
7,45-30,,0,0,0
8,44-25,,0,0,0
9,50-15,,0,0,0
10,46-45,,0,3,0
11,514-15,,0,3,0
12,,,1538,3,0
13,9-15,,0,0,0
14,,,1539,3,0
15,,,1530,3,0
16,516-30,,0,3,0
17,508-7000,,0,2,0
18,,,94411,1,3000
19,,,94412,1,3000
20,,,94420,1,3000
21,,,94451,1,3000
22,,,1540,1,3000
23,,586-1,0,1,3000
24,,,1705,1,3000
25,,594-1,0,1,0
26,,,95411,1,0
27,,,95412,1,0
28,,,95420,1,0
29,,,95451,1,0
30,,,1979,1,0
