id,group_id,lv,unlock_number,assist_damage,assist_reload,assist_hit,assist_def_break,damage,atk_speed,hit,def
10101,101,1,100,4,0,6,0,0,0,0,0
10102,101,2,200,4,0,15,10,0,0,0,0
10103,101,3,300,9,6,15,10,0,0,0,0
10104,101,4,500,9,6,25,22,0,0,0,0
10105,101,5,800,16,6,25,37,0,0,0,0
10106,101,6,1000,24,6,37,37,0,0,0,0
10107,101,7,1500,24,6,51,53,0,0,0,0
10108,101,8,2000,33,16,51,53,0,0,0,0
10109,101,9,2500,33,16,69,71,0,0,0,0
10110,101,10,3000,45,16,69,95,0,0,0,0
10201,102,1,100,2,0,5,0,0,0,0,0
10202,102,2,200,2,8,5,4,0,0,0,0
10203,102,3,300,5,8,13,4,0,0,0,0
10204,102,4,500,5,20,13,10,0,0,0,0
10205,102,5,800,8,33,13,10,0,0,0,0
10206,102,6,1000,12,33,25,10,0,0,0,0
10207,102,7,1500,12,45,25,20,0,0,0,0
10208,102,8,2000,16,45,41,20,0,0,0,0
10209,102,9,2500,16,61,41,36,0,0,0,0
10210,102,10,3000,24,79,41,36,0,0,0,0
10301,103,1,100,2,0,4,0,0,0,0,0
10302,103,2,200,4,4,4,3,0,0,0,0
10303,103,3,300,7,4,10,3,0,0,0,0
10304,103,4,500,11,8,10,7,0,0,0,0
10305,103,5,800,16,13,10,7,0,0,0,0
10306,103,6,1000,22,13,19,7,0,0,0,0
10307,103,7,1500,29,19,19,10,0,0,0,0
10308,103,8,2000,36,19,29,10,0,0,0,0
10309,103,9,2500,40,28,29,15,0,0,0,0
10310,103,10,3000,50,34,29,15,0,0,0,0
10401,104,1,100,2,0,4,0,0,0,0,0
10402,104,2,200,3,5,4,3,0,0,0,0
10403,104,3,300,6,5,10,3,0,0,0,0
10404,104,4,500,9,10,10,7,0,0,0,0
10405,104,5,800,13,16,10,7,0,0,0,0
10406,104,6,1000,18,16,19,7,0,0,0,0
10407,104,7,1500,24,24,19,9,0,0,0,0
10408,104,8,2000,30,24,28,9,0,0,0,0
10409,104,9,2500,33,35,28,14,0,0,0,0
10410,104,10,3000,41,43,28,14,0,0,0,0
10501,105,1,100,3,0,5,0,0,0,0,0
10502,105,2,200,3,0,13,7,0,0,0,0
10503,105,3,300,7,10,13,7,0,0,0,0
10504,105,4,500,7,10,22,15,0,0,0,0
10505,105,5,800,12,10,22,25,0,0,0,0
10506,105,6,1000,18,10,32,25,0,0,0,0
10507,105,7,1500,18,10,44,36,0,0,0,0
10508,105,8,2000,25,27,44,36,0,0,0,0
10509,105,9,2500,25,27,59,48,0,0,0,0
10510,105,10,3000,34,27,59,64,0,0,0,0
10601,106,1,100,3,0,3,0,0,0,0,0
10602,106,2,200,5,4,3,3,0,0,0,0
10603,106,3,300,9,4,9,3,0,0,0,0
10604,106,4,500,12,8,9,6,0,0,0,0
10605,106,5,800,17,13,9,6,0,0,0,0
10606,106,6,1000,22,13,19,6,0,0,0,0
10607,106,7,1500,28,19,19,10,0,0,0,0
10608,106,8,2000,34,19,29,10,0,0,0,0
10609,106,9,2500,38,29,29,16,0,0,0,0
10610,106,10,3000,46,37,29,16,0,0,0,0
10701,107,1,100,4,0,4,0,0,0,0,0
10702,107,2,200,4,0,10,8,0,0,0,0
10703,107,3,300,10,10,10,8,0,0,0,0
10704,107,4,500,10,10,18,16,0,0,0,0
10705,107,5,800,16,10,18,22,0,0,0,0
10706,107,6,1000,26,10,28,22,0,0,0,0
10707,107,7,1500,26,10,38,32,0,0,0,0
10708,107,8,2000,36,20,38,32,0,0,0,0
10709,107,9,2500,36,20,50,44,0,0,0,0
10710,107,10,3000,52,20,50,60,0,0,0,0
10801,108,1,100,3,0,8,0,0,0,0,0
10802,108,2,200,6,3,8,5,0,0,0,0
10803,108,3,300,9,3,14,5,0,0,0,0
10804,108,4,500,12,6,14,10,0,0,0,0
10805,108,5,800,15,12,14,10,0,0,0,0
10806,108,6,1000,18,12,26,10,0,0,0,0
10807,108,7,1500,24,18,26,16,0,0,0,0
10808,108,8,2000,32,18,38,16,0,0,0,0
10809,108,9,2500,40,26,38,24,0,0,0,0
10810,108,10,3000,50,34,38,24,0,0,0,0
10901,109,1,100,3,0,6,0,0,0,0,0
10902,109,2,200,6,3,6,6,0,0,0,0
10903,109,3,300,9,3,12,6,0,0,0,0
10904,109,4,500,12,6,12,12,0,0,0,0
10905,109,5,800,16,12,12,12,0,0,0,0
10906,109,6,1000,20,12,24,12,0,0,0,0
10907,109,7,1500,26,18,24,18,0,0,0,0
10908,109,8,2000,34,18,39,18,0,0,0,0
10909,109,9,2500,42,26,39,26,0,0,0,0
10910,109,10,3000,52,34,39,26,0,0,0,0
