id,title,content,type,count,rank,prize
1,squad_data_daily-10000001,squad_data_daily-20000001,mission:optional,1,1,10|3
2,squad_data_daily-10000002,squad_data_daily-20000002,slay:optional,5,1,10|3
3,squad_data_daily-10000003,squad_data_daily-20000003,mission:40,2,2,10|4
4,squad_data_daily-10000004,squad_data_daily-20000004,mission:50,2,2,10|4
5,squad_data_daily-10000005,squad_data_daily-20000005,mission:60,1,3,10|5
6,squad_data_daily-10000006,squad_data_daily-20000006,mission:70,1,3,10|5
7,squad_data_daily-10000007,squad_data_daily-20000007,slay:boss,1,3,10|5
8,squad_data_daily-10000008,squad_data_daily-20000008,slay:armor,3,1,10|3
10,squad_data_daily-10000010,squad_data_daily-20000010,slay:normal,3,1,10|3
12,squad_data_daily-10000012,squad_data_daily-20000012,mission_common_win,1,2,10|4
13,squad_data_daily-10000013,squad_data_daily-20000013,mission_emergent_win,1,2,10|4
14,squad_data_daily-10000014,squad_data_daily-20000014,mission_night_win,1,2,10|4
