id,enemy_team_id,enemy_character_type_id,coordinator_x,coordinator_y,level,number,is_advance,def_percent,batch
1,1,90001,14,4,1,1,0,0,0
2,2,90001,14,0,1,1,0,0,0
3,2,90001,14,3,1,1,0,0,0
4,2,90001,14,6,1,1,0,0,0
5,3,20001,14,0,10001,1,1,0,0
6,3,20001,14,3,10001,1,1,0,0
7,3,20001,14,6,10001,1,1,0,0
8,4,20001,13,1,10001,1,1,0,0
9,4,20001,13,4,10001,1,1,0,0
10,4,20001,16,1,10001,1,1,0,0
11,4,20001,16,4,10001,1,1,0,0
12,5,20001,16,0,10002,1,1,0,0
13,5,20001,16,3,10002,1,1,0,0
14,5,20001,16,6,10002,1,1,0,0
15,5,20001,16,9,10002,1,1,0,0
16,5,20001,12,6,10003,1,1,0,0
17,5,20001,12,3,10003,1,1,0,0
18,6,20001,15,0,10005,1,1,0,0
19,6,20001,15,2,10005,1,1,0,0
20,6,20001,15,4,10005,1,1,0,0
21,6,20001,15,6,10005,1,1,0,0
22,7,20001,14,0,10005,1,1,0,0
23,7,20001,16,2,10005,1,1,0,0
24,7,20001,16,4,10005,1,1,0,0
25,7,20001,16,6,10005,1,1,0,0
26,7,20001,14,8,10005,1,1,0,0
27,8,20001,16,0,10005,1,1,0,0
28,8,20002,16,2,10001,1,1,0,0
29,8,20002,14,4,10005,1,1,0,0
30,8,20002,16,6,10001,1,1,0,0
31,8,20001,16,8,10005,1,1,0,0
32,9,20002,20,0,10001,1,1,0,0
33,9,20001,15,2,10005,1,1,0,0
34,9,20001,15,4,10005,1,1,0,0
35,9,20001,15,6,10005,1,1,0,0
36,9,20002,20,8,10001,1,1,0,0
37,10,20002,14,0,10005,1,1,0,0
38,10,20002,14,2,10005,1,1,0,0
39,10,20002,14,4,10005,1,1,0,0
40,10,20002,14,6,10005,1,1,0,0
41,10,20002,14,8,10005,1,1,0,0
42,11,20002,16,0,10005,1,1,0,0
43,11,20001,14,2,10008,1,1,0,0
44,11,20001,12,4,10008,1,1,0,0
45,11,20001,14,6,10008,1,1,0,0
46,11,20002,16,8,10005,1,1,0,0
47,12,20001,12,0,10010,1,1,0,0
48,12,20001,14,2,10010,1,1,0,0
49,12,20001,12,4,10010,1,1,0,0
50,12,20001,14,6,10010,1,1,0,0
51,12,20001,12,8,10010,1,1,0,0
52,13,20002,16,0,10003,1,1,0,0
53,13,20002,14,2,10003,1,1,0,0
54,13,20002,12,4,10003,1,1,0,0
55,13,20002,14,6,10003,1,1,0,0
56,13,20002,16,8,10003,1,1,0,0
57,14,20001,14,0,10010,1,1,0,0
58,14,20001,14,3,10010,1,1,0,0
59,14,20004,18,6,10001,1,1,0,0
60,14,20001,14,9,10010,1,1,0,0
61,14,20001,14,6,10010,1,1,0,0
62,15,20002,12,0,10003,1,1,0,0
63,15,20002,14,2,10003,1,1,0,0
64,15,20004,16,4,10001,1,1,0,0
65,15,20002,14,6,10003,1,1,0,0
66,15,20002,12,8,10003,1,1,0,0
67,16,20001,16,0,10010,1,1,0,0
68,16,20002,14,2,10005,1,1,0,0
69,16,20002,14,4,10005,1,1,0,0
70,16,20002,14,6,10005,1,1,0,0
71,16,20001,16,8,10010,1,1,0,0
72,17,20001,18,6,10010,1,1,0,0
73,17,20004,14,5,10001,1,1,0,0
74,17,20004,14,0,10001,1,1,0,0
75,17,20001,18,2,10010,1,1,0,0
76,17,20001,18,4,10010,1,1,0,0
77,18,20001,12,0,10010,1,1,0,0
78,18,20002,14,2,10005,1,1,0,0
79,18,20004,16,4,10001,1,1,0,0
80,18,20002,14,6,10005,1,1,0,0
81,18,20001,12,8,10010,1,1,0,0
82,19,20001,14,0,10015,1,1,0,0
83,19,20001,14,2,10015,1,1,0,0
84,19,20001,14,4,10015,1,1,0,0
85,19,20001,14,6,10015,1,1,0,0
86,19,20001,14,8,10015,1,1,0,0
87,20,20004,14,2,10001,1,1,0,0
88,20,20004,14,4,10002,1,1,0,0
89,20,20004,14,6,10001,1,1,0,0
90,21,20001,14,0,10010,1,1,0,0
91,21,20001,14,3,10010,1,1,0,0
92,21,20001,14,6,10010,1,1,0,0
93,21,20001,14,9,10010,1,1,0,0
94,21,20004,18,4,10001,1,1,0,0
95,22,20001,18,0,10010,1,1,0,0
96,22,20002,16,2,10005,1,1,0,0
97,22,20002,14,4,10010,1,1,0,0
98,22,20002,16,6,10005,1,1,0,0
99,22,20001,18,8,10010,1,1,0,0
100,23,20004,14,0,10003,1,1,0,0
101,23,20004,14,3,10003,1,1,0,0
102,23,20004,14,6,10003,1,1,0,0
103,24,20004,12,4,10005,1,1,0,0
104,24,20004,12,6,10005,1,1,0,0
105,24,20001,14,2,10013,1,1,0,0
106,24,20001,14,8,10013,1,1,0,0
107,25,20001,16,2,10015,1,1,0,0
108,25,20001,16,4,10015,1,1,0,0
109,25,20001,16,6,10015,1,1,0,0
110,25,20002,12,2,10007,1,1,0,0
