"id","name","description","icon","type","timing","scout_selection_id","scout_majority_coef","scout_manority_coef","is_active","theater_event_id"
"1","theater_incident-10000001","theater_incident-20000001","TheaterIncident1","1","1","101,102,103","50","200","1","11"
"2","theater_incident-10000002","theater_incident-20000002","TheaterIncident1","1","2","101,102,103","50","200","1","11"
"3","theater_incident-10000003","theater_incident-20000003","TheaterIncident1","1","3","101,102,103","50","200","1","11"
"4","theater_incident-10000004","theater_incident-20000004","TheaterIncident1","1","4","101,102,103","50","200","1","11"
"5","theater_incident-10000005","theater_incident-20000005","TheaterIncident1","1","5","101,102,103","50","200","1","11"
"6","theater_incident-10000006","theater_incident-20000006","TheaterIncident1","1","6","101,102,103","50","200","1","11"
"7","theater_incident-10000007","theater_incident-20000007","TheaterIncident1","1","7","101,102,103","50","200","1","11"
"8","theater_incident-10000008","theater_incident-20000008","TheaterIncident1","1","8","101,102,103","50","200","1","11"
"9","theater_incident-10000009","theater_incident-20000009","TheaterIncident1","1","9","101,102,103","50","200","1","11"
"10","theater_incident-10000010","theater_incident-20000010","TheaterIncident1","1","10","101,102,103","50","200","1","11"
"11","theater_incident-10000011","theater_incident-20000011","TheaterIncident1","1","11","101,102,103","50","200","1","11"
"12","theater_incident-10000012","theater_incident-20000012","TheaterIncident1","1","12","101,102,103","50","200","1","11"
"13","theater_incident-10000013","theater_incident-20000013","TheaterIncident1","1","13","101,102,103","50","200","1","11"
"14","theater_incident-10000014","theater_incident-20000014","TheaterIncident1","1","14","101,102,103","50","200","1","11"
