id,type,name,enemy_info,code,maxlife,pow,hit,dodge,range,speed,number,angle,armor_piercing,armor,shield,rate,boss_hp,def,def_break,debuff_resistance,level,character,special_attack,normal_attack,passive_skill,effect_ratio,unable_buff_type,able_buff_id,voice,deployment_scale,recommend_description,hit_point,offset,lifebar_offset,enemy_illustration_id,location_offset,crit,crit_dmg,tenacity,danger
9999,0,enemy_character_type-20009999,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,enemy_character_type-10009999,0,300301,200304,1.0,,,,1.0,enemy_character_type-30009999,,,,0,,0,0,0,0
10000,2,enemy_character_type-20010000,头像显示,SangvisFerri,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0,100,enemy_character_type-10010000,0,300301,,1.0,,,,1.0,enemy_character_type-30010000,,,,0,,0,0,0,0
10001,2,enemy_character_type-20010001,巡游者,Prowler,397,11,23,15,4,30,1,180,0,0,0,30,0,99999,0,0,100,enemy_character_type-10010001,0,300317,"200304,770044",1.0,,,,1.0,enemy_character_type-30010001,,,,2,,0,0,0,10
10002,2,enemy_character_type-20010002,侦查者,Scouts,829,11,23,80,4,50,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010002,0,300312,"200304,770044",0.8,,,,1.0,enemy_character_type-30010002,,,,3,,0,0,0,10
10003,2,enemy_character_type-20010003,兵蚁,Dinergate,65,84,140,0,3,45,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010003,0,300316,"200304,770044",0.07,,,,1.0,enemy_character_type-30010003,,,,6,,0,0,0,10
10004,3,enemy_character_type-20010004,切割者,Ripper,794,21,23,15,5,30,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010004,0,300317,"200304,770044",1.0,,,,1.0,enemy_character_type-30010004,,,,4,,0,0,0,10
10005,3,enemy_character_type-20010005,胡蜂,Vespid,397,42,23,15,6,35,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010005,0,300313,"200304,770044",1.0,,,,1.0,enemy_character_type-30010005,,,,7,,0,0,0,10
10006,3,enemy_character_type-20010006,猎鸥,Jaeger,397,42,140,15,7,35,1,180,0,0,0,20,0,99999,0,0,100,enemy_character_type-10010006,0,300301,"200304,770044",1.0,,,,1.0,enemy_character_type-30010006,,,,9,,0,0,0,10
10007,3,enemy_character_type-20010007,护卫者,Guard,2269,11,23,0,3,30,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010007,0,300316,"200304,770044",0.6000000000000001,,,,1.0,enemy_character_type-30010007,,,,10,,0,0,0,10
10008,3,enemy_character_type-20010008,龙骑兵,Dragoon,1588,42,140,15,4,50,1,180,0,0,0,40,0,99999,0,0,100,enemy_character_type-10010008,0,300318,"200304,770044",1.0,,,,1.0,enemy_character_type-30010008,,,,12,,0,0,0,10
