id	group	content	paras	type	type_name
1	2	chat_fix_phrases-10000001		1	chat_fix_phrases-20000001
2	2	chat_fix_phrases-10000002		1	chat_fix_phrases-20000002
3	2	chat_fix_phrases-10000003		1	chat_fix_phrases-20000003
4	2	chat_fix_phrases-10000004		1	chat_fix_phrases-20000004
5	2	chat_fix_phrases-10000005		1	chat_fix_phrases-20000005
6	2	chat_fix_phrases-10000006		1	chat_fix_phrases-20000006
7	2	chat_fix_phrases-10000007		1	chat_fix_phrases-20000007
8	2	chat_fix_phrases-10000008		2	chat_fix_phrases-20000008
9	2	chat_fix_phrases-10000009		2	chat_fix_phrases-20000009
10	2	chat_fix_phrases-10000010		2	chat_fix_phrases-20000010
11	2	chat_fix_phrases-10000011		2	chat_fix_phrases-20000011
12	2	chat_fix_phrases-10000012		2	chat_fix_phrases-20000012
13	2	chat_fix_phrases-10000013		3	chat_fix_phrases-20000013
14	2	chat_fix_phrases-10000014		3	chat_fix_phrases-20000014
15	2	chat_fix_phrases-10000015		3	chat_fix_phrases-20000015
16	2	chat_fix_phrases-10000016		3	chat_fix_phrases-20000016
17	2	chat_fix_phrases-10000017		3	chat_fix_phrases-20000017
18	2	chat_fix_phrases-10000018		4	chat_fix_phrases-20000018
19	2	chat_fix_phrases-10000019		4	chat_fix_phrases-20000019
20	2	chat_fix_phrases-10000020		4	chat_fix_phrases-20000020
21	2	chat_fix_phrases-10000021		4	chat_fix_phrases-20000021
22	3	chat_fix_phrases-10000022		1	chat_fix_phrases-20000022
23	3	chat_fix_phrases-10000023		1	chat_fix_phrases-20000023
24	3	chat_fix_phrases-10000024		1	chat_fix_phrases-20000024
25	3	chat_fix_phrases-10000025		1	chat_fix_phrases-20000025
26	3	chat_fix_phrases-10000026		1	chat_fix_phrases-20000026
27	3	chat_fix_phrases-10000027		1	chat_fix_phrases-20000027
28	3	chat_fix_phrases-10000028		1	chat_fix_phrases-20000028
29	3	chat_fix_phrases-10000029		1	chat_fix_phrases-20000029
30	3	chat_fix_phrases-10000030		1	chat_fix_phrases-20000030
31	3	chat_fix_phrases-10000031		1	chat_fix_phrases-20000031
32	3	chat_fix_phrases-10000032		1	chat_fix_phrases-20000032
33	3	chat_fix_phrases-10000033		2	chat_fix_phrases-20000033
34	3	chat_fix_phrases-10000034		2	chat_fix_phrases-20000034
35	3	chat_fix_phrases-10000035		3	chat_fix_phrases-20000035
36	3	chat_fix_phrases-10000036		3	chat_fix_phrases-20000036
37	3	chat_fix_phrases-10000037		3	chat_fix_phrases-20000037
38	3	chat_fix_phrases-10000038		3	chat_fix_phrases-20000038
39	3	chat_fix_phrases-10000039		3	chat_fix_phrases-20000039
40	3	chat_fix_phrases-10000040		3	chat_fix_phrases-20000040
41	3	chat_fix_phrases-10000041		3	chat_fix_phrases-20000041
42	3	chat_fix_phrases-10000042		3	chat_fix_phrases-20000042
43	3	chat_fix_phrases-10000043		3	chat_fix_phrases-20000043
44	3	chat_fix_phrases-10000044		4	chat_fix_phrases-20000044
45	3	chat_fix_phrases-10000045		4	chat_fix_phrases-20000045
46	3	chat_fix_phrases-10000046		4	chat_fix_phrases-20000046
47	3	chat_fix_phrases-10000047		4	chat_fix_phrases-20000047
48	3	chat_fix_phrases-10000048		4	chat_fix_phrases-20000048
49	3	chat_fix_phrases-10000049		5	chat_fix_phrases-20000049
50	3	chat_fix_phrases-10000050		5	chat_fix_phrases-20000050
51	3	chat_fix_phrases-10000051		5	chat_fix_phrases-20000051
52	3	chat_fix_phrases-10000052		5	chat_fix_phrases-20000052
53	3	chat_fix_phrases-10000053		5	chat_fix_phrases-20000053
54	3	chat_fix_phrases-10000054		5	chat_fix_phrases-20000054
55	3	chat_fix_phrases-10000055		5	chat_fix_phrases-20000055
56	3	chat_fix_phrases-10000056		5	chat_fix_phrases-20000056
57	3	chat_fix_phrases-10000057		5	chat_fix_phrases-20000057
58	3	chat_fix_phrases-10000058		5	chat_fix_phrases-20000058
59	3	chat_fix_phrases-10000059		5	chat_fix_phrases-20000059
60	3	chat_fix_phrases-10000060		6	chat_fix_phrases-20000060
61	3	chat_fix_phrases-10000061		6	chat_fix_phrases-20000061
62	3	chat_fix_phrases-10000062		6	chat_fix_phrases-20000062
63	3	chat_fix_phrases-10000063		6	chat_fix_phrases-20000063
64	3	chat_fix_phrases-10000064		6	chat_fix_phrases-20000064
65	3	chat_fix_phrases-10000065		6	chat_fix_phrases-20000065
66	3	chat_fix_phrases-10000066		6	chat_fix_phrases-20000066
67	3	chat_fix_phrases-10000067		6	chat_fix_phrases-20000067
68	3	chat_fix_phrases-10000068		6	chat_fix_phrases-20000068
