id	component_id	level	heavy_damage	light_damage	reload	precision	atk_speed	hit	armor	dodge	crit_rate	crit_damage	H_armor_piercing	L_armor_piercing	def_break	energy	energy_bak	skill	skin
10001	1108	10	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:220110	0
10002	1124	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1:770067	0
10003	1102	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1:770004	0
10004	1107	10	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1:770056	0
10005	1115	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1:770074	0
10101	1108	10	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:220110	0
10102	1124	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1:770067	0
10103	1102	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1:770004	0
10104	1107	10	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1:770056	0
10105	1115	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1:770074	0
