id,story_campaign_id,mindupdate_story_id,fetter_id,skin_id
100001,11|31|33,1,,301|2105
100002,3|33,2,,4514
100003,3|22|33,0,,
100004,17,0,,
100005,4,5,,
100006,32|26,0,,
100007,,7,1,4306
100008,4|5|9|22|29,8,,1|4310
100009,35,0,1,2410
100010,26,10,,
100011,11|12,0,,
100012,,12,,
100013,5|9|17|22|33|28,13,,
100014,,0,,
100015,12,0,,
100016,3|10|14|17|22|25|26|33,0,,1501
100017,14|22,0,,
100018,2|3|22|26|27,0,,
100019,,0,,
100020,,0,,2|1901
100021,1|2|32,21,,
100022,,0,,
100023,,0,,
100024,28,0,,
100025,6|17,0,,
100026,2|3|22,26,,3|1903|3006
100027,1|2|9,0,,801
100028,16|35,0,,2405
100029,2|5|9|17|22|32|33,29,,
100031,,31,,
100032,9|22,32,,
100033,9,0,,4
100034,14|22|35,0,,
100035,14,0,,
100036,18|22|24|25|33|31|35,0,2|4,5|302|802
100037,14|33|31,37,,303
100038,3|33|31,0,,304
100039,4,39,2,803
100040,29,0,,
100041,4,0,,
100042,,0,,
100043,31,0,,305
100044,22,44,,1906
100046,15|22|26|28,46,2,4301
100047,15,0,,
100048,2|10|15|26|31|35,0,2,6|306|804
100049,,49,,
100050,32|26|28,50,2,
100051,3|8|9,51,,
100052,,0,,
100053,35|26,53,,307|2301
100054,1|4|5|6|8|9|10|12|14|15|16|17|19|20|21|22|23|26|27|29,0,,4506
100055,1|3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|23|26|29,55,,4505
100056,1|4|5|6|8|9|10|12|13|14|15|17|18|19|20|21|22|23|29,56,,4507
100057,4|5|6|8|12|15|16|17|19|20|21|22|23|24|25|26|27|28|29|34,57,,4508
100058,4,0,,
100059,17,0,,3002
100060,,60,,
100061,15,61,,
100062,35,0,,2401
100063,,63,,
100064,24|31|25,64,4,1507|1904|2407|2806
100065,2|5|7|10|13|16|17|20|21|22|23|24|25|26|29|34,65,,805
100066,6|32|28,66,,1905
100068,,0,,
100069,,0,,2604
100070,3|8|9,0,,4308
100071,8|9,71,,
100072,8|9|22,0,,
100073,12|22,0,,
100074,,0,,
100075,22|31,75,,806
100077,,0,,
100078,34,0,,
100079,34,0,,
100080,,80,,7
100081,,81,,1808|4007
100082,,0,,
100084,28,0,,
100085,32,0,,
100086,,0,,
100087,,0,,4210
100088,3,88,,3806
100089,12,89,,2605
100090,,0,,
100091,,91,,
100092,,0,1,
100093,6|33,93,,2108
100094,33,94,,11
100095,22,95,,
100096,26,0,3,2102|4303
100097,,97,,808|2303|4302
100098,7,0,,4207
100099,,0,,8|1805|3105
100100,2|22|30,0,,
100101,7|10|13|16|17|34|20|21|22|23|24|25|26|27,101,,2106
100102,13|22,0,,
100103,5|7|10|13|16|17|34|20|21|22|23|24|25|26|27|29,103,,2107
100104,32,104,4,3103|3802
100105,,0,,
100106,8|25|31|35,0,,308|2406
100107,8,0,,
100108,,0,,
100109,2|31,0,,309|1504
100110,,0,,
100111,5|9|11|17|22|33,0,,
100112,8|9|14|22|25,0,,
100113,35,0,,3506
100114,12|22|30|36|26,114,,2103
100115,33|31|35,115,,310|3101
100116,35,0,,3507
100117,,0,,3808
100118,17,0,,
100119,4|7,0,,3001|4501
100120,,0,,
100121,,0,,
100122,2|7|10|13|16|17|20|21|22|23|24|31|25|26|29,122,,9
100123,,0,,
100124,3|11,124,,
100125,27,125,,
100126,6,0,,
100127,,0,,3306
100128,6|11,0,,3304
100129,35,0,,
100130,,0,,
100131,,0,,2109
100132,,0,,
100133,,0,,
100134,,0,,
100135,11,0,,807
100136,,136,,
100137,,0,,
100138,,0,,
100139,,0,,
100140,,0,,
100141,,0,,
100142,8|35,0,,1902|2805
100143,9|10|12|14|15|17|18|19|20|21|22|23|24|25|26|27|29,143,,4504
100144,,0,,
100145,28|31,0,,
100146,,0,,2304|3307
100147,12,0,,
100148,12|22,0,,3004
100149,,0,,1505
100150,,0,,
100151,10,0,,
100152,,152,,
100153,35,0,,
100154,,154,,
100155,,0,3,1806
100156,,0,,
100157,,0,,
100158,29,0,,
100159,,159,,4309
100160,33,0,,4510
100161,6,161,,3807
100162,33|35,162,,2408
100163,35,0,,2403
100164,33,0,,2804
100165,,0,,4305
100166,31,0,,3005
100167,,0,1,
100168,26|30,0,,
100169,,0,,
100170,28,0,,
100171,26,171,,
100172,33|31,0,,
100173,,0,,1503|3102|4203
100174,,0,,1807
100175,,0,,1803|2803
100176,33,0,,2807
100177,13,0,,
100178,,178,,2606
100179,13|33,0,,1801|2101
100180,,0,3,1506
100181,8|14,0,,4206
100182,,0,,
100183,34|29,0,,1502|2302
100184,,0,,3106
100185,31|35,0,,2409
100186,,0,,
100187,,0,,
100188,,0,,1802|2601
100189,,0,,
100190,,0,,
100191,,0,,
100192,,0,,1804
100193,14,0,,
100194,33,0,,3301
100195,15,0,,
100196,,196,,2104|4304
