id,type,unlock_lv,unlock_ids,unlock_label,count,prize_id,title,content,unlock_course,new_type,grade_id,sort,condition,new_unlock_ids,goto_page_id
1,auto_mission_1,,,,1,701,career_quest-10000001,career_quest-20000001,,1,47,359,,,0
2,operation_5,,,,1,702,career_quest-10000002,career_quest-20000002,,1,47,360,,,0
3,reinforce_team2,,,,1,703,career_quest-10000003,career_quest-20000003,,1,3,15,,,0
4,mission_emergency_1_1_1,,,mission:15,1,704,career_quest-10000004,career_quest-20000004,,1,3,16,,,0
5,mission_emergency_1_2_1,,,,1,705,career_quest-10000005,career_quest-20000005,,1,5,38,,,0
6,mission_emergency_1_3_1,,,,1,706,career_quest-10000006,career_quest-20000006,,1,6,57,,,0
7,mission_emergency_1_4_1,,,,1,707,career_quest-10000007,career_quest-20000007,,1,8,75,,,0
8,mission_emergency_1_5_1,,,,1,708,career_quest-10000008,career_quest-20000008,,1,9,94,,,0
9,mission_emergency_1_6_1,,,,1,709,career_quest-10000009,career_quest-20000009,,1,10,97,,,0
10,mission_emergency_1_7_1,,,,1,710,career_quest-10000010,career_quest-20000010,,1,11,101,,,0
11,mission_emergency_1_8_1,,,,1,711,career_quest-10000011,career_quest-20000011,,1,12,105,,,0
12,mission_emergency_3_1_1,,,,1,712,career_quest-10000012,career_quest-20000012,,1,17,127,,,0
13,mission_emergency_3_2_1,,,,1,713,career_quest-10000013,career_quest-20000013,,1,18,139,,,0
14,mission_emergency_3_3_1,,,,1,714,career_quest-10000014,career_quest-20000014,,1,19,146,,,0
15,mission_emergency_3_4_1,,,,1,715,career_quest-10000015,career_quest-20000015,,1,20,157,,,0
16,mission_emergency_3_5_1,,,,1,716,career_quest-10000016,career_quest-20000016,,1,21,162,,,0
17,mission_duplicate_type1,12,,,1,717,career_quest-10000017,career_quest-20000017,,1,4,32,,,0
18,mission_duplicate_type2,12,,,1,718,career_quest-10000018,career_quest-20000018,,1,4,33,,,0
19,mission_duplicate_type3,12,,,1,719,career_quest-10000019,career_quest-20000019,,1,4,34,,,0
20,trial_mission,,,mission:90008,1,720,career_quest-10000020,career_quest-20000020,,1,19,147,,,0
21,gun5_into_team,3,,,1,721,career_quest-10000021,career_quest-20000021,,1,1,1,,,0
22,gun_equip_type_4,,,,1,722,career_quest-10000022,career_quest-20000022,,1,17,128,,,0
23,gun_equip_type_5,,,,1,723,career_quest-10000023,career_quest-20000023,,1,17,129,,,0
24,gun5_into_team2,,,,1,724,career_quest-10000024,career_quest-20000024,,1,3,17,,,0
25,team_from_1,,,,1,725,career_quest-10000025,career_quest-20000025,,1,2,4,,,0
26,team_from_2,,,,1,726,career_quest-10000026,career_quest-20000026,,1,5,39,,,0
27,team_from_3,,,,1,727,career_quest-10000027,career_quest-20000027,,1,5,40,,,0
28,team_from_4,,,,1,728,career_quest-10000028,career_quest-20000028,,1,8,76,,,0
29,team_from_5,,,,1,729,career_quest-10000029,career_quest-20000029,,1,8,77,,,0
50,develop_gun,3,,,5,730,career_quest-10000050,career_quest-20000050,,1,1,2,,,0
51,combine_gun,,,,1,731,career_quest-10000051,career_quest-20000051,,1,2,5,,,0
52,eat_gun,,,,5,732,career_quest-10000052,career_quest-20000052,,1,2,6,,,0
53,retire_gun,,eat_gun:1,,5,733,career_quest-10000053,career_quest-20000053,,1,5,41,,,0
54,develop_equip,,,mission:20,5,734,career_quest-10000054,career_quest-20000054,,1,17,130,,,0
61,special_develop_gun,,,bestrank1:30,1,741,career_quest-10000061,career_quest-20000061,,1,8,78,,,0
100,gasha_count,3,,,1,742,career_quest-10000100,career_quest-20000100,,1,59,414,,,0
101,open_gift,3,,,5,743,career_quest-10000101,career_quest-20000101,,1,59,415,,,0
102,dorm_change,3,,,1,744,career_quest-10000102,career_quest-20000102,,1,59,416,,,0
103,friend_visit,,,,5,745,career_quest-10000103,career_quest-20000103,,1,53,387,,,0
104,friend_praise,,,,5,746,career_quest-10000104,career_quest-20000104,,1,53,388,,,0
150,friend_apply,,,,1,758,career_quest-10000150,career_quest-20000150,,1,53,389,,,0
151,friend_card_change,,,,1,759,career_quest-10000151,career_quest-20000151,,1,53,390,,,0
152,friend_headpic_change,,,,1,760,career_quest-10000152,career_quest-20000152,,1,53,391,,,0
153,upgrade,12,,,5,761,career_quest-10000153,career_quest-20000153,,1,6,58,,,0
154,eat_equip,,,mission:90004,5,762,career_quest-10000154,career_quest-20000154,,1,18,140,,,0
155,adjust_equip,,,mission:90008,5,763,career_quest-10000155,career_quest-20000155,,1,19,148,,,0
156,adjust_equip_attr_100,,,,1,764,career_quest-10000156,career_quest-20000156,,1,19,149,,,0
158,eat_fairy,,,,5,766,career_quest-10000158,career_quest-20000158,86|87|88,1,26,191,,,0
159,upgrade_fairy,,,,5,767,career_quest-10000159,career_quest-20000159,86|87|88,1,24,150,,,0
160,adjust_fairy,,,,5,768,career_quest-10000160,career_quest-20000160,86|87|88,1,25,181,,,0
162,establish_up_type_301,,,,1,770,career_quest-10000162,career_quest-20000162,,1,23,169,,,0
163,establish_up_type_302,,,,1,771,career_quest-10000163,career_quest-20000163,,1,23,170,,,0
164,establish_up_type_303,,,,1,772,career_quest-10000164,career_quest-20000164,,1,23,171,,,0
165,establish_up_type_304,,,,1,773,career_quest-10000165,career_quest-20000165,,1,23,172,,,0
166,up_mod1,60,,,1,774,career_quest-10000166,career_quest-20000166,97,1,13,107,,,0
167,up_mod2,60,,,1,775,career_quest-10000167,career_quest-20000167,97,1,14,112,,,0
168,up_mod3,60,,,1,776,career_quest-10000168,career_quest-20000168,97,1,15,121,,,0
169,upgrade2,60,,,1,777,career_quest-10000169,career_quest-20000169,,1,14,113,,,0
170,sun_friend_team_into,,,,1,778,career_quest-10000170,career_quest-20000170,,1,54,395,,,0
171,night_friend_team_into,,,,1,779,career_quest-10000171,career_quest-20000171,,1,54,396,,,0
172,squad_base_data_analyse,,,,20,780,career_quest-10000172,career_quest-20000172,,1,29,206,,,0
173,squad_senior_data_analyse,,,,20,781,career_quest-10000173,career_quest-20000173,,1,29,207,,,0
176,squad_get_type1_unit,,,,1,784,career_quest-10000176,career_quest-20000176,,1,29,210,,,0
177,squad_up_rank,,,,1,785,career_quest-10000177,career_quest-20000177,,1,30,222,,,0
178,squad_rank_max,,,,1,786,career_quest-10000178,career_quest-20000178,,1,33,264,,,0
180,squad_level_max,,,,1,788,career_quest-10000180,career_quest-20000180,,1,33,265,,,0
181,squad_up_skill_times,,,,1,789,career_quest-10000181,career_quest-20000181,,1,30,223,,,0
182,squad_up_advanced_times,,,,1,790,career_quest-10000182,career_quest-20000182,,1,33,266,,,0
186,explore_auto_team,20,,,1,794,career_quest-10000186,career_quest-20000186,,1,48,363,,,0
187,explore_first_times,20,,,1,795,career_quest-10000187,career_quest-20000187,,1,48,364,,,0
188,explore_replay,20,,,1,796,career_quest-10000188,career_quest-20000188,,1,48,365,,,0
189,explore_get_prize,20,,,1,797,career_quest-10000189,career_quest-20000189,,1,48,366,,,0
190,explore_change_item,20,,,1,798,career_quest-10000190,career_quest-20000190,,1,48,367,,,0
191,uniform_get_color,,,,1,799,career_quest-10000191,career_quest-20000191,,1,56,410,,,0
192,activation_uniform_skill,,,,1,800,career_quest-10000192,career_quest-20000192,,1,54,392,,,0
193,change_gender,,,,1,11002,career_quest-10000193,career_quest-20000193,,1,54,393,,,0
194,mission_emergency_0_1_3,,,mission:5,1,11003,career_quest-10000194,career_quest-20000194,,2,2,7,,,0
195,mission_emergency_0_1_5,,,,1,11004,career_quest-10000195,career_quest-20000195,,2,2,8,,,0
196,mission_emergency_0_1_6,,,,1,11005,career_quest-10000196,career_quest-20000196,,2,2,9,,,0
197,mission_emergency_0_2_1,,,,1,11006,career_quest-10000197,career_quest-20000197,,2,3,18,,,0
198,mission_emergency_0_2_2,,,,1,11007,career_quest-10000198,career_quest-20000198,,2,3,19,,,0
199,mission_emergency_0_2_3,,,,1,11008,career_quest-10000199,career_quest-20000199,,2,3,20,,,0
200,mission_emergency_0_2_4,,,,1,11009,career_quest-10000200,career_quest-20000200,,2,3,21,,,0
201,mission_emergency_0_2_5,,,,1,11010,career_quest-10000201,career_quest-20000201,,2,3,22,,,0
202,mission_emergency_0_2_6,,,,1,11011,career_quest-10000202,career_quest-20000202,,2,3,23,,,0
203,mission_emergency_1_1_2,,,mission:15,1,11012,career_quest-10000203,career_quest-20000203,,2,3,24,,,0
204,mission_emergency_1_1_3,,,,1,11013,career_quest-10000204,career_quest-20000204,,2,3,25,,,0
205,mission_emergency_1_1_4,,,,1,11014,career_quest-10000205,career_quest-20000205,,2,3,26,,,0
206,mission_emergency_1_2_2,,,,1,11015,career_quest-10000206,career_quest-20000206,,2,5,42,,,0
207,mission_emergency_1_2_3,,,,1,11016,career_quest-10000207,career_quest-20000207,,2,5,43,,,0
208,mission_emergency_1_2_4,,,,1,11017,career_quest-10000208,career_quest-20000208,,2,5,44,,,0
209,mission_emergency_0_3_1,,,,1,11018,career_quest-10000209,career_quest-20000209,,2,5,45,,,0
210,mission_emergency_0_3_2,,,,1,11019,career_quest-10000210,career_quest-20000210,,2,5,46,,,0
211,mission_emergency_0_3_3,,,,1,11020,career_quest-10000211,career_quest-20000211,,2,5,47,,,0
212,mission_emergency_0_3_4,,,,1,11021,career_quest-10000212,career_quest-20000212,,2,5,48,,,0
213,mission_emergency_0_3_5,,,,1,11022,career_quest-10000213,career_quest-20000213,,2,5,49,,,0
214,mission_emergency_0_3_6,,,,1,11023,career_quest-10000214,career_quest-20000214,,2,5,50,,,0
215,mission_emergency_1_3_2,,,,1,11024,career_quest-10000215,career_quest-20000215,,2,6,59,,,0
216,mission_emergency_1_3_3,,,,1,11025,career_quest-10000216,career_quest-20000216,,2,6,60,,,0
217,mission_emergency_1_3_4,,,,1,11026,career_quest-10000217,career_quest-20000217,,2,6,61,,,0
218,mission_emergency_0_4_1,,,,1,11027,career_quest-10000218,career_quest-20000218,,2,6,62,,,0
219,mission_emergency_0_4_2,,,,1,11028,career_quest-10000219,career_quest-20000219,,2,6,63,,,0
220,mission_emergency_0_4_3,,,,1,11029,career_quest-10000220,career_quest-20000220,,2,6,64,,,0
221,mission_emergency_0_4_4,,,,1,11030,career_quest-10000221,career_quest-20000221,,2,6,65,,,0
222,mission_emergency_0_4_5,,,,1,11031,career_quest-10000222,career_quest-20000222,,2,6,66,,,0
223,mission_emergency_0_4_6,,,,1,11032,career_quest-10000223,career_quest-20000223,,2,6,67,,,0
224,mission_emergency_1_4_2,,,,1,11033,career_quest-10000224,career_quest-20000224,,2,8,79,,,0
225,mission_emergency_1_4_3,,,,1,11034,career_quest-10000225,career_quest-20000225,,2,8,80,,,0
226,mission_emergency_1_4_4,,,,1,11035,career_quest-10000226,career_quest-20000226,,2,8,81,,,0
227,mission_emergency_0_5_1,,,,1,11036,career_quest-10000227,career_quest-20000227,,2,8,82,,,0
228,mission_emergency_0_5_2,,,,1,11037,career_quest-10000228,career_quest-20000228,,2,8,83,,,0
229,mission_emergency_0_5_3,,,,1,11038,career_quest-10000229,career_quest-20000229,,2,8,84,,,0
230,mission_emergency_0_5_4,,,,1,11039,career_quest-10000230,career_quest-20000230,,2,8,85,,,0
231,mission_emergency_0_5_5,,,,1,11040,career_quest-10000231,career_quest-20000231,,2,8,86,,,0
232,mission_emergency_3_1_2,,,,1,11041,career_quest-10000232,career_quest-20000232,,2,17,131,,,0
233,mission_emergency_3_1_3,,,,1,11042,career_quest-10000233,career_quest-20000233,,2,17,132,,,0
234,mission_emergency_3_1_4,,,,1,11043,career_quest-10000234,career_quest-20000234,,2,17,133,,,0
235,mission_emergency_3_2_2,,,,1,11044,career_quest-10000235,career_quest-20000235,,2,18,141,,,0
236,mission_emergency_3_2_3,,,,1,11045,career_quest-10000236,career_quest-20000236,,2,18,142,,,0
237,mission_emergency_3_2_4,,,,1,11046,career_quest-10000237,career_quest-20000237,,2,18,143,,,0
238,mission_emergency_3_3_2,,,,1,11047,career_quest-10000238,career_quest-20000238,,2,19,151,,,0
239,mission_emergency_3_3_3,,,,1,11048,career_quest-10000239,career_quest-20000239,,2,19,152,,,0
240,mission_emergency_3_3_4,,,,1,11049,career_quest-10000240,career_quest-20000240,,2,19,153,,,0
241,mission_emergency_0_5_6,,,,1,11050,career_quest-10000241,career_quest-20000241,,2,8,87,,,0
242,sangvis_daily_retrieval,,,,3,11051,career_quest-10000242,career_quest-20000242,134,1,35,270,,,0
243,sangvis_aided_retrieval,,,,3,11052,career_quest-10000243,career_quest-20000243,134,1,35,271,,,0
244,sangvis_exercise_exp,,,,1,11053,career_quest-10000244,career_quest-20000244,134,1,35,272,,,0
245,sangvis_exercise_star,,,,1,11054,career_quest-10000245,career_quest-20000245,134,1,35,273,,,0
246,sangvis_exercise_analysis,,,,1,11055,career_quest-10000246,career_quest-20000246,134,1,35,274,,,0
247,sangvis_advance,,,,1,11056,career_quest-10000247,career_quest-20000247,134,1,35,275,,,0
248,sangvis_resolution,,,,1,11057,career_quest-10000248,career_quest-20000248,134,1,36,281,,,0
249,sangvis_wear_chip,,,,1,11058,career_quest-10000249,career_quest-20000249,134,1,36,282,,,0
250,sangvis_getexp,,,,1,11059,career_quest-10000250,career_quest-20000250,134,1,35,276,,,0
251,sangvis_transport,,,,1,11060,career_quest-10000251,career_quest-20000251,134,1,38,305,,,0
252,sangvis_skillpractic,,,,1,11061,career_quest-10000252,career_quest-20000252,134,1,35,277,,,0
253,sangvis_disassemble,,,,1,11062,career_quest-10000253,career_quest-20000253,134,1,37,295,,,0
254,targettrain_paas_1,,,,1,11063,career_quest-10000254,career_quest-20000254,,1,41,320,,,0
255,targettrain_paas_2,,,,1,11064,career_quest-10000255,career_quest-20000255,,1,42,326,,,0
256,targettrain_paas_3,,,,1,11065,career_quest-10000256,career_quest-20000256,,1,43,332,,,0
257,targettrain_paas_4,,,,1,11066,career_quest-10000257,career_quest-20000257,,1,44,340,,,0
258,targettrain_paas_5,,,,1,11067,career_quest-10000258,career_quest-20000258,,1,45,349,,,0
259,fetter_read_story,,,,1,11068,career_quest-10000259,career_quest-20000259,,1,62,429,,,0
260,fetter_unlock_milestone,,,,1,11069,career_quest-10000260,career_quest-20000260,,1,61,434,,,0
261,fetter_clear_fetter,,,,1,11070,career_quest-10000261,career_quest-20000261,,1,63,435,,,0
262,fetter_voice,,,,1,11071,career_quest-10000262,career_quest-20000262,,1,63,440,,,0
263,fetter_skill,,,,1,11072,career_quest-10000263,career_quest-20000263,,1,63,441,,,0
265,develop_gun,3,,,10,11074,career_quest-10000265,career_quest-20000265,,1,2,10,,,0
268,special_develop_gun,,,bestrank1:30,3,11077,career_quest-10000268,career_quest-20000268,,1,10,98,,,0
269,gun_getexp,,,,5,11078,career_quest-10000269,career_quest-20000269,,1,3,27,,,0
270,gun_getexp,,,,10,11079,career_quest-10000270,career_quest-20000270,,1,5,51,,,0
272,mission_duplicate_type1,12,,,3,11080,career_quest-10000272,career_quest-20000272,,1,7,71,,,0
273,c_gun_level,,,,5,11081,career_quest-10000273,career_quest-20000273,,1,2,13,10,,0
274,c_gun_level,,,,5,11082,career_quest-10000274,career_quest-20000274,,1,3,28,25,,0
275,c_gun_level,,,,5,11083,career_quest-10000275,career_quest-20000275,,1,5,52,40,,0
276,c_gun_level,,,,5,11084,career_quest-10000276,career_quest-20000276,,1,6,68,55,,0
277,c_gun_level,,,,5,11085,career_quest-10000277,career_quest-20000277,,1,8,89,70,,0
278,c_gun_level,,,,5,11086,career_quest-10000278,career_quest-20000278,,1,10,99,90,,0
279,c_gun_level,,,,10,11087,career_quest-10000279,career_quest-20000279,,1,3,29,10,,0
280,c_gun_level,,,,10,11088,career_quest-10000280,career_quest-20000280,,1,4,35,25,,0
281,c_gun_level,,,,10,11089,career_quest-10000281,career_quest-20000281,,1,7,72,55,,0
282,c_gun_level,,,,10,11090,career_quest-10000282,career_quest-20000282,,1,9,95,70,,0
283,c_gun_level,,,,10,11091,career_quest-10000283,career_quest-20000283,,1,11,102,90,,0
284,c_gun_level,,,,10,11092,career_quest-10000284,career_quest-20000284,,1,13,108,100,,0
285,c_gun_level,,,,15,11093,career_quest-10000285,career_quest-20000285,,1,14,114,100,,0
286,c_gun_level,,,,20,11094,career_quest-10000286,career_quest-20000286,,1,15,122,100,,0
287,eat_gun,,,,10,11095,career_quest-10000287,career_quest-20000287,,1,3,30,,,0
288,eat_gun,,,,15,11096,career_quest-10000288,career_quest-20000288,,1,4,36,,,0
289,eat_gun,,,,20,11097,career_quest-10000289,career_quest-20000289,,1,5,53,,,0
290,eat_gun,,,,30,11098,career_quest-10000290,career_quest-20000290,,1,6,69,,,0
291,mission_duplicate_type2,12,,,3,11099,career_quest-10000291,career_quest-20000291,,1,6,70,,,0
292,combine_gun,,,,5,11100,career_quest-10000292,career_quest-20000292,,1,3,31,,,0
293,combine_gun,,,,10,11101,career_quest-10000293,career_quest-20000293,,1,5,54,,,0
294,combine_gun,,,,15,11102,career_quest-10000294,career_quest-20000294,,1,8,90,,,0
295,retire_gun_core,,,,10,11103,career_quest-10000295,career_quest-20000295,,1,8,91,,,0
296,mission_duplicate_type3,12,,,3,11104,career_quest-10000296,career_quest-20000296,,1,7,73,,,0
297,c_gun_skill_level,12,,,1,11105,career_quest-10000297,career_quest-20000297,,1,4,37,2,,0
298,c_gun_skill_level,12,,,1,11106,career_quest-10000298,career_quest-20000298,,1,7,74,5,,0
299,c_gun_skill_level,12,,,5,11107,career_quest-10000299,career_quest-20000299,,1,9,96,3,,0
300,c_gun_skill_level,12,,,5,11108,career_quest-10000300,career_quest-20000300,,1,10,100,5,,0
301,c_gun_skill_level,12,,,5,11109,career_quest-10000301,career_quest-20000301,,1,11,103,8,,0
302,c_gun_skill_level,12,,,5,11110,career_quest-10000302,career_quest-20000302,,1,12,106,10,,0
303,c_gun_skill_level,12,,,10,11111,career_quest-10000303,career_quest-20000303,,1,13,109,10,,0
304,c_gun_skill_level,12,,,15,11112,career_quest-10000304,career_quest-20000304,,1,14,115,10,,0
305,c_gun_skill_level,12,,,20,11113,career_quest-10000305,career_quest-20000305,,1,15,123,10,,0
306,c_gun_skill2_level,60,,,1,11114,career_quest-10000306,career_quest-20000306,,1,14,116,10,169,0
307,c_gun_skill2_level,60,,,3,11115,career_quest-10000307,career_quest-20000307,,1,15,124,10,,0
308,doll_memoris,60,,,1,11116,career_quest-10000308,career_quest-20000308,,1,13,110,,,0
309,doll_memoris,60,,,3,11117,career_quest-10000309,career_quest-20000309,,1,14,117,,,0
310,mission_duplicate_type5,60,,,3,11118,career_quest-10000310,career_quest-20000310,,1,13,111,,,0
311,mission_duplicate_type5,60,,,10,11119,career_quest-10000311,career_quest-20000311,,1,14,118,,,0
312,up_mod1,60,,,3,11120,career_quest-10000312,career_quest-20000312,97,1,14,119,,,0
313,up_mod1,60,,,5,11121,career_quest-10000313,career_quest-20000313,97,1,15,125,,,0
314,up_mod2,60,,,3,11122,career_quest-10000314,career_quest-20000314,97,1,15,126,,,0
315,develop_equip,,,,20,11123,career_quest-10000315,career_quest-20000315,,1,18,144,,,0
316,c_iop_develop_equip,,,,1,11124,career_quest-10000316,career_quest-20000316,,1,17,134,16,,0
317,c_iop_develop_equip,,,,1,11125,career_quest-10000317,career_quest-20000317,,1,17,135,18,,0
318,different_equip,,,,5,11126,career_quest-10000318,career_quest-20000318,,1,18,145,,,0
319,different_equip,,,,10,11127,career_quest-10000319,career_quest-20000319,,1,19,154,,,0
320,rank5_equip,,,,20,11128,career_quest-10000320,career_quest-20000320,,1,20,158,,,0
321,rank5_equip,,,,50,11129,career_quest-10000321,career_quest-20000321,,1,21,163,,,0
322,c_equip_enhancement,,,,1,11130,career_quest-10000322,career_quest-20000322,,1,19,155,10,,0
323,c_equip_enhancement,,,,5,11131,career_quest-10000323,career_quest-20000323,,1,20,159,10,,0
324,c_equip_enhancement,,,,30,11132,career_quest-10000324,career_quest-20000324,,1,21,164,10,,0
325,trial_layer,,,,50,11133,career_quest-10000325,career_quest-20000325,,1,20,160,,,0
326,trial_layer,,,,100,11134,career_quest-10000326,career_quest-20000326,,1,21,165,,,0
327,adjust_equip_attr_100,,,,5,11135,career_quest-10000327,career_quest-20000327,,1,20,161,,,0
328,adjust_equip_attr_100,,,,30,11136,career_quest-10000328,career_quest-20000328,,1,21,166,,,0
332,different_fairy,,,,3,11140,career_quest-10000332,career_quest-20000332,,1,25,183,,,0
333,different_fairy,,,,5,11141,career_quest-10000333,career_quest-20000333,,1,26,192,,,0
334,different_fairy,,,,10,11142,career_quest-10000334,career_quest-20000334,,1,27,200,,,0
335,c_fairy_level,,,,1,11143,career_quest-10000335,career_quest-20000335,,1,23,174,10,,0
