id	mission_id	state_type	vehicle_id	effect	mission_floor
1	560001	1	1	30000	5
2	560002	1	1	40000	6
3	560003	1	1	50000	11
4	560004	1	1	70000	16
5	560005	1	1	85000	21
6	560006	1	1	100000	26
7	560011	1	1	30000	1
8	560012	1	1	40000	10
9	560013	1	1	50000	12
10	560014	1	1	70000	17
11	560015	1	1	85000	22
12	560016	1	1	100000	27
13	560021	1	1	30000	2
14	560022	1	1	40000	7
15	560023	1	1	50000	15
16	560024	1	1	70000	18
17	560025	1	1	85000	23
18	560026	1	1	100000	30
19	560031	1	1	30000	3
20	560032	1	1	40000	8
21	560033	1	1	50000	13
22	560034	1	1	70000	20
23	560035	1	1	85000	24
24	560036	1	1	100000	28
25	560041	1	1	30000	4
26	560042	1	1	40000	9
27	560043	1	1	50000	14
28	560044	1	1	70000	19
29	560045	1	1	85000	25
30	560046	1	1	100000	29
31	560101	1	2	30000	5
32	560102	1	2	40000	6
33	560103	1	2	50000	11
34	560104	1	2	70000	16
35	560105	1	2	85000	21
36	560106	1	2	100000	26
37	560111	1	2	30000	1
38	560112	1	2	40000	10
39	560113	1	2	50000	12
40	560114	1	2	70000	17
41	560115	1	2	85000	22
42	560116	1	2	100000	27
43	560121	1	2	30000	2
44	560122	1	2	40000	7
45	560123	1	2	50000	15
46	560124	1	2	70000	18
47	560125	1	2	85000	23
48	560126	1	2	100000	30
49	560131	1	2	30000	3
50	560132	1	2	40000	8
51	560133	1	2	50000	13
52	560134	1	2	70000	20
53	560135	1	2	85000	24
54	560136	1	2	100000	28
55	560141	1	2	30000	4
56	560142	1	2	40000	9
57	560143	1	2	50000	14
58	560144	1	2	70000	19
59	560145	1	2	85000	25
60	560146	1	2	100000	29
61	560007	1	1	100000	31
62	560017	1	1	100000	32
63	560027	1	1	100000	33
64	560037	1	1	100000	34
65	560047	1	1	100000	35
66	560107	1	2	100000	31
67	560117	1	2	100000	32
68	560127	1	2	100000	33
69	560137	1	2	100000	34
70	560147	1	2	100000	35
