id,name,start_time,end_time,mission_id
1,chess_seasonevent-10000001,2021-07-16 10:04:00,2021-07-31 10:04:00,1
2,chess_seasonevent-10000002,2021-08-12 10:04:00,2021-10-21 10:04:00,2
3,chess_seasonevent-10000003,2021-11-09 10:04:00,2021-12-30 10:04:00,1
4,chess_seasonevent-10000004,2022-01-06 10:04:00,2022-03-17 10:04:00,3
5,chess_seasonevent-10000005,2022-03-28 10:04:00,2022-06-02 10:04:00,2
6,chess_seasonevent-10000006,2022-06-09 10:04:00,2022-08-11 10:04:00,3
7,chess_seasonevent-10000007,2022-08-25 10:04:00,2022-10-20 10:04:00,1
8,chess_seasonevent-10000008,2022-10-27 10:04:00,2022-12-22 10:04:00,2
9,chess_seasonevent-10000009,2022-12-29 10:04:00,2023-02-23 10:04:00,3
10,chess_seasonevent-10000010,2023-03-10 10:04:00,2023-05-18 10:04:00,1
11,chess_seasonevent-10000011,2023-06-09 10:04:00,2023-08-18 10:04:00,2
12,chess_seasonevent-10000012,2023-08-25 10:04:00,2023-11-03 10:04:00,3
13,chess_seasonevent-10000013,2023-11-10 10:04:00,2024-01-19 10:04:00,1
14,chess_seasonevent-10000014,2024-02-02 10:04:00,2024-04-12 10:04:00,2
15,chess_seasonevent-10000015,2024-04-26 10:04:00,2024-07-05 10:04:00,3
16,chess_seasonevent-10000016,2024-07-26 10:04:00,2024-11-01 10:04:00,1
