"id","content","background","script_type"
"1","explore_affair_server-10000001","","2"
"2","explore_affair_server-10000002","","2"
"3","explore_affair_server-10000003","","2"
"4","explore_affair_server-10000004","","2"
"5","explore_affair_server-10000005","","2"
"6","explore_affair_server-10000006","","2"
"7","explore_affair_server-10000007","","2"
"8","explore_affair_server-10000008","","2"
"9","explore_affair_server-10000009","","2"
"10","explore_affair_server-10000010","","2"
"11","explore_affair_server-10000011","","2"
"12","explore_affair_server-10000012","","2"
"13","explore_affair_server-10000013","","2"
"14","explore_affair_server-10000014","","2"
"15","explore_affair_server-10000015","","2"
"16","explore_affair_server-10000016","","2"
"17","explore_affair_server-10000017","","2"
"18","explore_affair_server-10000018","","2"
"19","explore_affair_server-10000019","","2"
"20","explore_affair_server-10000020","","2"
"21","explore_affair_server-10000021","","2"
"22","explore_affair_server-10000022","","2"
"23","explore_affair_server-10000023","","2"
"24","explore_affair_server-10000024","","2"
"25","explore_affair_server-10000025","","2"
"26","explore_affair_server-10000026","","2"
"27","explore_affair_server-10000027","","2"
"28","explore_affair_server-10000028","","2"
"29","explore_affair_server-10000029","","2"
"30","explore_affair_server-10000030","","2"
"31","explore_affair_server-10000031","","2"
"32","explore_affair_server-10000032","","2"
"33","explore_affair_server-10000033","","2"
"34","explore_affair_server-10000034","","2"
"35","explore_affair_server-10000035","","2"
"36","explore_affair_server-10000036","","2"
"37","explore_affair_server-10000037","","2"
"38","explore_affair_server-10000038","","2"
"39","explore_affair_server-10000039","","2"
"40","explore_affair_server-10000040","","2"
"41","explore_affair_server-10000041","","2"
"42","explore_affair_server-10000042","","2"
"43","explore_affair_server-10000043","","2"
"44","explore_affair_server-10000044","","2"
"45","explore_affair_server-10000045","","2"
"46","explore_affair_server-10000046","","2"
"47","explore_affair_server-10000047","","2"
"48","explore_affair_server-10000048","","2"
"49","explore_affair_server-10000049","","2"
"50","explore_affair_server-10000050","","2"
"51","explore_affair_server-10000051","","2"
"52","explore_affair_server-10000052","","2"
"53","explore_affair_server-10000053","","2"
"54","explore_affair_server-10000054","","2"
"55","explore_affair_server-10000055","","2"
"56","explore_affair_server-10000056","","2"
"57","explore_affair_server-10000057","","2"
"58","explore_affair_server-10000058","","2"
"59","explore_affair_server-10000059","","2"
"60","explore_affair_server-10000060","","2"
"61","explore_affair_server-10000061","","2"
"62","explore_affair_server-10000062","","2"
"63","explore_affair_server-10000063","","2"
"64","explore_affair_server-10000064","","2"
"65","explore_affair_server-10000065","","2"
"66","explore_affair_server-10000066","","2"
"67","explore_affair_server-10000067","","2"
"68","explore_affair_server-10000068","","2"
"69","explore_affair_server-10000069","","2"
"70","explore_affair_server-10000070","","2"
"71","explore_affair_server-10000071","","2"
"72","explore_affair_server-10000072","","2"
"73","explore_affair_server-10000073","","2"
"74","explore_affair_server-10000074","","2"
"75","explore_affair_server-10000075","","2"
"76","explore_affair_server-10000076","","2"
"77","explore_affair_server-10000077","","2"
"78","explore_affair_server-10000078","","2"
"79","explore_affair_server-10000079","","5-1"
"80","explore_affair_server-10000080","","5-2"
"81","explore_affair_server-10000081","","5-4"
"82","explore_affair_server-10000082","","5-5"
"83","explore_affair_server-10000083","","5-8"
"84","explore_affair_server-10000084","","5-7"
"85","explore_affair_server-10000085","","5-9"
"86","explore_affair_server-10000086","","5-3"
"87","explore_affair_server-10000087","","5-3"
"88","explore_affair_server-10000088","","5-6"
"89","explore_affair_server-10000089","","2"
"90","explore_affair_server-10000090","","2"
"91","explore_affair_server-10000091","","2"
"92","explore_affair_server-10000092","","2"
"93","explore_affair_server-10000093","","2"
"94","explore_affair_server-10000094","","2"
"95","explore_affair_server-10000095","","2"
"96","explore_affair_server-10000096","","2"
"97","explore_affair_server-10000097","","2"
"98","explore_affair_server-10000098","","2"
"99","explore_affair_server-10000099","","2"
"100","explore_affair_server-10000100","","2"
"101","explore_affair_server-10000101","","2"
"102","explore_affair_server-10000102","","2"
"103","explore_affair_server-10000103","","2"
"104","explore_affair_server-10000104","","2"
"105","explore_affair_server-10000105","","2"
"106","explore_affair_server-10000106","","2"
"107","explore_affair_server-10000107","","2"
"108","explore_affair_server-10000108","","2"
"109","explore_affair_server-10000109","","2"
"110","explore_affair_server-10000110","","6-12"
"111","explore_affair_server-10000111","","6-13"
"112","explore_affair_server-10000112","","6-14"
"113","explore_affair_server-10000113","","6-15"
