"id","task_type","title","content","function_control_id"
"1","mission_common_win","bingo_task_type-10000001","bingo_task_type-20000001","0"
"2","mission_night_win","bingo_task_type-10000002","bingo_task_type-20000002","0"
"3","mission_emergent_win","bingo_task_type-10000003","bingo_task_type-20000003","0"
"4","collect_gun","bingo_task_type-10000004","bingo_task_type-20000004","0"
"5","eat_gun","bingo_task_type-10000005","bingo_task_type-20000005","0"
"6","eat_equip","bingo_task_type-10000006","bingo_task_type-20000006","0"
"7","consume_iop_contract","bingo_task_type-10000007","bingo_task_type-20000007","0"
"8","consume_equip_contract","bingo_task_type-10000008","bingo_task_type-20000008","0"
"9","consume_quick_develop","bingo_task_type-10000009","bingo_task_type-20000009","0"
"10","map_capture","bingo_task_type-10000010","bingo_task_type-20000010","0"
"11","consume_mp","bingo_task_type-10000011","bingo_task_type-20000011","0"
"12","consume_ammo","bingo_task_type-10000012","bingo_task_type-20000012","0"
"13","consume_mre","bingo_task_type-10000013","bingo_task_type-20000013","0"
"14","consume_part","bingo_task_type-10000014","bingo_task_type-20000014","0"
"15","get_build_coin","bingo_task_type-10000015","bingo_task_type-20000015","0"
"16","love_collect","bingo_task_type-10000016","bingo_task_type-20000016","0"
"17","borrow_friend_team","bingo_task_type-10000017","bingo_task_type-20000017","0"
"18","gain_hg","bingo_task_type-10000018","bingo_task_type-20000018","0"
"19","gain_smg","bingo_task_type-10000019","bingo_task_type-20000019","0"
"20","gain_ar","bingo_task_type-10000020","bingo_task_type-20000020","0"
"21","gain_mg","bingo_task_type-10000021","bingo_task_type-20000021","0"
"22","gain_rf","bingo_task_type-10000022","bingo_task_type-20000022","0"
"23","gain_fittings","bingo_task_type-10000023","bingo_task_type-20000023","0"
"24","gain_magazine","bingo_task_type-10000024","bingo_task_type-20000024","0"
"25","gain_equipment","bingo_task_type-10000025","bingo_task_type-20000025","0"
"26","special_develop_gun","bingo_task_type-10000026","bingo_task_type-20000026","0"
"27","special_develop_equip","bingo_task_type-10000027","bingo_task_type-20000027","0"
"28","operation_quick_develop","bingo_task_type-10000028","bingo_task_type-20000028","0"
"29","daily_game_buff","bingo_task_type-10000029","bingo_task_type-20000029","0"
"30","operation_equip_contract","bingo_task_type-10000030","bingo_task_type-20000030","0"
"31","operation_iop_contract","bingo_task_type-10000031","bingo_task_type-20000031","0"
"32","win_boss","bingo_task_type-10000032","bingo_task_type-20000032","0"
"33","win_armorrobot","bingo_task_type-10000033","bingo_task_type-20000033","0"
"34","win_robot","bingo_task_type-10000034","bingo_task_type-20000034","0"
"35","win_person","bingo_task_type-10000035","bingo_task_type-20000035","0"
"36","operation_duration","bingo_task_type-10000036","bingo_task_type-20000036","0"
"37","consume_voucher","bingo_task_type-10000037","bingo_task_type-20000037","0"
"38","simulated_warfare","bingo_task_type-10000038","bingo_task_type-20000038","0"
"39","upgrade","bingo_task_type-10000039","bingo_task_type-20000039","0"
"40","s_win","bingo_task_type-10000040","bingo_task_type-20000040","0"
"41","auto_mission","bingo_task_type-10000041","bingo_task_type-20000041","0"
"42","get_lollipop","bingo_task_type-10000042","bingo_task_type-20000042","0"
"43","get_icecream","bingo_task_type-10000043","bingo_task_type-20000043","0"
"44","friend_greeting","bingo_task_type-10000044","bingo_task_type-20000044","0"
"45","upvote","bingo_task_type-10000045","bingo_task_type-20000045","0"
"46","friend_request","bingo_task_type-10000046","bingo_task_type-20000046","0"
"47","open_gift","bingo_task_type-10000047","bingo_task_type-20000047","0"
"48","consume_build_coin","bingo_task_type-10000048","bingo_task_type-20000048","0"
"49","get_core","bingo_task_type-10000049","bingo_task_type-20000049","0"
"50","trial_mission","bingo_task_type-10000050","bingo_task_type-20000050","0"
"51","cumulative_login","bingo_task_type-10000051","bingo_task_type-20000051","0"
"52","fix_gun","bingo_task_type-10000052","bingo_task_type-20000052","0"
"53","gun_level_up_count","bingo_task_type-10000053","bingo_task_type-20000053","0"
"54","adjust_equip","bingo_task_type-10000054","bingo_task_type-20000054","0"
"55","retire_gun","bingo_task_type-10000055","bingo_task_type-20000055","0"
"56","eat_equip","bingo_task_type-10000056","bingo_task_type-20000056","0"
"57","consume_core","bingo_task_type-10000057","bingo_task_type-20000057","0"
"58","consume_coin1","bingo_task_type-10000058","bingo_task_type-20000058","0"
"59","consume_coin2","bingo_task_type-10000059","bingo_task_type-20000059","0"
"60","consume_coin3","bingo_task_type-10000060","bingo_task_type-20000060","0"
"61","consume_capsule","bingo_task_type-10000061","bingo_task_type-20000061","0"
"62","consume_quick_training","bingo_task_type-10000062","bingo_task_type-20000062","0"
"63","be_visited","bingo_task_type-10000063","bingo_task_type-20000063","0"
"64","dorm_goaway","bingo_task_type-10000064","bingo_task_type-20000064","0"
"65","dorm_share","bingo_task_type-10000065","bingo_task_type-20000065","0"
"66","get_friend_points","bingo_task_type-10000066","bingo_task_type-20000066","0"
"67","develop_fight_report","bingo_task_type-10000067","bingo_task_type-20000067","0"
"68","consume_fight_report","bingo_task_type-10000068","bingo_task_type-20000068","0"
"69","friend_praise","bingo_task_type-10000069","bingo_task_type-20000069","0"
"70","random_visit","bingo_task_type-10000070","bingo_task_type-20000070","0"
"71","develop_gun_93","bingo_task_type-10000071","bingo_task_type-20000071","0"
