identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,title,content,function_control_id,prize_id,exchange_prize_id,goto_page_id
1,win_normal,50,0,0,0,0,0,0,0,0,,weekly-10000001,weekly-20000001,0,8309,8316,0
2,win_boss,1,0,0,0,0,0,0,0,0,,weekly-10000002,weekly-20000002,0,8309,8316,0
3,s_win,8,0,0,0,0,0,0,0,0,,weekly-10000003,weekly-20000003,0,8309,8316,0
4,map_capture,15,0,0,0,0,0,0,0,0,,weekly-10000004,weekly-20000004,29,8309,8316,0
5,develop_all,8,0,0,0,0,0,0,0,0,,weekly-10000005,weekly-20000005,0,8309,8316,0
6,operation,10,0,0,0,0,0,0,0,0,,weekly-10000006,weekly-20000006,0,8309,8316,0
7,combat_simulation,12,0,0,0,0,0,0,0,0,,weekly-10000007,weekly-20000007,4,8309,8316,0
8,explore,5,0,0,0,0,0,0,0,0,,weekly-10000008,weekly-20000008,17,8309,8316,0
9,procurement,1,0,0,0,0,0,0,0,0,,weekly-10000009,weekly-20000009,0,8309,8316,0
10,sangvis_daily_retrieval,8,0,0,0,0,0,0,0,0,,weekly-10000010,weekly-20000010,21,8309,8316,0
11,weekly_complete,4,0,0,0,0,0,0,0,0,,weekly-10000011,weekly-20000011,0,8318,8316,0
