id	coordinate	type	random	start	prize_tag	neighbor
1	-4;6	1	0	1	0	9|10|2
2	-4;5	1	0	0	0	1|10|11|3
3	-4;4	1	0	0	0	2|11|12|4
4	-4;3	2|3	1	0	0	3|12|13|5
5	-4;2	2|3	1	0	0	4|13|14|6
6	-4;1	5	0	0	0	5|14|15|7
7	-4;0	1	0	0	0	6|15|16|8
8	-4;-1	1	0	1	0	7|16
9	-3;6	5	0	0	0	17|10|1
10	-3;5	1	0	0	0	9|17|18|11|2|1
11	-3;4	1	0	0	0	10|18|19|12|3|2
12	-3;3	1|4	1	0	0	11|19|20|13|4|3
13	-3;2	1|2|3	1	0	0	12|20|21|14|5|4
14	-3;1	5	0	0	0	13|21|22|15|6|5
15	-3;0	1	0	0	0	14|22|23|16|7|6
16	-3;-1	1	0	0	0	15|23|24|8|7
17	-2;5	5	0	0	0	25|18|10|9
18	-2;4	5	0	0	0	17|25|26|19|11|10
19	-2;3	5	0	0	0	18|26|27|20|12|11
20	-2;2	1	0	0	0	19|27|28|21|13|12
21	-2;1	2|3	1	0	0	20|28|29|22|14|13
22	-2;0	1|4	1	0	0	21|29|30|23|15|14
23	-2;-1	5	0	0	0	22|30|31|24|16|15
24	-2;-2	5	0	0	0	23|31|16
25	-1;4	5	0	0	0	32|33|26|18|17
26	-1;3	2|3	1	0	0	25|33|34|27|19|18
27	-1;2	1	0	0	0	26|34|35|28|20|19
28	-1;1	1|2|3	1	0	0	27|35|36|29|21|20
29	-1;0	5	0	0	0	28|36|37|30|22|21
30	-1;-1	1	0	0	0	29|37|38|31|23|22
31	-1;-2	5	0	0	0	30|38|39|24|23
32	0;4	5	0	0	0	40|33|25
33	0;3	5	0	0	0	32|40|41|34|26|25
34	0;2	2|3	1	0	0	33|41|42|35|27|26
35	0;1	1	0	0	0	34|42|43|36|28|27
36	0;0	1	0	0	0	35|43|44|37|29|28
37	0;-1	1	0	0	0	36|44|45|38|30|29
38	0;-2	5	0	0	0	37|45|46|39|31|30
39	0;-3	5	0	0	0	38|46|31
40	1;3	5	0	0	0	47|48|41|33|32
41	1;2	1	0	0	0	40|48|49|42|34|33
42	1;1	1	0	0	0	41|49|50|43|35|34
43	1;0	5	0	0	0	42|50|51|44|36|35
44	1;-1	2|3	1	0	0	43|51|52|45|37|36
45	1;-2	5	0	0	0	44|52|53|46|38|37
46	1;-3	5	0	0	0	45|53|54|39|38
47	2;3	5	0	0	0	55|56|48|40
48	2;2	5	0	0	0	47|56|57|49|41|40
49	2;1	5	0	0	0	48|57|58|50|42|41
50	2;0	1	0	0	0	49|58|59|51|43|42
51	2;-1	1	0	0	0	50|59|60|52|44|43
52	2;-2	1|4	1	0	0	51|60|61|53|45|44
53	2;-3	2|3	1	0	0	52|61|62|54|46|45
54	2;-4	5	0	0	0	53|62|46
55	3;3	5	0	0	0	63|56|47
56	3;2	1	0	0	0	55|63|64|57|48|47
57	3;1	1	0	0	0	56|64|65|58|49|48
58	3;0	1|4	1	0	0	57|65|66|59|50|49
59	3;-1	5	0	0	0	58|66|67|60|51|50
60	3;-2	2|3	1	0	0	59|67|68|61|52|51
61	3;-3	1	0	0	0	60|68|69|62|53|52
62	3;-4	1	0	0	0	61|69|70|54|53
63	4;2	1	0	1	0	64|56|55
64	4;1	1	0	0	0	63|65|57|56
65	4;0	2|3	1	0	0	64|66|58|57
66	4;-1	5	0	0	0	65|67|59|58
67	4;-2	2|3	1	0	0	66|68|60|59
68	4;-3	5	0	0	0	67|69|61|60
69	4;-4	1	0	0	0	68|70|62|61
70	4;-5	1	0	1	0	69|62
