"id","class_id","title","desc","weight","page_to_go"
"201","2","commander_ranking_types-10000201","commander_ranking_types-20000201","0.01","0"
"202","2","commander_ranking_types-10000202","commander_ranking_types-20000202","0.5","0"
"203","2","commander_ranking_types-10000203","commander_ranking_types-20000203","0.05","0"
"204","2","commander_ranking_types-10000204","commander_ranking_types-20000204","0.02","0"
"205","2","commander_ranking_types-10000205","commander_ranking_types-20000205","0.04","0"
"301","3","commander_ranking_types-10000301","commander_ranking_types-20000301","1.0","0"
"302","3","commander_ranking_types-10000302","commander_ranking_types-20000302","1.0","0"
"303","3","commander_ranking_types-10000303","commander_ranking_types-20000303","0.5","0"
"304","3","commander_ranking_types-10000304","commander_ranking_types-20000304","0.08","0"
"401","4","commander_ranking_types-10000401","commander_ranking_types-20000401","0.01","0"
"402","4","commander_ranking_types-10000402","commander_ranking_types-20000402","0.05","0"
"403","4","commander_ranking_types-10000403","commander_ranking_types-20000403","0.30000000000000004","0"
"404","4","commander_ranking_types-10000404","commander_ranking_types-20000404","0.02","0"
"501","5","commander_ranking_types-10000501","commander_ranking_types-20000501","0.30000000000000004","0"
"502","5","commander_ranking_types-10000502","commander_ranking_types-20000502","1.0","0"
"503","5","commander_ranking_types-10000503","commander_ranking_types-20000503","2.0","0"
"504","5","commander_ranking_types-10000504","commander_ranking_types-20000504","0.9","0"
"505","5","commander_ranking_types-10000505","commander_ranking_types-20000505","0.6000000000000001","0"
"601","6","commander_ranking_types-10000601","commander_ranking_types-20000601","0.01","0"
"602","6","commander_ranking_types-10000602","commander_ranking_types-20000602","0.4","0"
"603","6","commander_ranking_types-10000603","commander_ranking_types-20000603","0.2","0"
"604","6","commander_ranking_types-10000604","commander_ranking_types-20000604","0.2","0"
"605","6","commander_ranking_types-10000605","commander_ranking_types-20000605","2.0","0"
"801","8","commander_ranking_types-10000801","commander_ranking_types-20000801","1.0","0"
"802","8","commander_ranking_types-10000802","commander_ranking_types-20000802","0.8","0"
"803","8","commander_ranking_types-10000803","commander_ranking_types-20000803","1.0","0"
"804","8","commander_ranking_types-10000804","commander_ranking_types-20000804","1.0","0"
"901","9","commander_ranking_types-10000901","commander_ranking_types-20000901","1.0","0"
"902","9","commander_ranking_types-10000902","commander_ranking_types-20000902","1.0","0"
"903","9","commander_ranking_types-10000903","commander_ranking_types-20000903","1.0","0"
"904","9","commander_ranking_types-10000904","commander_ranking_types-20000904","1.0","0"
"1001","10","commander_ranking_types-10001001","commander_ranking_types-20001001","1.0","0"
"1002","10","commander_ranking_types-10001002","commander_ranking_types-20001002","0.01","0"
"1003","10","commander_ranking_types-10001003","commander_ranking_types-20001003","0.01","0"
"1004","10","commander_ranking_types-10001004","commander_ranking_types-20001004","0.05","0"
"1005","10","commander_ranking_types-10001005","commander_ranking_types-20001005","0.1","0"
"1101","11","commander_ranking_types-10001101","commander_ranking_types-20001101","0.30000000000000004","0"
"1102","11","commander_ranking_types-10001102","commander_ranking_types-20001102","4.0","0"
"1103","11","commander_ranking_types-10001103","commander_ranking_types-20001103","1.0","0"
"1104","11","commander_ranking_types-10001104","commander_ranking_types-20001104","5.0","0"
"1105","11","commander_ranking_types-10001105","commander_ranking_types-20001105","3.0","0"
"1106","11","commander_ranking_types-10001106","commander_ranking_types-20001106","5.0","0"
"1107","11","commander_ranking_types-10001107","commander_ranking_types-20001107","1.0","0"
"1108","11","commander_ranking_types-10001108","commander_ranking_types-20001108","1.0","0"
