id,name,description,code,icon,type,gender,uniform_class,color_normal,color_0,color_1,color_2,color_3,color_4,skill_id,bone_name,rotation,scale,position,color_icon_id
1010,commander_uniform-10001010,commander_uniform-20001010,Head,commander_1010_icon,1,0,10,Commander_02_initial_a_1,,,,,,0,,0,0.0,,1
1020,commander_uniform-10001020,commander_uniform-20001020,HeadAcco,commander_1020_icon,2,0,10,Commander_02_initial_a_2,,,,,,0,HairBinder2,0,0.2,-0.077|0.381,2
1030,commander_uniform-10001030,commander_uniform-20001030,Body,commander_1030_icon,3,0,10,Commander_02_initial_a_3,,,,,,0,,0,0.0,,3
1040,commander_uniform-10001040,commander_uniform-20001040,BodyAcco,commander_1040_icon,4,0,10,Commander_02_initial_a_4,,,,,,0,BodyBinder2,0,0.2,0.1|0.1,4
1050,commander_uniform-10001050,commander_uniform-20001050,Foot,commander_1050_icon,5,0,10,Commander_02_initial_a_5,,,,,,0,,0,0.0,,5
1111,commander_uniform-10001111,commander_uniform-20001111,Head1,commander_1111_icon,1,1,11,Commander_01_initial_b_male_1,,,,,,0,,0,0.0,,6
1112,commander_uniform-10001112,commander_uniform-20001112,Head2,commander_1112_icon,1,2,11,Commander_01_initial_b_female_1,,,,,,0,,0,0.0,,7
1120,commander_uniform-10001120,commander_uniform-20001120,HeadAcco,commander_1120_icon,2,0,11,Commander_01_initial_b_2,,,,,,0,HairBinder2,0,0.2,-0.1|0.5,8
1131,commander_uniform-10001131,commander_uniform-20001131,Body1,commander_1131_icon,3,1,11,Commander_01_initial_b_male_3,,,,,,0,,0,0.0,,9
1132,commander_uniform-10001132,commander_uniform-20001132,Body2,commander_1132_icon,3,2,11,Commander_01_initial_b_female_3,,,,,,0,,0,0.0,,10
1140,commander_uniform-10001140,commander_uniform-20001140,BodyAcco,commander_1140_icon,4,0,11,Commander_01_initial_b_4,,,,,,0,BodyBinder2,0,0.2,0.1|0.1,11
1151,commander_uniform-10001151,commander_uniform-20001151,Foot1,commander_1151_icon,5,1,11,Commander_01_initial_b_male_5,,,,,,0,,0,0.0,,12
