id,name,rank,color,grid,is_random,random_number,assist_damage,assist_def_break,assist_hit,assist_reload,intensity_ratio,grid_number,damage,atk_speed,hit,def,bonus_type,type,fit_squads,develop_duration
2011,squad_chip-10002011,2,1|2,1,1,1|1,85,51,35,22,28,1,0,0,0,0,,1,,28800
2021,squad_chip-10002021,2,1|2,2,1,1|2,85,51,35,22,28,2,0,0,0,0,,1,,28800
2031,squad_chip-10002031,2,1|2,3|4,1,1|3,72,43,35,24,32,3,0,0,0,0,,1,,28800
2041,squad_chip-10002041,2,1|2,5|6|7|8|9|10|11,1,1|3,65,39,35,27,32,4,0,0,0,0,,1,,28800
2051,squad_chip-10002051,2,1|2,12|13|14|15|16|17|18|19|20,1,2|3,65,39,35,27,36,5,0,0,0,0,,1,,28800
2052,squad_chip-10002052,2,1|2,21|22|23|24|25|26|27|28|29,1,2|3,65,39,35,32,40,5,0,0,0,0,,1,,28800
2061,squad_chip-10002061,2,1|2,30|31|32|33|34|35|36|37|38|39,1,2|4,65,39,35,32,40,6,0,0,0,0,,1,,28800
3011,squad_chip-10003011,3,1|2,1,1,1|1,85,51,35,22,44,1,0,0,0,0,,1,,28800
3021,squad_chip-10003021,3,1|2,2,1,1|2,85,51,35,22,44,2,0,0,0,0,,1,,28800
3031,squad_chip-10003031,3,1|2,3|4,1,1|3,72,43,35,24,48,3,0,0,0,0,,1,,28800
3041,squad_chip-10003041,3,1|2,5|6|7|8|9|10|11,1,1|3,65,39,35,27,48,4,0,0,0,0,,1,,28800
3051,squad_chip-10003051,3,1|2,12|13|14|15|16|17|18|19|20,1,2|3,65,39,35,27,56,5,0,0,0,0,,1,,28800
3052,squad_chip-10003052,3,1|2,21|22|23|24|25|26|27|28|29,1,2|3,65,39,35,32,60,5,0,0,0,0,,1,,28800
3061,squad_chip-10003061,3,1|2,30|31|32|33|34|35|36|37|38|39,1,2|4,65,39,35,32,60,6,0,0,0,0,,1,,28800
4011,squad_chip-10004011,4,1|2,1,1,1|1,85,51,35,22,56,1,0,0,0,0,,1,,28800
4021,squad_chip-10004021,4,1|2,2,1,1|2,85,51,35,22,56,2,0,0,0,0,,1,,28800
4031,squad_chip-10004031,4,1|2,3|4,1,1|3,72,43,35,24,60,3,0,0,0,0,,1,,28800
4041,squad_chip-10004041,4,1|2,5|6|7|8|9|10|11,1,1|3,65,39,35,27,64,4,0,0,0,0,,1,,28800
4051,squad_chip-10004051,4,1|2,12|13|14|15|16|17|18|19|20,1,2|3,65,39,35,27,72,5,0,0,0,0,,1,,28800
4052,squad_chip-10004052,4,1|2,21|22|23|24|25|26|27|28|29,1,2|3,65,39,35,32,80,5,0,0,0,0,,1,,28800
4061,squad_chip-10004061,4,1|2,30|31|32|33|34|35|36|37|38|39,1,2|4,65,39,35,32,80,6,0,0,0,0,,1,,28800
5011,squad_chip-10005011,5,1|2,1,1,1|1,85,51,35,22,72,1,0,0,0,0,,1,,28800
5021,squad_chip-10005021,5,1|2,2,1,1|2,85,51,35,22,72,2,0,0,0,0,,1,,28800
5031,squad_chip-10005031,5,1|2,3|4,1,1|3,72,43,35,24,76,3,0,0,0,0,,1,,28800
5041,squad_chip-10005041,5,1|2,5|6|7|8|9|10|11,1,1|3,65,39,35,27,80,4,0,0,0,0,,1,,28800
5051,squad_chip-10005051,5,1|2,12|13|14|15|16|17|18|19|20,1,2|3,65,39,35,27,92,5,0,0,0,0,,1,,28800
5052,squad_chip-10005052,5,1|2,21|22|23|24|25|26|27|28|29,1,2|3,65,39,35,32,100,5,0,0,0,0,,1,,28800
5061,squad_chip-10005061,5,1|2,30|31|32|33|34|35|36|37|38|39,1,2|4,65,39,35,32,100,6,0,0,0,0,,1,,28800
