id,type,prize_id,cost,quota,clear_cycle,function_control_id,start_time,end_time,is_new,increase,type_id,sort,obtain
1,1,12101,4001-15000,0,0,0,,,0,,1,500,0
2,1,12102,4001-15000,0,0,0,,,0,,1,499,0
3,2,12201,4001-25,100,3,0,,,0,,2,498,0
4,2,12202,4002-30,120,3,0,,,0,,2,497,0
5,2,12203,4002-30,180,3,0,,,0,,2,496,0
6,2,12204,4002-30,35,3,15,,,0,,2,495,0
7,2,12206,4004-50,100,3,0,,,0,,2,493,0
8,3,12301,4003-4000,0,0,0,,,0,,3,491,0
9,3,12302,4003-5000,0,0,0,,,0,,3,490,0
10,3,12303,4003-4000,0,0,0,,,0,,3,489,0
11,3,12304,4003-4000,0,0,0,,,0,,3,488,0
12,3,12305,4003-4000,0,0,0,,,0,,3,487,0
13,3,12306,4003-4000,0,0,0,,,0,,3,486,0
14,4,12401,4001-1500|4004-1500,0,0,0,,,0,,4,485,0
15,4,12402,4002-1500|4004-1500,0,0,0,,,0,,4,484,0
16,4,12403,4003-1500|4004-1500,0,0,0,,,0,,4,483,0
17,4,12404,4001-1500|4004-1500,0,0,0,,,0,,4,482,0
18,4,12405,4002-1500|4004-1500,0,0,0,,,0,,4,481,0
19,2,12205,4003-25,120,3,5,,,0,,2,494,0
20,2,12207,4002-1200,0,4,10,,,0,2|2|2025-03-14 13:04:00,2,492,0
21,1,12103,4001-300,0,0,0,,,0,,1,480,0
22,1,12104,4001-300,0,0,0,,,0,,1,479,0
23,1,12105,4001-300,0,0,0,,,0,,1,478,0
24,1,12106,4001-300,0,0,0,,,0,,1,477,0
25,1,12107,4001-300,0,0,0,,,0,,1,476,0
26,1,12108,4001-300,0,0,0,,,0,,1,475,0
27,3,12307,4003-7000,0,0,0,,,0,,3,474,0
28,3,12308,4003-5000,0,0,0,,,0,,3,473,0
29,3,12309,4003-5000,0,0,0,,,0,,3,472,0
30,3,12310,4003-5000,0,0,0,,,0,,3,471,0
31,4,12406,4003-1500|4004-1500,0,0,0,,,0,,4,470,0
32,4,12407,4001-1500|4004-1500,0,0,0,,,0,,4,469,0
33,4,12408,4002-1500|4004-1500,0,0,0,,,0,,4,468,0
34,1,12109,4001-8000,0,0,0,,,0,,1,467,0
35,1,12110,4001-8000,0,0,0,,,0,,1,466,0
36,1,12111,4001-8000,0,0,0,,,0,,1,465,0
37,1,12112,4001-12000,0,0,0,,,0,,1,464,0
38,1,12113,4001-10000,0,0,0,,,0,,1,463,0
39,1,12114,4001-10000,0,0,0,,,0,,1,462,0
40,3,12311,4003-5000,0,0,0,,,0,,3,461,0
41,3,12312,4003-5000,0,0,0,,,0,,3,460,0
42,4,12409,4003-1500|4004-1500,0,0,0,,,0,,4,459,0
43,4,12410,4001-1500|4004-1500,0,0,0,,,0,,4,458,0
44,4,12411,4002-1500|4004-1500,0,0,0,,,0,,4,457,0
45,1,12115,4001-8000,0,0,0,,,0,,1,456,0
46,1,12116,4001-8000,0,0,0,,,0,,1,455,0
47,1,12117,4001-8000,0,0,0,,,0,,1,454,0
48,1,12118,4001-8000,0,0,0,,,0,,1,453,0
49,1,12119,4001-8000,0,0,0,,,0,,1,452,0
50,1,12120,4001-8000,0,0,0,,,0,,1,451,0
51,1,12121,4001-8000,0,0,0,,,0,,1,450,0
52,1,12122,4001-8000,0,0,0,,,0,,1,449,0
53,1,12123,4001-8000,0,0,0,,,0,,1,448,0
54,1,12124,4001-8000,0,0,0,,,0,,1,447,0
55,1,12125,4001-15000,0,0,0,,,0,,1,446,0
56,1,12126,4001-15000,0,0,0,,,0,,1,445,0
57,3,12313,4003-5000,0,0,0,,,0,,3,444,0
58,3,12314,4003-5000,0,0,0,,,0,,3,443,0
59,4,12412,4003-1500|4004-1500,0,0,0,,,0,,4,442,0
60,4,12413,4001-1500|4004-1500,0,0,0,,,0,,4,441,0
61,4,12414,4002-1500|4004-1500,0,0,0,,,0,,4,440,0
62,1,12127,4001-8000,0,0,0,,,0,,1,439,0
63,1,12128,4001-8000,0,0,0,,,0,,1,438,0
64,1,12129,4001-8000,0,0,0,,,0,,1,437,0
65,1,12130,4001-8000,0,0,0,,,0,,1,436,0
66,1,12131,4001-8000,0,0,0,,,0,,1,435,0
67,1,12132,4001-8000,0,0,0,,,0,,1,434,0
68,1,12133,4001-8000,0,0,0,,,0,,1,433,0
69,1,12134,4001-8000,0,0,0,,,0,,1,432,0
70,1,12135,4001-8000,0,0,0,,,0,,1,431,0
71,1,12136,4001-8000,0,0,0,,,0,,1,430,0
72,1,12137,4001-8000,0,0,0,,,0,,1,429,0
73,1,12138,4001-8000,0,0,0,,,0,,1,428,0
74,1,12139,4001-8000,0,0,0,,,0,,1,427,0
75,1,12140,4001-8000,0,0,0,,,0,,1,426,0
76,1,12141,4001-8000,0,0,0,,,0,,1,425,0
77,1,12142,4001-8000,0,0,0,,,0,,1,424,0
78,1,12143,4001-8000,0,0,0,,,0,,1,423,0
79,1,12144,4001-8000,0,0,0,,,0,,1,422,0
80,1,12145,4001-8000,0,0,0,,,0,,1,421,0
81,1,12146,4001-8000,0,0,0,,,0,,1,420,0
82,1,12147,4001-8000,0,0,0,,,0,,1,419,0
83,1,12148,4001-8000,0,0,0,,,0,,1,418,0
84,1,12149,4001-8000,0,0,0,,,0,,1,417,0
85,1,12150,4001-8000,0,0,0,,,0,,1,416,0
86,1,12151,4001-8000,0,0,0,,,0,,1,415,0
87,1,12152,4001-8000,0,0,0,,,0,,1,414,0
88,1,12153,4001-8000,0,0,0,,,0,,1,413,0
89,1,12154,4001-8000,0,0,0,,,0,,1,412,0
90,1,12155,4001-8000,0,0,0,,,0,,1,411,0
91,1,12156,4001-8000,0,0,0,,,0,,1,410,0
92,1,12157,4001-8000,0,0,0,,,0,,1,409,0
93,1,12158,4001-8000,0,0,0,,,0,,1,408,0
94,1,12159,4001-8000,0,0,0,,,0,,1,407,0
95,1,12160,4001-8000,0,0,0,,,0,,1,406,0
96,1,12161,4001-8000,0,0,0,,,0,,1,405,0
97,1,12162,4001-8000,0,0,0,,,0,,1,404,0
98,1,12163,4001-8000,0,0,0,,,0,,1,403,0
