mission_id,team_effect,month_team_count,team_count,mp,ammo,mre,part,duration,experience,expect_gun_level,get_gun_num,gun_n_pool,gun_1_pool,limit_guns,get_equip_num,equip_n_pool,equip_1_pool,limit_equips,draw_event_id
1,8500,1,1,210,210,210,70,3600,200,100,2,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|58|61|44|37|34|89|1|42|69|75|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|58|61|44|37|34|89|1|42|69|75,,0,0,0,,0
2,9500,1,2,550,550,550,200,7200,500,102,4,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|58|70|44|37|34|86|26|60|36|85|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|58|70|44|37|34|86|26|60|36|85,,0,0,0,,0
3,10500,1,2,900,900,900,300,10800,750,104,6,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|61|70|44|37|34|77|66|39|88|78|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|61|70|44|37|34|77|66|39|88|78,,0,0,0,,0
4,12500,1,2,1200,1200,1200,400,14400,1000,106,10,9|2|5|10|90|91|92|17|25|93|24|31|33|94|21|71|68|74|63|51|47|40|41|87|82|6|8|13|22|58|61|70|44|37|34|89|86|77|80|72|36|78|48|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|21|71|68|74|63|51|47|40|41|87|82|6|8|13|22|58|61|70|44|37|34|89|86|77|80|72|36|78|48,,0,0,0,,0
5,200,1,1,5,5,5,1,60,5,3,0,9|2|5|0,9|2|5,,0,0,0,,0
6,300,1,1,15,15,15,5,600,45,5,3,9|2|5|10|0,9|2|5|10,,0,0,0,,0
7,400,1,1,30,30,30,10,1200,50,8,3,9|2|5|10|92|0,9|2|5|10|92|11,,0,0,0,,0
8,450,1,1,40,40,40,15,1800,70,10,3,9|2|5|10|90|92|17|25|0,9|2|5|10|90|92|17|25|11|14,,0,0,0,,0
9,550,1,2,60,60,60,20,2400,100,12,5,9|2|5|10|90|91|92|17|25|0,9|2|5|10|90|91|92|17|25|3|14,,0,0,0,,0
10,600,1,2,120,120,120,40,3600,140,15,5,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,9|2|5|10|90|91|92|17|25|93|11|14|3|12|29|27|15,15,0,0,0,,0
11,600,1,1,60,60,60,20,1800,80,12,4,9|2|5|10|90|91|92|17|25|0,9|2|5|10|90|91|92|17|25|3|14,,0,0,0,,0
12,700,1,1,80,80,80,25,2400,95,15,4,9|2|5|10|90|91|92|17|25|93|0,9|2|5|10|90|91|92|17|25|93|11|14|3|12|29|27,,0,0,0,,0
13,900,1,2,100,100,100,30,3000,110,20,5,9|2|5|10|90|91|92|17|25|93|0,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27,,0,0,0,,0
14,1200,1,2,270,270,270,90,5400,260,25,8,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|0,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|1|15,15,0,0,0,,0
15,900,1,1,70,70,70,20,1800,80,15,4,9|2|5|10|90|91|92|17|25|93|0,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27,,0,0,0,,0
16,1100,1,1,90,90,90,30,2400,100,18,4,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|0,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18,,0,0,0,,0
17,1300,1,2,120,120,120,40,3000,120,20,5,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|0,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|11|14|3|12|6|29|27|18,,0,0,0,,0
18,1500,1,2,140,140,140,45,3300,140,20,5,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|11|12|18|32|0,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|11|12|18|32|58|61,,0,0,0,,0
19,1600,1,2,160,160,160,50,3600,160,20,5,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|51|47|3|14|29|27|18|32|58|61|8|70|22,,0,0,0,,0
20,1800,1,2,270,270,270,90,4800,250,25,7,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|29|27|32|18|58|61|70|19,19,0,0,0,,0
21,1800,1,2,150,150,150,50,3600,150,25,4,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|51|47|3|14|29|27|18|32|58|61|8|70|22,,0,0,0,,0
22,2000,1,2,180,180,180,60,4200,185,25,5,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|29|27|32|18|58|61|70|6|8|22,,0,0,0,,0
23,2200,1,2,210,210,210,70,4800,200,30,5,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70,,0,0,0,,0
24,2500,1,2,480,480,480,160,7200,320,35,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|44|26|19,19,0,0,0,,0
25,2000,1,1,120,120,120,40,2400,100,30,3,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70,,0,0,0,,0
26,2300,1,2,180,180,180,60,3600,160,30,4,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|44,,0,0,0,,0
27,2900,1,2,150,150,150,50,3000,135,35,4,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|11|14|3|12|13|29|27|18|32|58|61|70|44|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|6|8|13|58|61|70|44|37|34|11|14|3|12|29|27|18|32,,0,0,0,,0
28,3200,1,2,210,210,210,70,4200,190,38,5,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|22|58|61|70|0,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|58|61|70|44|37|34|22,,0,0,0,,0
29,3500,1,2,240,240,240,80,4800,220,40,5,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|18|32|58|61|44|37|34|0,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34,,0,0,0,,0
30,3800,1,2,450,450,450,150,7200,320,45,7,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|12|18|32|58|61|44|37|34|89|0,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34|89|86|60|108,108,0,0,0,,0
31,3800,1,2,300,300,300,100,6000,240,45,5,5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|41|40|87|82|11|12|27|18|58|61|44|37|89|86|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|27|18|58|61|44|37|89|86|1,,0,0,0,,0
32,4100,1,2,340,340,340,100,6600,280,48,6,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|3|14|29|32|58|70|44|34|89|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|14|29|32|58|70|44|34|89|77|26,,0,0,0,,0
33,4400,1,2,400,400,400,140,7800,320,50,6,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|11|3|29|18|61|70|37|34|86|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|3|29|18|61|70|37|34|86|80|60,,0,0,0,,0
34,4800,1,2,600,600,600,200,9000,400,55,7,9|10|90|91|21|93|24|33|94|71|68|74|63|51|47|41|40|87|82|12|14|27|32|58|61|37|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|12|14|27|32|58|61|37|34|77|80|1|26|60|108,108,0,0,0,,0
35,4000,1,2,160,160,160,50,3000,120,45,3,5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|41|40|87|82|11|12|27|18|58|61|44|37|89|86|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|27|18|58|61|44|37|89|86|1,,0,0,0,,0
36,4200,1,2,270,270,270,90,4800,200,50,4,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|3|14|29|32|58|70|44|34|89|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|14|29|32|58|70|44|34|89|77|26,,0,0,0,,0
37,4400,1,2,300,300,300,100,5400,230,53,4,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|11|3|29|18|61|70|37|34|86|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|3|29|18|61|70|37|34|86|80|60,,0,0,0,,0
38,4800,1,2,320,320,320,110,5700,240,55,5,9|10|90|91|21|93|24|33|94|71|68|74|63|51|47|41|40|87|82|12|14|27|32|58|61|37|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|12|14|27|32|58|61|37|34|77|80|42,,0,0,0,,0
39,5000,1,2,450,450,450,150,7800,340,58,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|21|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|44|34|77|80|66|69|6|8|13|22|89|86,,0,0,0,,0
40,5500,1,2,600,600,600,200,9000,400,60,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34|89|86|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|44|34|89|86|36|39|38,38,0,0,0,,0
41,5300,1,2,360,360,360,120,6000,280,60,5,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|87|82|11|14|29|18|58|61|44|37|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|87|82|11|14|29|18|58|61|44|37|77|80|1|60,,0,0,0,,0
42,5600,1,2,400,400,400,140,6600,330,63,6,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|3|12|27|32|58|70|34|37|86|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|3|12|27|32|58|70|34|37|86|89|26|42,,0,0,0,,0
43,5700,1,2,450,450,450,150,7200,370,65,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|11|12|27|29|61|70|34|44|86|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|11|12|27|29|61|70|34|44|86|77|66|99,,0,0,0,,0
44,6200,1,2,720,720,720,240,10800,520,70,9,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|3|14|18|32|58|70|61|44|34|37|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|3|14|18|32|58|70|61|44|34|37|80|89|36|101|38,38,0,0,0,,0
45,5700,1,2,420,420,420,140,7200,320,65,6,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|87|82|11|14|29|18|58|61|44|37|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|87|82|11|14|29|18|58|61|44|37|77|80|1|60,,0,0,0,,0
46,5700,1,2,200,200,200,65,3300,150,65,3,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|3|12|27|32|58|70|34|37|86|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|3|12|27|32|58|70|34|37|86|89|26|42,,0,0,0,,0
47,6000,1,2,600,600,600,200,9600,440,68,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|11|12|27|29|61|70|34|44|86|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|11|12|27|29|61|70|34|44|86|77|66|99,,0,0,0,,0
48,6200,1,2,400,400,400,120,6300,310,70,5,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|3|14|18|32|58|70|61|44|34|37|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|3|14|18|32|58|70|61|44|34|37|80|89|36|101,,0,0,0,,0
49,6700,1,2,480,480,480,160,7500,360,70,6,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|11|14|3|12|29|27|18|32|58|61|70|44|37|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|3|14|11|12|18|32|29|27|58|70|61|44|34|37|77|80|69|101|105|72|60,,0,0,0,,0
50,7500,1,2,650,650,650,220,9600,480,75,8,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|14|11|12|18|32|29|27|58|70|61|44|34|37|80|89|39|101|79,79,0,0,0,,0
51,7500,1,2,600,600,600,200,9000,480,75,8,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|29|18|58|61|44|37|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|29|18|58|61|44|37|77|80|1|99|100,,0,0,0,,0
52,7600,1,2,480,480,480,160,7200,360,78,5,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|32|58|70|34|37|86|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|32|58|70|34|37|86|89|26|101|100,,0,0,0,,0
53,8000,1,2,720,720,720,240,10800,540,81,7,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|12|29|27|70|61|44|34|77|86|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|12|29|27|70|61|44|34|77|86|36|39|100,,0,0,0,,0
54,8300,1,2,750,750,750,250,10800,540,84,8,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|14|11|12|18|32|29|27|58|70|61|44|34|37|80|89|66|69|100|79|65,79,0,0,0,,0
55,7800,1,2,480,480,480,160,7200,380,75,5,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|87|82|3|12|27|22|70|61|34|37|89|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|87|82|3|12|27|22|70|61|34|37|89|80|99|60,,0,0,0,,0
56,8200,1,2,480,480,480,160,7200,390,77,5,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|3|6|29|32|58|61|34|44|86|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|3|6|29|32|58|61|34|44|86|77|101|69,,0,0,0,,0
57,8500,1,2,510,510,510,170,7800,400,80,5,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|11|14|18|29|58|70|37|44|80|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|11|14|18|29|58|70|37|44|80|77|100|36,,0,0,0,,0
58,9000,1,2,540,540,540,180,8400,430,82,7,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|8|12|22|32|105|70|61|44|34|37|86|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|8|12|22|32|105|70|61|44|34|37|86|89|66|88|26,,0,0,0,,0
59,9500,1,2,600,600,600,200,9000,480,84,7,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|3|14|11|12|29|27|18|32|58|61|70|44|37|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|3|14|11|12|29|27|18|32|58|61|70|44|37|34|77|80|101|118|39|1,,0,0,0,,0
60,10000,1,2,900,900,900,300,12600,650,87,8,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|75|103|36|60|35,35,0,0,0,,0
