id,name,start_time,end_time,mission_id
1,chess_seasonevent-10000001,2022-02-25 13:00:00,2022-05-06 13:00:00,1
2,chess_seasonevent-10000002,2022-05-09 13:00:00,2022-06-10 13:00:00,2
3,chess_seasonevent-10000003,2022-06-24 13:00:00,2022-09-02 13:00:00,3
4,chess_seasonevent-10000004,2022-09-16 13:00:00,2022-11-18 13:00:00,1
5,chess_seasonevent-10000005,2022-12-02 13:00:00,2023-02-03 13:00:00,2
6,chess_seasonevent-10000006,2023-02-10 13:00:00,2023-04-21 13:00:00,3
7,chess_seasonevent-10000007,2023-04-28 13:00:00,2023-06-23 13:00:00,1
8,chess_seasonevent-10000008,2023-08-11 13:00:00,2023-10-13 13:00:00,2
9,chess_seasonevent-10000009,2023-10-20 13:00:00,2023-12-15 13:00:00,3
10,chess_seasonevent-10000010,2023-12-29 13:00:00,2024-03-01 13:00:00,1
11,chess_seasonevent-10000011,2024-03-15 13:00:00,2024-05-17 13:00:00,2
12,chess_seasonevent-10000012,2024-05-31 13:00:00,2024-08-09 13:00:00,3
13,chess_seasonevent-10000013,2024-08-16 13:00:00,2024-10-25 13:00:00,1
