"id","name","fight_type","type_coef","success_type_condition","basic_score","fight_environment_group","is_enemy_random","theater_spare_gun_num","theater_spare_fairy_num","theater_spare_sangvis_cost","assist_npc","assist_squad","assist_fairy","boss_score_coef","boss_score_display","start_score","end_score","type","construction","enemy_group","enemy_lv","enemy_score","occupied_enemy_lv","occupied_enemy_score","boss","occupied_boss_score","score_limit","advantage_gun","material_item","battle_background","theater_id","display_length","description","difficulty","area_mission_id","advantage_sangvis","advantage_skill","advantage_desc"
"411","theater_area-10000411","1","0","1;3;6","300","1;3;6","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","0","12000000","1","411","1843-0-4,1846-0-4,1847-0-4","-30,-29,-28,-27,-26,-25,-24,-23,-22,-21","70,71,72,73,74,75,76,77,78,80","-34,-34,-33,-32,-32,-31,-31,-30,-29,-28","70,71,72,73,74,75,76,77,78,80","","60","0","36,26,100","47","wasteland","41","300","theater_area-20000411","1000","900411","","","theater_area-30000411"
"412","theater_area-10000412","2","0","1;4;7","300","1;4;7","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","12000000","30000000","1","","1848-0-4,1844-0-4,1847-0-4","-20,-19,-18,-17,-16,-15,-14,-13,-12,-11","80,81,82,83,84,85,86,87,88,90","-24,-24,-23,-22,-21,-20,-20,-19,-18,-17","80,81,82,83,84,85,86,87,88,90","","60","0","36,26,100","47","wasteland","41","300","theater_area-20000412","2600","900411","","","theater_area-30000412"
"413","theater_area-10000413","3","0","1;2;3","300","1;2;3","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","30000000","50000000","1","","490-0-4,1499-0-4,565-0-4","-10,-9,-8,-7,-6,-5,-4,-3,-2,-1","90,91,92,93,94,95,96,97,98,100","-16,-16,-15,-14,-13,-12,-12,-11,-10,-9","90,91,92,93,94,95,96,97,98,100","","60","0","36,26,100","47","wasteland","41","300","theater_area-20000413","4200","900411","","","theater_area-30000413"
"414","theater_area-10000414","3","180","1;2;5","300","1;2;5","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","50000000","105000000","2","","901-1-4,568-1-4,900-0-4,904-0-4","-10,-9,-8,-7,-6,-5,-4,-3,-2,-1","100,101,102,103,104,105,106,107,108,110","-18,-18,-17,-16,-15,-14,-14,-13,-12,-11","100,101,102,103,104,105,106,107,108,110","700001-0","60","1046","36,26,100","47","wasteland","41","300","theater_area-20000414","4800","900411","","","theater_area-30000414"
"415","theater_area-10000415","4","0","1;3;6","300","1;3;6","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","105000000","117000000","1","","577-1-4,670-0-4,914-1-4","-10,-9,-9,-8,-8,-7,-7,-6,-6,-5","110,111,112,113,114,115,116,117,118,120","-20,-20,-20,-19,-19,-18,-18,-17,-17,-16","110,111,112,113,114,115,116,117,118,120","","60","0","53,129,118","47","wasteland","41","300","theater_area-20000415","5200","900412","","","theater_area-30000415"
"416","theater_area-10000416","4","1006,1","1;3;6","300","1;3;6","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","117000000","132000000","1","","915-0-4,445-1-4,577-0-4,670-0-4","-5,-4,-4,-3,-3,-2,-2,-1,-1,0","120,121,122,123,124,125,126,127,128,130","-16,-16,-16,-15,-15,-14,-14,-13,-13,-12","120,121,122,123,124,125,126,127,128,130","","60","0","53,129,118","47","wasteland","41","300","theater_area-20000416","5800","900412","","","theater_area-30000416"
"417","theater_area-10000417","4","1006,2;1008,1","1;4;7","300","1;4;7","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","132000000","147000000","1","","444-1-4,608-0-4,445-0-4","-10,-9,-9,-8,-8,-7,-7,-6,-6,-5","130,131,132,133,134,135,136,137,138,140","-22,-22,-22,-21,-21,-20,-20,-19,-19,-18","130,131,132,133,134,135,136,137,138,140","","60","0","53,129,118","47","wasteland","41","300","theater_area-20000417","6400","900412","","","theater_area-30000417"
"418","theater_area-10000418","5","0","1;2;3","300","1;2;3","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","147000000","195000000","2","","939-0-4,938-1-4,442-0-4","-5,-4,-4,-3,-3,-2,-2,-1,-1,0","140,141,142,143,144,145,146,147,148,150","-18,-18,-18,-17,-17,-16,-16,-15,-15,-14","140,141,142,143,144,145,146,147,148,150","700002-0","60","2205","53,129,118","47","wasteland","41","300","theater_area-20000418","7500","900412","","","theater_area-30000418"
"421","theater_area-10000421","1","0","1;2;5","300","1;2;5","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","0","28000000","1","421","939-0-4,938-1-4,669-0-4","-10,-9,-8,-7,-6,-5,-4,-3,-2,-1","150,152,154,156,158,160,162,164,167,170","-32,-32,-31,-30,-30,-29,-29,-28,-27,-26","150,152,154,156,158,160,162,164,167,170","","60","0","128,202,228","47","abandonedvillage","42","300","theater_area-20000421","7800","900421","","","theater_area-30000421"
"422","theater_area-10000422","2","0","1;3;6","300","1;3;6","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","28000000","73000000","1","","637-0-4,637-1-4,638-1-4","-10,-10,-10,-9,-9,-9,-9,-8,-8,-8","170,172,174,176,178,180,182,184,187,190","-24,-24,-24,-24,-24,-24,-24,-23,-23,-23","170,172,174,176,178,180,182,184,187,190","","60","0","128,202,228","47","abandonedvillage","42","300","theater_area-20000422","8000","900421","","","theater_area-30000422"
"423","theater_area-10000423","3","0","1;3;6","300","1;3;6","0","10","0","10","","","","100;0;50;0;200;50;100;00;100;50;00;100;100","-2;0;0;0;2;0;1;0;1;0;0;-1;0","73000000","123000000","1","","642-1-4,639-0-4,640-0-4","-7,-7,-7,-6,-6,-6,-6,-5,-5,-5","190,192,194,196,198,200,202,204,207,210","-22,-22,-22,-21,-21,-21,-21,-20,-20,-20","190,192,194,196,198,200,202,204,207,210","","60","0","128,202,228","47","abandonedvillage","42","300","theater_area-20000423","8500","900421","","","theater_area-30000423"
