id,sangvis_id,sangvis_level,life,sangvis_advance,sangvis_shape_n,sangvis_resolution_level,skill1,skill2,skill3,skill_advance,chip1,chip2,favor
1,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
2,2003,90,70,5,3,3,0,0,5,5,0,0,90000
3,3001,90,30,5,3,3,0,0,0,5,0,0,150000
4,3005,90,50,5,3,4,0,0,0,5,0,0,90000
5,3005,90,100,5,5,4,0,0,0,5,0,0,120000
6,3004,93,5,4,1,4,0,0,0,4,0,0,90000
7,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
8,2003,90,70,5,3,3,0,0,5,5,0,0,90000
9,3001,90,30,5,3,3,0,0,0,5,0,0,150000
10,3005,90,50,5,3,4,0,0,0,5,0,0,90000
11,3005,90,100,5,5,4,0,0,0,5,0,0,120000
12,3004,93,5,4,1,4,0,0,0,4,0,0,90000
13,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
14,2003,90,70,5,3,3,0,0,5,5,0,0,90000
15,3001,90,30,5,3,3,0,0,0,5,0,0,150000
16,3005,90,50,5,3,4,0,0,0,5,0,0,90000
17,3005,90,100,5,5,4,0,0,0,5,0,0,120000
18,3004,93,5,4,1,4,0,0,0,4,0,0,90000
322102,1006,100,100,5,2,4,10,10,10,10,0,0,90000
404001,1025,100,100,5,5,4,10,10,5,5,0,0,90000
404002,2017,120,100,5,5,4,5,5,5,5,0,0,90000
404003,2017,120,100,5,5,4,5,5,5,5,0,0,90000
404004,2018,120,100,5,5,4,5,5,5,5,0,0,90000
404005,2018,120,100,5,5,4,5,5,5,5,0,0,90000
404006,2006,120,100,5,5,4,5,5,5,5,0,0,90000
404007,2006,120,100,5,5,4,5,5,5,5,0,0,90000
404008,1013,100,100,5,5,4,10,10,5,5,0,0,90000
404009,1014,100,100,5,5,4,10,10,5,5,0,0,90000
460501,9001,90,100,3,2,4,1,1,1,1,0,0,90000
461001,9001,100,100,5,2,4,10,10,10,10,0,0,90000
482103,1012,100,100,5,2,4,10,10,10,10,0,0,90000
482104,1001,100,100,5,2,4,10,10,10,10,0,0,90000
482105,1002,100,100,5,2,4,10,10,10,10,0,0,90000
482106,1003,100,100,5,2,4,10,10,10,10,0,0,90000
482107,2006,100,100,3,2,4,0,0,5,5,0,0,90000
482108,2006,100,100,3,2,4,0,0,5,5,0,0,90000
482109,2013,100,100,3,2,4,0,0,5,5,0,0,90000
482110,2013,100,100,3,2,4,0,0,5,5,0,0,90000
482111,2012,100,100,3,2,4,0,0,5,5,0,0,90000
482112,2012,100,100,3,2,4,0,0,5,5,0,0,90000
482113,2012,100,100,3,2,4,0,0,5,5,0,0,90000
482114,2014,100,100,3,2,4,0,0,5,5,0,0,90000
500415,1018,100,100,5,2,4,10,10,10,10,0,0,1000000
583401,1005,45,100,3,2,4,10,10,5,5,0,0,90000
583402,2006,45,100,3,2,4,0,0,5,5,0,0,90000
583403,2005,45,100,3,2,4,0,0,5,5,0,0,90000
583404,2005,45,100,3,2,4,0,0,5,5,0,0,90000
583405,2005,45,100,3,2,4,0,0,5,5,0,0,90000
583406,2006,45,100,3,2,4,0,0,5,5,0,0,90000
583407,2006,45,100,3,2,4,0,0,5,5,0,0,90000
584201,1011,80,100,5,5,4,10,10,5,5,0,0,90000
584202,2015,80,100,5,5,4,5,5,5,5,0,0,90000
584203,2015,80,100,5,5,4,5,5,5,5,0,0,90000
584204,2004,80,100,5,5,4,5,5,5,5,0,0,90000
584205,2004,80,100,5,5,4,5,5,5,5,0,0,90000
