id,name,code,description,lvup_description,skill_group_id,level,train_coin_type,train_coin_number,skill_up_time,spot_type,spot_belong,spot_echelon,cd_time,cd_time_type,consumption,start_range,is_night,data_pool,is_airborne,airborne_mission_buff_config_id,effect_cast,effect_self,effect_target,trigger_id,target_id,special_spot_add,special_spot_minus,mission_buff_add,mission_buff_minus,subsidiary_mission_skill,is_manual,allyteam_summoner,ap_cost,consumption_item,drop_item,fun_game_type,fun_game_name,fun_game_result_sub
101,mission_skill_config-10000101,No_consumption,mission_skill_config-20000101,mission_skill_config-30000101,1,1,0,0,0,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
102,mission_skill_config-10000102,No_consumption,mission_skill_config-20000102,mission_skill_config-30000102,1,2,1,200,7200,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
103,mission_skill_config-10000103,No_consumption,mission_skill_config-20000103,mission_skill_config-30000103,1,3,1,400,21600,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
104,mission_skill_config-10000104,No_consumption,mission_skill_config-20000104,mission_skill_config-30000104,1,4,1,600,36000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
105,mission_skill_config-10000105,No_consumption,mission_skill_config-20000105,mission_skill_config-30000105,1,5,2,240,50400,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
106,mission_skill_config-10000106,No_consumption,mission_skill_config-20000106,mission_skill_config-30000106,1,6,2,400,72000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
107,mission_skill_config-10000107,No_consumption,mission_skill_config-20000107,mission_skill_config-30000107,1,7,2,600,93600,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
108,mission_skill_config-10000108,No_consumption,mission_skill_config-20000108,mission_skill_config-30000108,1,8,2,800,115200,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
109,mission_skill_config-10000109,No_consumption,mission_skill_config-20000109,mission_skill_config-30000109,1,9,3,400,144000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
110,mission_skill_config-10000110,No_consumption,mission_skill_config-20000110,mission_skill_config-30000110,1,10,3,600,172800,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
201,mission_skill_config-10000201,fighting,mission_skill_config-20000201,mission_skill_config-30000201,2,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
202,mission_skill_config-10000202,fighting,mission_skill_config-20000202,mission_skill_config-30000202,2,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
203,mission_skill_config-10000203,fighting,mission_skill_config-20000203,mission_skill_config-30000203,2,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
204,mission_skill_config-10000204,fighting,mission_skill_config-20000204,mission_skill_config-30000204,2,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
205,mission_skill_config-10000205,fighting,mission_skill_config-20000205,mission_skill_config-30000205,2,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
206,mission_skill_config-10000206,fighting,mission_skill_config-20000206,mission_skill_config-30000206,2,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
207,mission_skill_config-10000207,fighting,mission_skill_config-20000207,mission_skill_config-30000207,2,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
208,mission_skill_config-10000208,fighting,mission_skill_config-20000208,mission_skill_config-30000208,2,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
209,mission_skill_config-10000209,fighting,mission_skill_config-20000209,mission_skill_config-30000209,2,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
210,mission_skill_config-10000210,fighting,mission_skill_config-20000210,mission_skill_config-30000210,2,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
301,mission_skill_config-10000301,crit,mission_skill_config-20000301,mission_skill_config-30000301,3,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
302,mission_skill_config-10000302,crit,mission_skill_config-20000302,mission_skill_config-30000302,3,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
303,mission_skill_config-10000303,crit,mission_skill_config-20000303,mission_skill_config-30000303,3,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
304,mission_skill_config-10000304,crit,mission_skill_config-20000304,mission_skill_config-30000304,3,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
305,mission_skill_config-10000305,crit,mission_skill_config-20000305,mission_skill_config-30000305,3,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
306,mission_skill_config-10000306,crit,mission_skill_config-20000306,mission_skill_config-30000306,3,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
307,mission_skill_config-10000307,crit,mission_skill_config-20000307,mission_skill_config-30000307,3,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
308,mission_skill_config-10000308,crit,mission_skill_config-20000308,mission_skill_config-30000308,3,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
309,mission_skill_config-10000309,crit,mission_skill_config-20000309,mission_skill_config-30000309,3,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
310,mission_skill_config-10000310,crit,mission_skill_config-20000310,mission_skill_config-30000310,3,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
401,mission_skill_config-10000401,armor,mission_skill_config-20000401,mission_skill_config-30000401,4,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
402,mission_skill_config-10000402,armor,mission_skill_config-20000402,mission_skill_config-30000402,4,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
403,mission_skill_config-10000403,armor,mission_skill_config-20000403,mission_skill_config-30000403,4,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
404,mission_skill_config-10000404,armor,mission_skill_config-20000404,mission_skill_config-30000404,4,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
405,mission_skill_config-10000405,armor,mission_skill_config-20000405,mission_skill_config-30000405,4,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
406,mission_skill_config-10000406,armor,mission_skill_config-20000406,mission_skill_config-30000406,4,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
407,mission_skill_config-10000407,armor,mission_skill_config-20000407,mission_skill_config-30000407,4,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
408,mission_skill_config-10000408,armor,mission_skill_config-20000408,mission_skill_config-30000408,4,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
409,mission_skill_config-10000409,armor,mission_skill_config-20000409,mission_skill_config-30000409,4,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
410,mission_skill_config-10000410,armor,mission_skill_config-20000410,mission_skill_config-30000410,4,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
501,mission_skill_config-10000501,shield,mission_skill_config-20000501,mission_skill_config-30000501,5,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
502,mission_skill_config-10000502,shield,mission_skill_config-20000502,mission_skill_config-30000502,5,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
503,mission_skill_config-10000503,shield,mission_skill_config-20000503,mission_skill_config-30000503,5,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
504,mission_skill_config-10000504,shield,mission_skill_config-20000504,mission_skill_config-30000504,5,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
505,mission_skill_config-10000505,shield,mission_skill_config-20000505,mission_skill_config-30000505,5,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
506,mission_skill_config-10000506,shield,mission_skill_config-20000506,mission_skill_config-30000506,5,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
507,mission_skill_config-10000507,shield,mission_skill_config-20000507,mission_skill_config-30000507,5,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
508,mission_skill_config-10000508,shield,mission_skill_config-20000508,mission_skill_config-30000508,5,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
509,mission_skill_config-10000509,shield,mission_skill_config-20000509,mission_skill_config-30000509,5,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
510,mission_skill_config-10000510,shield,mission_skill_config-20000510,mission_skill_config-30000510,5,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
601,mission_skill_config-10000601,defense,mission_skill_config-20000601,mission_skill_config-30000601,6,1,0,0,0,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
602,mission_skill_config-10000602,defense,mission_skill_config-20000602,mission_skill_config-30000602,6,2,1,200,7200,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
603,mission_skill_config-10000603,defense,mission_skill_config-20000603,mission_skill_config-30000603,6,3,1,400,21600,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
604,mission_skill_config-10000604,defense,mission_skill_config-20000604,mission_skill_config-30000604,6,4,1,600,36000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
605,mission_skill_config-10000605,defense,mission_skill_config-20000605,mission_skill_config-30000605,6,5,2,240,50400,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
606,mission_skill_config-10000606,defense,mission_skill_config-20000606,mission_skill_config-30000606,6,6,2,400,72000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
607,mission_skill_config-10000607,defense,mission_skill_config-20000607,mission_skill_config-30000607,6,7,2,600,93600,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
608,mission_skill_config-10000608,defense,mission_skill_config-20000608,mission_skill_config-30000608,6,8,2,800,115200,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
609,mission_skill_config-10000609,defense,mission_skill_config-20000609,mission_skill_config-30000609,6,9,3,400,144000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
610,mission_skill_config-10000610,defense,mission_skill_config-20000610,mission_skill_config-30000610,6,10,3,600,172800,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
