id,name,code,description,priority,duration,delay,size,sound,spine,if_starting,relative_position,offset,rotation_offset,is_focus,use_ease
1,mission_effect_config-10000001,dilei_chuxian,mission_effect_config-20000001,1,1.0,0.0,0.8,bb_noel_nachujiguanqiang,0,0,0,0|0,,0,0
2,mission_effect_config-10000002,dilei_daiji,mission_effect_config-20000002,1,0.0,0.0,0.8,0,0,0,0,0|0,,0,0
3,mission_effect_config-10000003,dilei_baoza,mission_effect_config-20000003,1,1.0,0.0,0.8,BT_grenade_explode,0,0,0,0|0,,0,0
4,mission_effect_config-10000004,BulletMove,mission_effect_config-20000004,1,1.0,0.0,1.0,BT_MissileExplo,0,0,0,0|0,,0,0
5,mission_effect_config-10000005,Gsyaojing_buzhi,mission_effect_config-20000005,1,1.0,0.0,1.0,bb_noel_nachujiguanqiang,0,0,0,0|0,,0,0
6,mission_effect_config-10000006,GSyaojing_daiji,mission_effect_config-20000006,8,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
7,mission_effect_config-10000007,daodanchao,mission_effect_config-20000007,1,0.0,0.0,0.6000000000000001,0,0,0,0,0|0,,0,0
8,mission_effect_config-10000008,daodanchao_daiji,mission_effect_config-20000008,1,0.0,0.0,0.6000000000000001,bb_noel_nachujiguanqiang,0,0,0,0|0,,0,0
1002,mission_effect_config-10001002,ui_glass,mission_effect_config-20001002,1,2.0,1.0,1.5,0,0,1,0,0|0,,0,0
1003,mission_effect_config-10001003,dilei_baoza,mission_effect_config-20001003,1,1.0,1.6,0.8,BT_grenade_explode,0,0,0,0|0,,0,0
1004,mission_effect_config-10001004,DJmax_huaban,mission_effect_config-20001004,1,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1005,mission_effect_config-10001005,2019_DH_YJ_xiangrui_1,mission_effect_config-20001005,1,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1006,mission_effect_config-10001006,2019_DH_YJ_xiangrui_3,mission_effect_config-20001006,1,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1007,mission_effect_config-10001007,dzrq_zhengti,mission_effect_config-20001007,0,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1008,mission_effect_config-10001008,chuansong_01xh,mission_effect_config-20001008,1,0.0,0.0,0.02,0,0,0,0,90|30,,0,0
1009,mission_effect_config-10001009,chuansong_01,mission_effect_config-20001009,1,0.0,0.0,0.02,0,0,0,0,60|0,,0,0
1010,mission_effect_config-10001010,chuansong_01_02,mission_effect_config-20001010,1,0.0,0.0,0.02,0,0,0,0,60|0,,0,0
1011,mission_effect_config-10001011,chuansong_02xh,mission_effect_config-20001011,1,0.0,0.0,0.02,0,0,0,0,-180|30,,0,0
1012,mission_effect_config-10001012,chuansong_02,mission_effect_config-20001012,1,0.0,0.0,0.02,0,0,0,0,-270|0,,0,0
1013,mission_effect_config-10001013,chuansong_01xh,mission_effect_config-20001013,1,0.0,0.0,0.02,0,0,0,0,90|35,,0,0
1014,mission_effect_config-10001014,chuansong_02xh,mission_effect_config-20001014,1,0.0,0.0,0.02,0,0,0,0,-130|35,,0,0
1015,mission_effect_config-10001015,zsd_right,mission_effect_config-20001015,0,0.0,0.0,1.0,0,0,0,0,0|150,,0,0
